ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1207552.8448521816,-682450.8846609961,30.480000000060322,33.00158768743632,-97.32070264361512,100.0,0.3,198.38,1980.0,47.35,483.85,65816.0
286.0,-1186529.6324447794,-663082.6171392284,2909.602815311762,33.19911718318533,-97.1245030976235,9546.0,0.5,319.7,1480.0,57.65,374.75,65441.0
572.0,-1147328.4509811196,-638249.1882162739,5061.765771585815,33.466575361906656,-96.74107710076697,16607.0,0.6904,429.82,980.0,49.97,343.99,65097.0
859.0,-1099322.82973268,-597929.7776773713,6486.96852580126,33.88051309324099,-96.28136988439016,21283.0,0.7596,464.24,715.0,49.57,317.54,64780.0
1145.0,-1047656.879176047,-553913.6396577597,7527.069045884588,34.329729503504105,-95.78254944507005,24695.0,0.7835,472.22,592.0,49.56,292.13,64488.0
1431.0,-995051.1535467692,-509086.9089154915,8388.405291487796,34.785227319669154,-95.26932199811947,27521.0,0.7994,476.13,92.0,49.58,238.84,64249.0
1717.0,-941733.0998575533,-463672.7146854103,8522.85417411692,35.24462323990561,-94.74348384922799,27962.0,0.8026,477.13,23.0,49.58,231.16,64018.0
2003.0,-888263.9061431563,-418133.08180464106,8556.35731828849,35.70311075136784,-94.21031544538451,28072.0,0.8044,478.02,38.0,49.58,231.92,63786.0
2290.0,-834703.3466316963,-372515.3260246385,8612.124985392178,36.16013005480996,-93.67023636689892,28255.0,0.8066,478.93,41.0,49.58,231.33,63555.0
2576.0,-781041.1752019415,-326813.54397322447,8672.31906783239,36.615664659276355,-93.12296380365021,28452.0,0.8088,479.84,37.0,49.58,230.11,63324.0
2862.0,-727271.4792900784,-281026.24437226576,8726.79994107287,37.06965066534788,-92.56825131542678,28631.0,0.811,480.75,32.0,49.58,228.92,63095.0
3148.0,-673396.7981544045,-235149.7752565234,8773.47200321804,37.52203321973708,-92.00594413072015,28784.0,0.813,481.66,-127.0,49.57,215.94,62880.0
3434.0,-619343.8147748315,-189099.41301564377,8588.452023406153,37.97353430273909,-91.43509216158373,28177.0,0.8119,482.23,-378.0,49.46,199.96,62680.0
3721.0,-565184.3157058398,-142769.38235626213,8039.145377054811,38.42495370098899,-90.85637667753016,26375.0,0.8034,480.85,122.0,58.69,247.86,62432.0
4007.0,-504770.75568993797,-106020.95490703377,8216.7915268748,38.79139680122144,-90.19138047933765,26958.0,0.8081,482.45,435.0,73.69,268.43,62163.0
