ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,205713.7478339803,-120307.87715339113,30.480000303762868,33.00164000091796,-97.32075000104906,100.0,0.3,198.38,2414.0,302.32,96.73,66203.0
55.0,201058.7380261819,-117362.81039120165,699.6196838594032,33.02900060182743,-97.36999951760944,2295.0,0.5,328.12,2155.0,303.4,85.96,66117.0
109.0,193411.07445071038,-112319.32486314813,1297.1359911709212,33.07575262899169,-97.45093342787408,4256.0,0.5532,360.56,1729.0,301.86,81.01,66036.0
164.0,184847.46027362993,-106996.57937111179,1776.5666082852706,33.12512213627393,-97.54172927173296,5829.0,0.5796,375.61,1500.0,301.4,77.96,65958.0
218.0,175875.99251134408,-101519.60199569282,2192.346360853058,33.175879807600325,-97.63697823095642,7193.0,0.5994,386.53,1331.0,301.21,75.49,65883.0
273.0,166620.12148108712,-95912.36042828535,2561.240748211879,33.227780664607614,-97.73537027905083,8403.0,0.6155,395.23,1198.0,301.1,73.41,65809.0
327.0,157142.2578873951,-90194.6208143198,2893.3004841669276,33.28063036045015,-97.83624730652231,9492.0,0.6298,402.78,1085.0,301.05,71.58,65738.0
382.0,147475.21196534135,-84375.36719955236,3194.0923345917736,33.33433756399069,-97.93926573459846,10479.0,0.6528,415.98,900.0,301.02,69.6,65668.0
437.0,137484.01223153505,-78367.53011167556,3443.6231180222057,33.38969738613803,-98.0458729917348,11298.0,0.6775,430.37,701.0,301.01,67.95,65600.0
491.0,127142.4803235075,-72150.16171382627,3638.0356034386377,33.44689215219205,-98.15636143249672,11936.0,0.6857,434.59,669.0,301.01,67.34,65533.0
546.0,116698.04575955759,-65872.66328377463,3823.515930812473,33.5045409079171,-98.26809732112241,12544.0,0.6907,436.75,672.0,301.0,66.93,65466.0
600.0,106201.53800368935,-59564.52110532735,4009.7999570889588,33.56237008763045,-98.38054025715776,13156.0,0.6957,438.9,675.0,301.0,66.52,65400.0
655.0,95653.22549165512,-53225.46519824188,4196.895866474417,33.6203802245835,-98.49368979478405,13769.0,0.7008,441.05,678.0,301.0,66.09,65333.0
709.0,85053.23531705413,-46855.566773864775,4384.812250930362,33.67856878714401,-98.60754707015356,14386.0,0.7058,443.2,681.0,301.0,65.66,65268.0
764.0,74401.80172261671,-40454.835891224255,4573.558148817604,33.73693377208477,-98.72211206538088,15005.0,0.7109,445.33,684.0,301.0,65.22,65203.0
819.0,63699.157564238,-34023.41451821526,4763.143087917092,33.795471980358265,-98.83738479661108,15627.0,0.716,447.45,687.0,301.0,64.78,65138.0
873.0,52945.33688581777,-27561.91907506368,4953.577133458439,33.8541759464201,-98.95336746465043,16252.0,0.7211,449.56,690.0,301.0,64.32,65073.0
928.0,42140.53344712174,-21070.859606800026,5144.870941900794,33.913039136920275,-99.07006051997061,16879.0,0.7262,451.65,693.0,300.99,63.86,65010.0
982.0,31285.237485603033,-14550.429858382251,5337.035821353432,33.972057842774845,-99.18746117193416,17510.0,0.7313,453.72,696.0,300.99,63.4,64946.0
1037.0,20380.012299128168,-8000.899238577793,5530.083799700669,34.03122767415391,-99.3055658305732,18143.0,0.7365,455.76,700.0,300.99,62.93,64883.0
1091.0,9425.517754656783,-1422.5966655152058,5724.027701717151,34.090543710278936,-99.4243698463759,18780.0,0.7416,457.77,703.0,300.98,62.45,64821.0
1146.0,-1577.4437232760126,5184.13973894953,5918.881236738396,34.150000894860945,-99.54386710195668,19419.0,0.7466,459.74,706.0,300.98,61.95,64759.0
1201.0,-12627.97943534483,11818.845383676955,6114.659098805817,34.209592974223945,-99.66405033304288,20061.0,0.7517,461.67,710.0,300.98,61.47,64697.0
1255.0,-23725.05596721105,18480.978314860084,6311.377081659975,34.269313342478185,-99.78491064128772,20707.0,0.7567,463.56,713.0,300.98,60.96,64636.0
1310.0,-34867.47605712778,25169.91722186971,6509.052211473626,34.32915453639965,-99.90643739553724,21355.0,0.7617,465.39,717.0,300.98,60.45,64576.0
1364.0,-46053.871010162155,31884.92694151952,6707.7017130034765,34.38910810197383,-100.0286180267886,22007.0,0.7666,467.15,702.0,300.97,59.67,64516.0
1419.0,-57283.11459887763,38625.405080108496,6902.3533446026595,34.44916680746807,-100.15144254984254,22646.0,0.7713,468.81,202.0,300.97,51.8,64465.0
1473.0,-68563.74984867476,45396.52522561552,6958.388025623555,34.509374756766626,-100.27500691212659,22829.0,0.7728,469.35,-298.0,300.97,44.03,64420.0
1528.0,-79867.80106923374,52181.5401730138,6875.805756062586,34.569581347175955,-100.39900673521517,22558.0,0.7711,468.82,-798.0,300.97,36.5,64384.0
1583.0,-91168.22459494864,58964.24130665942,6654.60653591881,34.62964196447729,-100.52314611921294,21833.0,0.766,467.13,-1298.0,300.97,29.3,64355.0
1637.0,-102435.50551041192,65726.95955446435,6294.790365192132,34.689400306391065,-100.64710024247312,20652.0,0.7574,464.07,-1798.0,300.97,22.5,64332.0
1692.0,-113635.07715428618,72448.98273348533,5796.35724388328,34.748674579011094,-100.77048671321303,19017.0,0.7449,459.42,-2298.0,300.97,16.24,64316.0
1746.0,-124726.33231720176,79105.93919129792,5159.307171995308,34.807252351147724,-100.89285426514695,16927.0,0.7284,452.94,-2500.0,300.97,14.54,64301.0
1801.0,-135661.61015951046,85669.223427836,4466.222419065429,34.864885837835544,-101.01367112573674,14653.0,0.7101,445.45,-2500.0,300.97,15.56,64286.0
1856.0,-146414.5463246313,92123.02719017868,3773.1376661342088,34.921441339898415,-101.13263842013707,12379.0,0.6917,437.63,-2500.0,300.97,16.5,64269.0
1910.0,-156977.58853113934,98462.84044213431,3080.052913202143,34.97688495056483,-101.24966432870397,10105.0,0.6733,429.63,-2500.0,300.97,17.38,64252.0
1965.0,-167345.9754999794,104685.81731869013,2386.9681602695,35.03119752578326,-101.36468768421864,7831.0,0.6628,426.48,-2500.0,300.97,19.82,64232.0
2019.0,-177637.5060614437,110862.65364716848,1693.883407336694,35.08499998738427,-101.47900949446326,5557.0,0.6531,423.65,-2500.0,300.97,22.59,64210.0
2074.0,-187859.85859331544,116997.95478306415,1000.7986544080007,35.138334375079516,-101.59271204519403,3283.0,0.5,326.98,-2000.0,300.97,8.24,64201.0
2128.0,-195741.9649214266,121728.66785693682,446.3308520622732,35.179386080864276,-101.68048584118335,1464.0,0.3,197.44,-1500.0,302.32,9.21,64192.0
2183.0,-200424.3655724264,124691.06318479574,30.480000302005084,35.20511030735831,-101.73270702276837,100.0,0.1,66.13,-1000.0,303.67,82.19,64110.0
