ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,16722.56834990263,155021.29159658458,30.480000304518637,33.00163999909963,-97.3207500010734,100.0,0.3,198.38,2414.0,186.35,86.43,66214.0
49.0,16178.342800659391,150127.77368460328,628.3443536973747,32.9576396421521,-97.32667073562646,2061.0,0.4778,313.83,2290.0,186.37,78.12,66135.0
98.0,15309.66390743935,142349.75365069494,1195.4974512928243,32.88770258955627,-97.3361085204406,3922.0,0.4917,320.81,2162.0,186.36,75.99,66059.0
146.0,14422.928331126988,134394.50137463992,1731.0752168213214,32.81617117702199,-97.34572737578944,5679.0,0.5054,327.71,2045.0,186.34,73.9,65986.0
195.0,13520.199241635262,126264.14283768939,2237.600371904789,32.7430644573105,-97.35550428738674,7341.0,0.5188,334.43,1937.0,186.3,71.86,65914.0
244.0,12603.831931772522,117963.19669395334,2717.4944113076617,32.66842300409271,-97.3654131574814,8916.0,0.5322,341.09,1838.0,186.25,69.89,65844.0
293.0,11675.801140966889,109493.30647932515,3172.6900133269905,32.59226154607828,-97.37543207935195,10409.0,0.547,348.63,1747.0,186.2,68.05,65776.0
341.0,10735.404333636432,100832.6732196994,3605.4491191038487,32.51438402061106,-97.38556803623737,11829.0,0.5629,356.91,1679.0,186.13,66.57,65709.0
390.0,9782.202263622006,91963.27436788385,4021.3790003331246,32.43462832234069,-97.39582504509706,13194.0,0.579,365.21,1612.0,186.07,65.13,65644.0
439.0,8817.396700606396,82884.63984796968,4420.5550286535245,32.35299018451261,-97.4061893921944,14503.0,0.5949,373.38,1545.0,186.0,63.71,65580.0
488.0,7842.193564730818,73599.84689398947,4803.341204545707,32.269497246179306,-97.41664732833772,15759.0,0.611,381.64,1479.0,185.93,62.35,65518.0
536.0,6856.784823899358,64106.7277392379,5169.651778787558,32.18412998735648,-97.42719597160016,16961.0,0.6271,389.85,1413.0,185.86,61.02,65457.0
585.0,5861.197321931007,54406.51707927773,5519.674336816167,32.09689948870922,-97.43783416731856,18109.0,0.6432,398.1,1347.0,185.8,59.74,65397.0
634.0,4854.657886270451,44498.494109087405,5853.418722737773,32.00779924824821,-97.44856925863004,19204.0,0.6991,430.85,1042.0,185.75,57.11,65340.0
683.0,3773.7662961111005,33766.29767958596,6111.52808794887,31.911286383717126,-97.46007448123765,20051.0,0.6597,405.2,542.0,185.71,46.82,65293.0
731.0,2762.64587113372,23662.440667930445,6245.785684146559,31.820423109729255,-97.47081539216396,20491.0,0.6152,377.21,42.0,185.69,35.69,65258.0
780.0,1824.0750146698567,14247.6370771357,6256.191511330722,31.735755627908482,-97.48076678319137,20526.0,0.5682,348.31,-458.0,185.69,24.0,65234.0
829.0,957.7243012645998,5547.662722961561,6142.745569501687,31.65751592945619,-97.48993631746258,20153.0,0.5339,327.77,-958.0,185.7,13.17,65220.0
878.0,140.7997644950875,-2642.91467270445,5905.447858662505,31.583856685413732,-97.49856865358235,19375.0,0.5262,324.07,-1078.0,185.72,11.06,65209.0
926.0,-670.3617472830173,-10741.331014635043,5638.391714388334,31.51102567895437,-97.50712617172869,18499.0,0.5161,318.93,-1087.0,185.76,10.64,65199.0
975.0,-1474.027353108775,-18710.57815943675,5369.069779917451,31.439355753277017,-97.51559169151842,17615.0,0.5063,313.99,-1094.0,185.81,10.26,65188.0
1024.0,-2272.5035988933846,-26555.494095427224,5098.0993118748365,31.368803419164742,-97.52398990060071,16726.0,0.4968,309.17,-1098.0,185.88,9.94,65179.0
1073.0,-3067.63694241204,-34278.69941673159,4826.026949320501,31.299345117070484,-97.53234070133867,15833.0,0.4877,304.56,-1101.0,185.96,9.65,65169.0
1121.0,-3861.3598858101095,-41885.582132774725,4553.2245631761225,31.230932393997456,-97.54066481736301,14938.0,0.4789,300.04,-1103.0,186.05,9.37,65160.0
1170.0,-4654.957842119479,-49378.12713212088,4280.074996185364,31.163547399189376,-97.54897610631187,14042.0,0.4703,295.68,-1103.0,186.14,9.13,65150.0
1219.0,-5449.650398328684,-56760.02292106807,4006.837617030572,31.097156957633324,-97.55728767669275,13146.0,0.4619,291.42,-1102.0,186.25,8.92,65141.0
1268.0,-6246.234333215709,-64033.908776355835,3733.744901454907,31.0317373291728,-97.56560815614095,12250.0,0.4538,287.29,-1101.0,186.36,8.7,65133.0
1317.0,-7045.2842071405685,-71202.94529603426,3460.9801619552686,30.967260084431327,-97.57394380504057,11355.0,0.446,283.29,-1099.0,186.47,8.51,65124.0
1365.0,-7847.107495053517,-78270.43664704528,3188.6955782734167,30.90369550307962,-97.58229805608556,10462.0,0.4384,279.4,-1097.0,186.59,8.33,65116.0
1414.0,-8651.644631420744,-85238.96001870048,2917.04464486716,30.84102040449324,-97.59067048424903,9570.0,0.4311,275.61,-1094.0,186.7,8.17,65108.0
1463.0,-9458.610901589951,-92111.31135603052,2646.1384711740957,30.779209642670203,-97.59905829885126,8682.0,0.4239,271.93,-1090.0,186.8,8.02,65100.0
1512.0,-10267.466503598876,-98890.16181594254,2376.0804252288513,30.71823919682548,-97.60745604053857,7796.0,0.417,268.35,-1087.0,186.91,7.87,65092.0
1560.0,-11077.443570759091,-105578.21026670976,2106.943061853797,30.658084800546078,-97.61585587074296,6913.0,0.4103,264.88,-1083.0,187.0,7.74,65084.0
1609.0,-11887.61575454456,-112178.16890043607,1838.7920925936673,30.59872207125145,-97.62424830560803,6033.0,0.4038,261.48,-1078.0,187.08,7.62,65077.0
1658.0,-12696.803117101366,-118692.19557072097,1571.6998297588807,30.54013161685777,-97.63262123433418,5156.0,0.3974,258.19,-1074.0,187.15,7.51,65069.0
1707.0,-13503.785925623617,-125122.91853485508,1305.708463641631,30.48228981844412,-97.640962145858,4284.0,0.3913,254.98,-1069.0,187.21,7.61,65061.0
1755.0,-14307.205692430003,-131472.76321825117,1040.8591784575694,30.42517488610554,-97.64925710468005,3415.0,0.3853,251.84,-1064.0,187.26,7.7,65054.0
1804.0,-15105.62562068595,-137743.64939513698,777.2052635244429,30.36876958190807,-97.65749138935666,2550.0,0.3795,248.81,-1060.0,187.29,7.79,65046.0
1853.0,-15897.663844647788,-143938.49325574003,514.7387786147324,30.313047709895876,-97.66565086044834,1689.0,0.3738,245.84,-1055.0,187.3,7.87,65038.0
1902.0,-16681.846668765593,-150059.02113562223,253.50173140743948,30.257993779469867,-97.67372046164759,832.0,0.3,197.88,-900.0,186.35,8.28,65030.0
1950.0,-17230.627463489094,-154993.49837574543,30.479999695639115,30.213609190480444,-97.67935143776361,100.0,0.2262,149.55,-746.0,185.39,9.86,65020.0
