ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,16722.5685497467,155021.29159750984,30.480000275514772,33.001639999104974,-97.3207499989306,100.0,0.3,198.38,2414.0,186.35,68.04,66232.0
38.0,16293.818862136268,151166.09687028694,501.14221150175916,32.96697581006642,-97.32541494228101,1644.0,0.4533,298.17,2415.0,171.35,62.68,66169.0
77.0,17174.575015427938,145379.2705685245,972.0084538458718,32.91492060695034,-97.31608186765997,3189.0,0.4814,314.93,2236.0,156.35,60.69,66109.0
115.0,19657.378454908663,139710.9299996729,1407.9778908971073,32.86390338070434,-97.28960599235312,4619.0,0.4881,317.71,2160.0,142.27,59.55,66049.0
154.0,23478.67725296543,134772.26311246844,1829.1319449244181,32.819415648492345,-97.24882020830958,6001.0,0.4784,309.83,2157.0,157.27,59.12,65990.0
192.0,25831.37101694687,129156.49044345706,2249.767332459904,32.76886044538789,-97.22380045121356,7381.0,0.5225,336.76,1916.0,172.27,56.38,65934.0
230.0,26722.568549159507,122591.76020719322,2623.4407433872634,32.70980195801893,-97.21445688611527,8607.0,0.5832,374.17,1493.0,180.0,52.95,65881.0
269.0,26722.568541135683,115221.46878345076,2914.6495778926583,32.64351976169774,-97.21466667377221,9562.0,0.6352,406.15,1029.0,183.56,50.06,65831.0
307.0,26224.849039941462,107228.72016832554,3115.3257740023582,32.571651382123854,-97.22020477274052,10221.0,0.6717,428.41,661.0,186.61,48.17,65782.0
345.0,25251.76478896401,98832.37901481969,3244.192183974239,32.496163893317245,-97.23081322218792,10644.0,0.6751,429.93,663.0,187.81,47.98,65734.0
384.0,24099.060108232996,90428.60950893561,3373.4455649510514,32.42061253206879,-97.24331746628765,11068.0,0.6786,431.45,665.0,188.47,47.78,65687.0
422.0,22845.32856306842,82009.05240941083,3503.088404373546,32.34491998010561,-97.25687640322887,11493.0,0.6821,432.97,667.0,188.83,47.58,65639.0
461.0,21534.448016532133,73567.9025733455,3633.1232646233802,32.26903286103179,-97.27102084720529,11920.0,0.6855,434.49,669.0,189.0,47.38,65592.0
499.0,20193.17641346194,65101.21580637443,3763.5527879805777,32.192915032981354,-97.28546502700178,12348.0,0.689,436.01,671.0,189.09,47.18,65544.0
537.0,18834.253156502375,56607.03852572913,3894.379701689313,32.11654861347282,-97.30007290625757,12777.0,0.6926,437.53,673.0,189.14,46.97,65497.0
576.0,17463.726236523893,48084.442506178384,4025.6068233832893,32.0399251049234,-97.31477986035405,13207.0,0.6961,439.04,675.0,189.16,46.76,65451.0
614.0,16084.74533802819,39532.96426237195,4157.237066913869,31.963040259395232,-97.3295521893065,13639.0,0.6996,440.56,677.0,189.17,46.55,65404.0
653.0,14699.094786610158,30952.37036380859,4289.273448619378,31.885891930629825,-97.34437076056462,14072.0,0.7032,442.07,679.0,189.19,46.34,65358.0
691.0,13306.702355486328,22342.741109298684,4421.719094077392,31.808480823531355,-97.35923614757219,14507.0,0.7067,443.57,681.0,189.19,46.12,65312.0
729.0,11908.44590677238,13704.019031801552,4554.577245386362,31.73080639197135,-97.37413888028799,14943.0,0.7103,445.07,683.0,189.2,45.9,65266.0
768.0,10504.810781274658,5036.227071086416,4687.851269028759,31.652868815143044,-97.38907367680785,15380.0,0.7139,446.57,686.0,189.2,45.69,65220.0
806.0,9096.059119091156,-3660.5572980441625,4821.544664374147,31.574668770043743,-97.40403767583958,15819.0,0.7175,448.05,688.0,189.2,45.47,65175.0
