ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,16722.56854598415,155021.29178364994,30.480000003456784,33.00164000077903,-97.32074999896759,100.0,0.3,198.38,1670.0,186.35,74.32,66226.0
46.0,16201.73031540308,150338.06319055246,424.32187656104117,32.959530478466114,-97.32641641967308,1392.0,0.5,329.15,1170.0,171.35,61.24,66164.0
93.0,17382.27993475293,142581.50584332552,700.2155875846067,32.88975657156756,-97.31390922708923,2297.0,0.6376,418.43,670.0,156.35,65.77,66099.0
139.0,21388.58262216101,133434.95490061416,858.1611267827598,32.8074307488621,-97.27121593920647,2815.0,0.6397,419.05,668.0,156.9,65.26,66033.0
186.0,25311.758756724554,124236.26083956989,1015.8402084489103,32.724623833524504,-97.22949047415689,3333.0,0.6419,419.68,667.0,171.9,64.75,65969.0
232.0,26722.56826706868,114320.78550977256,1173.2725716309649,32.63541977450321,-97.21469227491653,3849.0,0.644,420.31,170.0,180.0,58.45,65910.0
279.0,26722.568366029558,104282.40195580316,1213.334843165754,32.54514300145011,-97.2149770034971,3981.0,0.6446,420.51,666.0,180.0,64.12,65846.0
325.0,26722.56473660737,94247.3952193497,1370.5286781428008,32.454896594193265,-97.21526063342938,4496.0,0.6467,421.14,666.0,180.0,63.62,65782.0
371.0,26722.56562325313,84197.16280823974,1527.5198738968463,32.36451325710486,-97.21554360535137,5012.0,0.6489,421.79,665.0,183.42,63.12,65719.0
418.0,26121.349398782866,74149.56971654104,1684.3285261352073,32.27416764252537,-97.22222017068509,5526.0,0.6511,422.44,664.0,198.42,62.62,65657.0
464.0,22935.230649531393,64585.29583879408,1840.9754738602915,32.188223284111864,-97.25633806358348,6040.0,0.543,351.62,1164.0,213.42,59.59,65597.0
511.0,18318.26509835949,57589.760988852904,2115.570377322356,32.12539483818983,-97.30553290809888,6941.0,0.6445,416.0,828.0,228.42,61.95,65535.0
557.0,10894.11916250946,51003.92696169549,2310.852678639329,32.066262288763795,-97.38444464860918,7582.0,0.6018,387.56,1328.0,243.42,63.81,65471.0
604.0,2634.151641420517,46872.02550559101,2624.082826687376,32.029152211795406,-97.47211219980304,8609.0,0.4018,257.79,1828.0,239.23,68.73,65403.0
650.0,-2630.6651392164385,43737.392321906176,3055.260821737717,32.0009617880054,-97.52795226506665,10024.0,0.2504,159.8,1328.0,224.23,79.41,65323.0
697.0,-5279.479559966005,41016.480875549605,3368.49115255227,31.97648287242548,-97.55602711327924,11051.0,0.2216,140.87,933.0,209.23,79.88,65243.0
743.0,-6917.148952957367,38089.908702836474,3588.6459516646946,31.950154842961187,-97.57336844388826,11774.0,0.228,144.6,940.0,194.23,79.11,65164.0
789.0,-7763.401750239107,34753.091046360125,3810.377421986682,31.920140699839028,-97.58231092531962,12501.0,0.244,154.3,1043.0,179.23,77.87,65086.0
836.0,-7714.104185220866,31081.236141548914,4056.488191097982,31.887119264947987,-97.58175936167432,13309.0,0.2751,173.47,1258.0,164.23,75.85,65011.0
882.0,-6592.862977149639,27110.699602691064,4353.165710201292,31.851418394962863,-97.56985669276301,14282.0,0.2811,176.58,1219.0,173.4,74.72,64936.0
