ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,910931.5617752334,-773352.0822701267,30.480000302428323,33.00164000098524,-97.32075000095728,100.0,0.3,198.38,2414.0,320.87,479.98,65820.0
271.0,893949.122317997,-752478.342552234,3350.697160167184,33.20368269208405,-97.4796626796068,10993.0,0.5,317.99,1938.0,314.77,390.06,65430.0
542.0,863072.891564172,-721852.315401017,6016.063393059439,33.50515702494875,-97.77792125237094,19738.0,0.6253,384.52,1438.0,314.78,329.82,65100.0
812.0,825571.6889295741,-684638.030610029,7993.62349325126,33.870522648097264,-98.14293003960341,26226.0,0.7431,445.0,982.0,314.78,286.04,64814.0
1083.0,781988.4280302151,-641393.5419468471,9344.20526106477,34.29376338269838,-98.57103751912756,30657.0,0.7882,463.19,705.0,314.77,252.86,64561.0
1354.0,736506.9137682461,-596267.9784648025,10313.503323218978,34.73384879253598,-99.0223567888943,33837.0,0.783,453.69,205.0,314.78,199.76,64361.0
1625.0,691735.5479268484,-551844.9310547027,10594.995252693783,35.16547498419618,-99.47128525144235,34760.0,0.7687,443.59,3.0,314.78,177.93,64184.0
1896.0,647872.778747742,-508316.60105309275,10599.02690365219,35.586815286894584,-99.91568297914326,34774.0,0.7751,447.26,23.0,314.78,180.06,64003.0
2166.0,603656.7320592045,-464437.8133231593,10630.99849071534,36.00991524553832,-100.36835901219943,34879.0,0.7747,446.8,21.0,314.78,179.12,63824.0
2437.0,559485.2015367543,-420601.33302440896,10659.816665916103,36.43092544150659,-100.82539494402259,34973.0,0.775,446.77,21.0,314.79,178.48,63646.0
2708.0,515318.7321229585,-376764.8383645142,10688.878651451589,36.850208253619755,-101.28729722407995,35068.0,0.7752,446.69,21.0,314.79,177.83,63468.0
2979.0,471161.4516449415,-332933.0306350235,10717.769444007874,37.26767392232555,-101.75413135747884,35163.0,0.7754,446.63,21.0,314.79,177.18,63291.0
3249.0,427010.5004896562,-289105.73054850276,10746.7867222166,37.68327937194751,-102.22603882025639,35258.0,0.7756,446.53,21.0,314.79,176.53,63114.0
3520.0,382868.28591806,-245285.2929445735,10775.898719361816,38.09695476270685,-102.70310481537074,35354.0,0.7757,446.42,21.0,314.79,175.87,62938.0
3791.0,338737.5616353718,-201472.0198111585,10804.93989992087,38.50864775200115,-103.18541000399799,35449.0,0.7759,446.31,21.0,314.8,175.22,62763.0
4062.0,294616.90942546807,-157664.52236734278,10834.082323475717,38.91832189877147,-103.67308322559127,35545.0,0.776,446.2,21.0,314.8,174.57,62589.0
4333.0,250506.26549770823,-113863.73036272105,10863.20128957699,39.32591800642495,-104.16624070549062,35640.0,0.7762,446.1,21.0,314.8,173.93,62415.0
4603.0,206403.42618804643,-70067.45202247659,10892.63201944434,39.73140413602962,-104.66502400640343,35737.0,0.7763,445.96,22.0,314.8,173.35,62241.0
