ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,910931.5619787371,-773352.0822699537,30.480000293012946,33.00164000079537,-97.3207499987922,100.0,0.3,198.38,2124.0,320.87,423.63,65876.0
246.0,895425.366684198,-754292.8440819643,2683.455951693714,33.18612713435148,-97.46582064086199,8804.0,0.5,320.57,1624.0,316.7,335.29,65541.0
492.0,867996.4508959627,-725181.5859684733,4711.94372546256,33.471002330519894,-97.72862624055615,15459.0,0.6643,415.4,1124.0,315.74,303.36,65238.0
738.0,831667.7889730614,-687901.6211623249,6115.9433215938625,33.83607704899792,-98.08060352185751,20065.0,0.7503,460.77,709.0,315.69,277.14,64961.0
983.0,791201.8631125392,-646442.4070512048,7001.078790332614,34.2409809152358,-98.47623148848842,22969.0,0.7718,468.48,725.0,315.55,266.71,64694.0
1229.0,749963.959341394,-604405.5912972538,7906.052158429876,34.650418988545475,-98.88347950559402,25938.0,0.7909,474.22,436.0,315.35,235.36,64459.0
1475.0,707972.6107518337,-561895.0302445015,8450.583509871592,35.06333769773447,-99.30252372418569,27725.0,0.8004,476.3,48.0,315.24,201.25,64257.0
1721.0,665571.1363231292,-519135.3220723107,8510.714988917516,35.47736340391101,-99.7300640293249,27922.0,0.8024,477.1,39.0,315.22,199.85,64057.0
1967.0,623078.0464202743,-476318.16429391573,8559.063524968551,35.89047971280224,-100.1629353497011,28081.0,0.8042,477.88,38.0,315.21,199.16,63858.0
2213.0,580510.007897259,-433435.89007718384,8607.036054627575,36.30269531456903,-100.60106835270555,28238.0,0.8061,478.66,38.0,315.21,198.55,63660.0
2459.0,537870.996029222,-390484.7279358507,8654.795901785486,36.71399302008007,-101.04453816849744,28395.0,0.808,479.44,38.0,315.21,197.95,63462.0
2704.0,495163.4065971247,-347462.34469238226,8702.367292400935,37.12434289847266,-101.49344096241134,28551.0,0.8098,480.22,38.0,315.21,197.34,63264.0
2950.0,452384.46829684277,-304371.43904920114,8749.652997092926,37.53367147406972,-101.94793705385494,28706.0,0.8117,481.01,38.0,315.21,196.75,63068.0
3196.0,409537.74096692284,-261208.6116495732,8796.887941432615,37.94195497663561,-102.40811405612067,28861.0,0.8135,481.79,37.0,315.21,196.08,62872.0
3442.0,366620.64299091144,-217976.0156843872,8843.485587994974,38.34912146306854,-102.87413533105182,29014.0,0.8154,482.57,33.0,315.21,195.22,62676.0
3688.0,323630.4921110101,-174673.57654185788,8884.989125259017,38.755116895981,-103.34616735244406,29150.0,0.8172,483.35,-191.0,315.2,179.93,62496.0
3934.0,280479.4310624045,-131222.4480446786,8646.377519770764,39.16062069662125,-103.82533424533167,28367.0,0.8151,483.73,-421.0,315.3,168.54,62328.0
4180.0,237288.00466978858,-87573.73889777463,8120.846005751519,39.565966817824105,-104.3103868010437,26643.0,0.8068,482.32,79.0,313.6,209.11,62119.0
4426.0,193139.7139945299,-45533.77852994255,8219.802669237635,39.95507334075083,-104.81277803745996,26968.0,0.8097,483.43,410.0,315.05,228.93,61890.0
4671.0,150095.83735100002,-2416.1010567913672,8731.520195475618,40.35151684763781,-105.3075685456271,28647.0,0.82,486.07,-56.0,314.37,191.75,61698.0
4917.0,106125.58375919833,40595.25178116525,8661.74797336776,40.74503043584315,-105.81915441443417,28418.0,0.82,486.54,-51.0,314.4,193.24,61505.0
5163.0,62135.7841873553,83668.96531238267,8598.025508220988,41.13686140675284,-106.3369860895116,28209.0,0.82,486.98,-47.0,314.39,194.56,61310.0
5409.0,18105.878497228943,126777.25545482253,8539.128986382988,41.52669842939582,-106.86144976725868,28016.0,0.82,487.38,-44.0,314.38,195.73,61115.0
5655.0,-25968.558816007404,169910.12374211795,8484.199462893872,41.91438470814189,-107.39273708447344,27835.0,0.82,487.75,-41.0,314.38,196.83,60918.0
5901.0,-70076.9684237243,213073.80992503904,8432.60658586732,42.29990803464054,-107.93085962610894,27666.0,0.82,488.11,-39.0,314.39,197.82,60720.0
6147.0,-114212.25838428338,256271.70479746125,8383.871520919589,42.68323045162294,-108.47587128820919,27506.0,0.82,488.44,-37.0,314.39,198.76,60521.0
6392.0,-158374.63510608234,299500.2733030994,8337.620383128147,43.06424992716187,-109.02791430431046,27354.0,0.82,488.75,-35.0,314.39,199.65,60322.0
6638.0,-202564.90670607082,342755.78560528206,8293.554599925743,43.44286057185604,-109.58713852982864,27210.0,0.82,489.05,-34.0,314.39,200.44,60121.0
6884.0,-246781.55649470913,386037.22465156094,8251.431238826133,43.81897950859743,-110.1536662428419,27072.0,0.82,489.34,-32.0,314.39,201.26,59920.0
7130.0,-291023.05163130036,429343.8665411751,8211.049487287963,44.19252489693157,-110.72761986514656,26939.0,0.82,489.61,-31.0,314.39,201.99,59718.0
7376.0,-335288.8319606634,472674.2237488268,8172.241084777757,44.56340599135187,-111.30913368882904,26812.0,0.82,489.87,-30.0,314.39,202.68,59515.0
7622.0,-379577.6486701602,516027.70605950296,8134.863380457932,44.93153857989266,-111.8983338436463,26689.0,0.82,490.13,-29.0,314.39,203.37,59312.0
7868.0,-423888.2523895692,559403.888857415,8098.7941860994615,45.296838206606395,-112.4953464161377,26571.0,0.82,490.37,-28.0,314.39,204.02,59108.0
8113.0,-468219.98715125665,602801.8832658622,8063.927887458003,45.65921412916967,-113.10030433364172,26456.0,0.82,490.61,153.0,314.39,215.5,58892.0
8359.0,-512503.5201790752,646153.4142229941,8254.481426878978,46.01801837518481,-113.71238442759731,27082.0,0.82,489.31,-347.0,314.39,180.54,58712.0
8605.0,-556860.0764458757,689577.3868934178,7820.546788752789,46.37415001574518,-114.3333989610434,25658.0,0.8154,489.51,-847.0,314.39,158.22,58553.0
8851.0,-601413.8148674692,733197.1988514325,6762.123973003447,46.7285072406742,-114.96529133728636,22185.0,0.7872,479.38,-1347.0,314.4,140.2,58413.0
9097.0,-645201.8006001476,776073.7532774012,5079.212979630381,47.07344355410705,-115.59438122160795,16664.0,0.7,435.7,-1847.0,314.45,97.78,58316.0
9343.0,-685079.4103265586,815194.8378204793,2771.8138087677057,47.38523738856248,-116.17444811221125,9094.0,0.5,320.23,-1347.0,315.3,52.15,58263.0
9589.0,-713832.3562868828,844249.1030499802,1088.9028154750647,47.61578632271806,-116.59825426900474,3573.0,0.3,195.99,-847.0,320.87,40.53,58223.0
9834.0,-729558.0416150568,863578.1201272348,30.479999749939577,47.77185074286246,-116.83717446240207,100.0,0.1,66.13,-347.0,326.44,438.57,57784.0
