ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,910931.5618421484,-773352.082374237,30.479999999975306,33.001639999993785,-97.32075000035567,100.0,0.3,198.38,500.0,320.87,288.12,66012.0
287.0,892509.8187895888,-750709.2395240285,760.2604077599658,33.22079762532999,-97.49316351130113,2494.0,0.5,327.89,1000.0,323.32,356.59,65655.0
575.0,863815.978008176,-712189.1819123036,2219.7870946700996,33.59073019627908,-97.760049465726,7283.0,0.6585,424.55,662.0,308.32,376.98,65278.0
862.0,814872.6241926121,-673511.9919051451,3185.671093201277,33.979112516539075,-98.24713098527373,10452.0,0.6744,429.78,162.0,308.01,320.34,64958.0
1149.0,764896.7050631624,-634449.4595188496,3421.817600542624,34.36983085357799,-98.74950680970473,11226.0,0.5559,353.24,565.0,323.01,286.63,64671.0
1437.0,733648.1130512105,-592962.8906470711,4246.9819918057665,34.765647164596565,-99.05045447880906,13934.0,0.466,293.12,65.0,338.01,193.24,64478.0
1724.0,717436.86407347,-552814.1647791481,4342.445939691768,35.13730107531079,-99.19082216184722,14247.0,0.666,418.42,1.0,335.05,267.3,64211.0
2011.0,691349.9773877838,-496742.435172087,4343.706190402325,35.65874065713166,-99.42674274588678,14251.0,0.6026,378.6,501.0,324.92,280.61,63930.0
2298.0,659339.68134984,-451163.02063983236,5074.687841076241,36.090206816879814,-99.74033986541447,16649.0,0.7212,448.9,500.0,312.85,318.94,63611.0
2586.0,610928.3206816897,-406252.856909469,5804.423198239046,36.52616302138559,-100.24069931133172,19043.0,0.6981,430.46,38.0,299.48,249.97,63361.0
2873.0,555562.7288615437,-374954.1567674962,5860.328712899209,36.84242205214266,-100.83497607078192,19227.0,0.7491,461.62,-462.0,307.35,235.46,63126.0
3160.0,501093.6552864498,-333378.102183414,5186.493520453455,37.247327051918866,-101.41700175297593,17016.0,0.6271,389.82,36.0,322.35,228.09,62898.0
3448.0,465914.9617482843,-287772.842219933,5239.445843435485,37.675543979268404,-101.78398050172291,17190.0,0.4271,265.33,500.0,337.35,246.52,62651.0
3735.0,450889.06935993565,-251756.3861301316,5969.157436186082,38.00647849630114,-101.93140064556833,19584.0,0.4355,267.95,478.0,339.09,243.08,62408.0
4022.0,436821.7056288622,-214935.92154370347,6667.440098709459,38.34398449831906,-102.06859298448457,21875.0,0.322,196.33,500.0,337.66,336.88,62071.0
4310.0,425848.4576697894,-188235.58978314087,7397.166257351128,38.5890209457932,-102.17769294740008,24269.0,0.456,275.29,500.0,345.04,245.47,61826.0
4597.0,415398.41491391085,-149127.3814089537,8126.652218831865,38.945066129201216,-102.27384046005136,26662.0,0.6307,377.03,14.0,337.27,182.19,61644.0
4884.0,393867.26621488197,-97738.07738429881,8147.4572281305645,39.41647430977995,-102.49215583225552,26731.0,0.7627,455.8,369.0,325.13,248.37,61395.0
5171.0,355495.07843739504,-42674.980896072906,8686.608861116407,39.927786778560574,-102.90840925462551,28499.0,0.7514,445.7,-114.0,311.87,194.72,61201.0
5459.0,306379.8622190246,1340.1996069135444,8519.924901656794,40.342475414015425,-103.462890924993,27953.0,0.82,487.51,-43.0,296.87,229.17,60971.0
5746.0,242076.0180298123,33920.332717298654,8457.46525990997,40.656411067508614,-104.20873718549103,27748.0,0.82,487.94,-179.0,304.93,220.32,60751.0
6033.0,182843.5937291983,75289.4694563906,8195.659925085252,41.043491370591596,-104.8985309516193,26889.0,0.8157,487.13,-500.0,289.93,201.0,60550.0
6321.0,114820.68198760488,99955.38277881048,7465.9543065575635,41.277612757702826,-105.70491185881305,24495.0,0.7994,482.21,-500.0,291.8,212.65,60337.0
6608.0,48322.39415409446,126548.88528763098,6736.8770722088275,41.52340900897841,-106.49851892558101,22103.0,0.7185,437.65,-85.0,306.8,222.59,60115.0
6895.0,-3518.762280374896,165326.04790297683,6612.901935365068,41.87357018763714,-107.12142846779906,21696.0,0.7028,428.79,75.0,303.38,231.01,59884.0
7183.0,-56402.98627092293,200167.18330061482,6722.769561558651,42.18492432762411,-107.76338768364822,22056.0,0.7411,451.51,-2.0,288.58,239.9,59644.0
7470.0,-119660.2830334191,221430.8033689743,6720.396053112741,42.369157376222695,-108.53527099640323,22049.0,0.6804,414.56,242.0,301.23,232.61,59411.0
7757.0,-171931.7688844675,253121.1484891484,7073.673848422537,42.644476290262304,-109.18066558135374,23208.0,0.6198,375.84,463.0,316.23,227.66,59184.0
8045.0,-210183.57656733194,293047.24794716807,7749.099191944683,42.9940880430153,-109.66274241362855,25424.0,0.67,402.61,213.0,330.6,208.13,58975.0
8332.0,-239336.91458505078,344777.26607835054,8059.919238416308,43.45058182887428,-110.04299660786832,26443.0,0.8197,490.44,-174.0,321.27,228.6,58747.0
8619.0,-284772.57456597337,401421.1850144135,7805.843989928936,43.94407198702941,-110.6345699829891,25610.0,0.8141,488.79,47.0,313.25,248.27,58499.0
8906.0,-337366.14949352085,450900.3725854847,7874.935315412123,44.367010395488954,-111.32139479570013,25836.0,0.8169,490.04,55.0,306.86,247.92,58251.0
9194.0,-395288.11266626714,494319.84627303225,7955.193360920375,44.72869302726492,-112.08082899309959,26100.0,0.8199,491.3,425.0,315.91,272.1,57979.0
9481.0,-445595.6303971283,546250.1013000084,8576.101020839758,45.166251636826836,-112.76040199782828,28137.0,0.8166,485.13,-3.0,309.29,224.62,57754.0
9768.0,-501089.54284191557,591659.9685902578,8571.59325145217,45.53785597280168,-113.51026632052076,28122.0,0.82,487.16,-500.0,304.47,190.76,57563.0
10056.0,-560750.217672351,632615.5798136935,7841.842564324768,45.86155537851785,-114.31846741455055,25728.0,0.82,492.11,-1000.0,319.47,175.88,57387.0
10343.0,-608477.563316177,688435.2397073599,6382.3410978195825,46.32253288977657,-115.00052911736893,20939.0,0.7793,476.95,-1500.0,332.46,160.35,57227.0
10630.0,-641516.9360821531,751807.870115923,4193.088843125292,46.86008538184807,-115.512902248624,13757.0,0.7,440.59,-1451.0,328.33,174.88,57052.0
10918.0,-676140.0817336683,807924.1757010791,2075.803072946566,47.32896824219167,-116.04602296105696,6810.0,0.5,322.9,-951.0,313.33,108.44,56944.0
11205.0,-711127.6604791668,840924.6601640732,688.2667850900748,47.58889444189776,-116.55730591354602,2258.0,0.3,196.9,-451.0,320.87,82.65,56861.0
11492.0,-729558.0417108985,863578.1202241823,30.47999999997421,47.77185074362634,-116.83717446382884,100.0,0.1,66.13,49.0,328.41,527.44,56334.0
