ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,427224.9362255178,-539840.6746201698,30.480000303774794,33.00164000093994,-97.3207500010207,100.0,0.3,198.38,2414.0,326.61,295.55,66004.0
167.0,418037.8411667041,-525899.8906080999,2074.9410815516517,33.13066405099623,-97.41238046092492,6808.0,0.5,322.91,2044.0,323.93,250.72,65754.0
333.0,401931.5738330788,-503784.7230326019,3805.9425378631,33.33582596424771,-97.57474771230736,12487.0,0.5597,353.99,1702.0,323.93,227.13,65527.0
500.0,384234.084563723,-479488.1094086186,5247.945825009107,33.56098327660724,-97.7540378947355,17218.0,0.6128,380.63,1485.0,323.91,210.13,65316.0
667.0,365169.3720847875,-453338.72925170313,6506.033523971595,33.80302871723384,-97.94823382533113,21345.0,0.6649,406.25,1281.0,323.89,194.89,65122.0
834.0,344788.92484784353,-425403.5290788233,7591.00049037162,34.061273475277154,-98.15705287179185,24905.0,0.7161,431.23,1087.0,323.85,181.55,64940.0
1000.0,323113.2008893255,-395730.3861483168,8511.406021170518,34.33520729669217,-98.38055279210599,27925.0,0.7633,453.87,914.0,323.81,170.33,64770.0
1167.0,300256.1817823355,-364484.3302234663,9285.53746779678,34.62323317767688,-98.61782904682383,30464.0,0.7889,463.99,1008.0,323.76,170.16,64600.0
1334.0,276877.5966808743,-332586.1441512917,10138.981109096707,34.916809365370206,-98.86224283191191,33264.0,0.789,458.34,508.0,323.75,139.63,64460.0
1501.0,253701.3369113949,-300983.32467967237,10568.900383791828,35.20718830945538,-99.10627177623746,34675.0,0.7714,445.27,8.0,323.69,110.33,64350.0
1667.0,231086.41290337848,-270203.8678664196,10575.295291926348,35.48954151439266,-99.3460881044063,34696.0,0.7742,446.9,16.0,323.68,110.81,64239.0
1834.0,208384.14525831206,-239318.22893501297,10588.984973097422,35.77239375958198,-99.58852794326528,34741.0,0.7754,447.46,23.0,323.66,111.03,64128.0
2001.0,185640.48212255334,-208404.88521469256,10608.178050395081,36.055016445675214,-99.83314499265238,34804.0,0.7752,447.26,21.0,323.65,110.65,64017.0
2168.0,162901.0735298908,-177508.8899627268,10626.171430734348,36.33698517647487,-100.07947414920638,34863.0,0.7754,447.22,21.0,323.65,110.4,63907.0
2334.0,140162.98341791367,-146615.959722057,10644.228034253418,36.61842026278446,-100.3275716276177,34922.0,0.7755,447.17,21.0,323.66,110.15,63797.0
2501.0,117432.61959233896,-115722.86425329755,10662.269170149159,36.899341054970385,-100.57739274020854,34981.0,0.7756,447.11,21.0,323.7,109.9,63687.0
2668.0,94728.76968310711,-84816.13775900888,10680.381270745615,37.17985813189455,-100.82875144550239,35041.0,0.7757,447.03,22.0,323.74,109.7,63577.0
2835.0,72048.17994726586,-53899.802294739726,10698.59367355663,37.45992821911215,-101.08171191827869,35100.0,0.7757,446.94,21.0,323.79,109.39,63468.0
3001.0,49401.55148377378,-22968.003529858845,10716.666970523387,37.73959565173054,-101.33617946762588,35160.0,0.7758,446.86,21.0,323.83,109.14,63358.0
3168.0,26779.826926623315,7974.312487637479,10734.646047976388,38.01880914492127,-101.59228475948473,35219.0,0.7759,446.79,21.0,323.89,108.89,63250.0
3335.0,4194.913692416227,38936.93504073604,10752.702905700962,38.29764850885104,-101.84991982040897,35278.0,0.7759,446.71,21.0,323.95,108.64,63141.0
3502.0,-18355.274003143248,69916.85326325716,10770.865041249492,38.57607941265514,-102.10913601236604,35337.0,0.776,446.6,21.0,324.0,108.38,63032.0
3668.0,-40872.44857805974,100911.01738807373,10789.01147775143,38.85406713973877,-102.36998108548049,35397.0,0.776,446.5,21.0,324.05,108.13,62924.0
3835.0,-63360.03992022409,131917.1985435354,10807.021116173431,39.13158371780756,-102.63252329776246,35456.0,0.7761,446.42,21.0,324.09,107.88,62816.0
4002.0,-85818.88195600035,162937.17114564398,10824.961305195746,39.408636895600885,-102.89680196638527,35515.0,0.7762,446.35,21.0,324.12,107.63,62709.0
4169.0,-108259.23430958911,193965.02011162773,10842.953245534261,39.68516386134237,-103.16296613398964,35574.0,0.7762,446.27,22.0,324.15,107.43,62601.0
4335.0,-130682.18739022776,224999.5645421727,10861.596883386459,39.96114451072426,-103.4310597385473,35635.0,0.7761,446.1,18.0,324.15,106.97,62494.0
4502.0,-153097.89284772915,256024.57725445743,10876.5466140723,40.23642156839328,-103.70123036910668,35684.0,0.7771,446.52,53.0,324.14,108.52,62386.0
4669.0,-175537.51369626797,287071.6829289708,10921.23952129503,40.51126241280643,-103.97388700679649,35831.0,0.7692,441.73,-183.0,324.12,95.92,62290.0
4836.0,-197778.91450026623,317816.1413499573,10766.429860657992,40.78278609004626,-104.2463323059706,35323.0,0.7527,433.24,-683.0,324.08,70.48,62220.0
5002.0,-219672.31132243105,348038.78534246644,10188.095833425967,41.04906737711999,-104.51667648108622,33426.0,0.6842,397.21,-1183.0,324.03,41.12,62178.0
