ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,427224.93642537855,-539840.6746201953,30.48000030044146,33.0016400008547,-97.32074999888249,100.0,0.3,198.38,2414.0,326.61,262.8,66037.0
148.0,419044.9777111143,-527428.1475679964,1848.3957441628652,33.11652301445388,-97.40232245550686,6064.0,0.5,323.77,1914.0,320.89,218.94,65818.0
297.0,403625.5501022969,-508463.1241143576,3289.7175674634095,33.29313591018912,-97.5587307641062,10793.0,0.599,381.26,1414.0,319.01,197.84,65620.0
445.0,384688.3409444287,-486670.64616409654,4354.445470196613,33.49630830529089,-97.75236210252478,14286.0,0.6806,427.54,914.0,318.82,182.0,65438.0
593.0,363314.3524875048,-462238.57272685785,5042.579452365121,33.72377968212577,-97.972077489988,16544.0,0.7227,450.04,691.0,318.78,174.29,65264.0
741.0,340773.40055286937,-436506.98230173363,5562.784716028653,33.96293417544046,-98.20507173316985,18251.0,0.7364,455.54,699.0,318.77,170.82,65093.0
890.0,317952.53866175923,-410468.25916749414,6089.560491927364,34.204493817889016,-98.4423063674043,19979.0,0.75,460.8,708.0,318.68,167.23,64926.0
1038.0,294831.5951517169,-384165.0377844849,6623.192777171165,34.448057895291164,-98.68408293342314,21730.0,0.7634,465.71,718.0,318.56,163.5,64763.0
1186.0,271407.3786205549,-357637.28919069876,7164.018153931362,34.69324204698689,-98.93051707436146,23504.0,0.7761,470.08,727.0,318.43,159.55,64603.0
1334.0,247705.08847292516,-330916.96084620943,7711.869092491654,34.939725389857095,-99.18140903939445,25301.0,0.7879,473.67,734.0,318.34,155.33,64448.0
1483.0,223784.2438262914,-304030.14197127434,8264.56639424312,35.18723305673738,-99.43617492428325,27115.0,0.798,476.09,337.0,318.3,134.83,64313.0
1631.0,199668.45654740566,-276967.2137231825,8518.683665778213,35.435823463392616,-99.69460827306821,27948.0,0.8022,476.91,58.0,318.27,121.21,64192.0
1779.0,175464.6795535464,-249826.7465194063,8562.221460377285,35.68456868854871,-99.95560344991985,28091.0,0.8035,477.39,39.0,318.26,120.07,64072.0
1927.0,151229.5489742786,-222660.40177456397,8591.623417223518,35.93298027106775,-100.21857889171363,28188.0,0.8046,477.86,38.0,318.26,119.8,63952.0
2076.0,126968.14130230412,-195469.24896784118,8620.302438719787,36.18103679110935,-100.48350538523835,28282.0,0.8057,478.33,38.0,318.26,119.58,63832.0
2224.0,102681.80496059514,-168252.26900424034,8648.661601445905,36.42873632624347,-100.7503945786671,28375.0,0.8068,478.8,38.0,318.26,119.37,63713.0
2372.0,78371.04384842346,-141009.12027695932,8676.970760680479,36.67607087629729,-101.01926792502692,28468.0,0.8079,479.27,38.0,318.25,119.15,63594.0
2521.0,54035.773590771474,-113739.89607528757,8705.289037801222,36.92302841989636,-101.29015383698396,28561.0,0.809,479.74,37.0,318.25,118.89,63475.0
2669.0,29675.30422255473,-86445.13868374086,8733.424473557843,37.16959271117373,-101.56308792579361,28653.0,0.8101,480.21,37.0,318.25,118.68,63356.0
2817.0,5288.906592937755,-59125.56212522459,8761.565318037065,37.415745698590584,-101.83810662766388,28745.0,0.8113,480.68,37.0,318.24,118.47,63238.0
2965.0,-19123.97942995955,-31781.627882153163,8789.636047430073,37.661470493378296,-102.11524287766939,28837.0,0.8124,481.15,37.0,318.24,118.25,63119.0
3114.0,-43563.352100591466,-4413.268190065442,8817.48082827411,37.90675635513857,-102.39453071036857,28929.0,0.8135,481.62,37.0,318.23,118.04,63001.0
3262.0,-68028.10630451556,22980.44734732352,8845.29436905278,38.1515993330967,-102.67598319742125,29020.0,0.8146,482.09,37.0,318.23,117.83,62884.0
3410.0,-92516.83872472258,50400.79021981085,8873.085545291167,38.395998359030834,-102.95961423148943,29111.0,0.8157,482.56,37.0,318.23,117.61,62766.0
3558.0,-117028.87567956076,77848.35230662838,8900.952502360708,38.639946198701814,-103.24544610985048,29203.0,0.8168,483.03,54.0,318.23,118.07,62648.0
3707.0,-141562.7096818318,105320.02744380127,8941.70295350547,38.883402342991154,-103.53349101862122,29336.0,0.8181,483.5,-69.0,318.22,112.86,62535.0
3855.0,-166142.1721107598,132831.56397196182,8889.708511446608,39.12649098320648,-103.82405904047849,29166.0,0.8182,483.95,-569.0,318.22,93.49,62442.0
4003.0,-190808.28668847805,160438.9763041185,8461.120150253428,39.369691497237646,-104.11767807900941,27760.0,0.8125,483.44,-472.0,318.55,101.3,62340.0
4151.0,-215276.32232951076,188144.4289082659,8105.934084725134,39.61307393519426,-104.41107363477568,26594.0,0.8065,482.22,28.0,321.9,124.23,62216.0
4300.0,-237968.01732447927,217084.5857415242,8127.341939679526,39.867290787821595,-104.6861919926798,26665.0,0.8075,482.69,528.0,336.9,143.33,62073.0
4448.0,-252371.88289902156,250854.5507137855,8525.343715109526,40.16669866521052,-104.8678390084058,27970.0,0.8156,484.87,295.0,339.6,131.02,61942.0
4596.0,-265241.68891183595,285464.02595237055,8747.787942095496,40.47382621413342,-105.03335560077583,28700.0,0.82,485.96,2.0,339.18,117.73,61824.0
4744.0,-278417.53775550623,320108.70302893093,8749.603902430077,40.780920616724984,-105.204075641835,28706.0,0.82,485.95,-115.0,339.13,113.06,61711.0
4893.0,-291629.4188370393,354763.22677908314,8662.79237242025,41.087825540760086,-105.37685121676667,28421.0,0.82,486.54,-615.0,339.12,94.51,61616.0
5041.0,-304896.41678608017,389546.65614383185,8199.38692187115,41.39559618769632,-105.55200749516486,26901.0,0.8119,484.83,-1115.0,339.12,79.02,61537.0
5189.0,-318148.72239323496,424289.5129363319,7359.387550765453,41.70272805357264,-105.72866852769555,24145.0,0.7932,479.19,-1615.0,339.12,66.08,61471.0
5338.0,-331273.12802621943,458700.10454125516,6142.794259100745,42.0066421885045,-105.90533293641823,20154.0,0.762,467.81,-2115.0,339.12,54.56,61417.0
5486.0,-344107.7368190864,492352.1851835955,4549.607046880311,42.30358159091728,-106.0797715297467,14927.0,0.7,438.63,-2500.0,339.12,39.58,61377.0
