ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,427224.93622723187,-539840.6747999612,30.48000000199482,33.00163999932521,-97.32075000108993,100.0,0.3,198.38,2004.0,326.61,300.61,65999.0
177.0,417425.2055115836,-524970.2583631059,1834.4333124225584,33.13926559519652,-97.41850025999818,6018.0,0.5,323.82,1504.0,330.96,240.47,65759.0
354.0,403222.815885119,-499395.71536038397,3188.2765753984568,33.37471293609536,-97.55883027954496,10460.0,0.6427,409.58,1004.0,315.96,228.06,65531.0
532.0,377414.98517733667,-472712.7666072217,4092.0097768008654,33.62444318771216,-97.82451101543683,13425.0,0.6977,439.73,676.0,306.42,215.42,65315.0
709.0,345282.53578499856,-449006.63567234675,4700.4669150844975,33.84908742636971,-98.16135662447236,15421.0,0.7141,446.62,686.0,318.66,210.87,65105.0
886.0,318498.34702074894,-418558.96258656634,5317.696678778844,34.13163017284814,-98.4394580354485,17447.0,0.7306,453.35,696.0,309.69,206.06,64898.0
1063.0,286825.40650281654,-392275.0994232186,5944.057833437597,34.37756939337002,-98.7741029883585,19502.0,0.747,459.81,706.0,324.69,200.99,64698.0
1240.0,262698.62037576106,-358215.1707040131,6579.987888167014,34.69044333448719,-99.0258642364814,21588.0,0.7631,465.82,718.0,339.69,195.72,64502.0
1418.0,248022.06194135812,-318565.5183289327,7226.024374010572,35.05065198407195,-99.17414976841022,23707.0,0.7785,471.11,224.0,341.05,166.16,64336.0
1595.0,234094.33301235118,-278000.6234395237,7427.562265354407,35.41873235336484,-99.3151849319995,24369.0,0.7834,472.82,-276.0,337.64,139.62,64196.0
1772.0,217666.67647104006,-238072.44404336036,7178.9911635958315,35.78151084091623,-99.4853489509307,23553.0,0.6027,364.95,-459.0,336.04,87.12,64109.0
1949.0,204118.07342497556,-207587.19586757233,6765.412391352245,36.05855565864161,-99.62748063395418,22196.0,0.4512,274.72,26.0,333.6,115.57,63993.0
2127.0,192985.45153816722,-185157.76009783443,6788.38603024243,36.262526568206866,-99.7456619836554,22272.0,0.3429,208.71,498.0,331.02,201.47,63792.0
2304.0,183795.7492775587,-168567.99260653963,7236.85822495866,36.41350708816318,-99.84413997565231,23743.0,0.3666,221.85,805.0,319.56,219.46,63572.0
2481.0,170749.83251350943,-153260.92216575507,7961.735433208571,36.553588739735986,-99.98645003608375,26121.0,0.4532,271.52,851.0,328.42,189.03,63383.0
2658.0,157862.00480618433,-132295.10337455798,8727.754112949942,36.74435138036413,-100.12631758748978,28634.0,0.5078,301.04,479.0,333.1,149.76,63234.0
2835.0,145483.004205824,-107898.57439737757,9159.085192767425,36.965718682143724,-100.26048361913946,30049.0,0.6977,411.09,-3.0,333.31,115.41,63118.0
3013.0,128649.58993170796,-74414.8192115689,9156.194191497912,37.26927788502504,-100.44411456218131,30040.0,0.82,483.16,-435.0,318.46,115.29,63003.0
3190.0,99360.63736102836,-41355.29172762233,8764.295021822192,37.57018035015698,-100.77058874297131,28754.0,0.8136,482.06,-932.0,310.11,95.11,62908.0
3367.0,65559.26409835622,-12880.660335681867,7925.726846824125,37.829290816750266,-101.15151837457094,26003.0,0.8001,479.63,-1360.0,299.85,83.38,62824.0
3544.0,27332.69396970847,9055.553454039897,6701.033278404043,38.02851640432058,-101.58593215525327,21985.0,0.7275,443.39,-867.0,314.85,101.83,62723.0
3721.0,-1468.0497305366712,37704.114544035205,5920.633693879345,38.28657005327726,-101.91481005205937,19425.0,0.5275,324.83,-381.0,309.28,84.32,62638.0
3899.0,-24438.017244647614,56494.256997426564,5577.607838486566,38.45522273286551,-102.17863815494928,18299.0,0.3277,202.7,108.0,323.47,147.67,62491.0
4076.0,-35430.90728825622,71333.10104149839,5674.6217447584495,38.58830349321958,-102.30563195291495,18618.0,0.2829,174.78,508.0,313.11,227.74,62263.0
4253.0,-47022.769336807905,82186.0307688729,6131.959844199606,38.68537036668575,-102.4397301787517,20118.0,0.3892,238.99,690.0,308.71,180.68,62082.0
4430.0,-63948.11044952713,95749.05909641364,6752.7380472801,38.80628952338762,-102.63596888445635,22155.0,0.5623,342.48,478.0,305.84,142.49,61940.0
4607.0,-89182.59388538434,113977.30543439,7182.5982507417475,38.96803841662132,-102.92952242757242,23565.0,0.7446,450.86,310.0,319.94,159.3,61780.0
4785.0,-115582.79457911312,145378.21172841138,7461.224605815271,39.24734731176155,-103.24016482241326,24479.0,0.7032,424.2,523.0,334.15,157.43,61623.0
4962.0,-132386.78016923083,180067.8967019278,7932.0867876006405,39.55689444451549,-103.44208229586201,26024.0,0.7669,459.65,414.0,346.04,158.95,61464.0
5139.0,-142466.73614317089,220628.73018410246,8304.839816852917,39.91999683497799,-103.56833143335493,27247.0,0.8024,478.5,260.0,347.22,154.41,61310.0
5316.0,-152102.00971225396,263099.76005453354,8538.733296537575,40.30020730853332,-103.69116271989546,28014.0,0.82,487.38,-44.0,0.55,141.08,61168.0
5493.0,-151671.90179919102,307541.83139284875,8498.800047421551,40.69984269727936,-103.69659141034465,27883.0,0.82,487.66,-318.0,354.0,128.98,61040.0
