ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-589117.0249973608,-318771.4823187684,30.480000303820365,33.00161293926185,-97.32072983411665,100.0,0.3,198.38,2414.0,55.67,287.48,66013.0
162.0,-575700.8241127558,-309610.83465830534,2019.1364557143054,33.09128072705368,-97.18312913823446,6624.0,0.5,323.12,2048.0,59.35,244.31,65768.0
324.0,-552785.1675253306,-296032.1676313939,3706.8658852443423,33.22554737387473,-96.94615854021735,12162.0,0.5544,351.03,1726.0,59.36,222.38,65546.0
487.0,-527837.1918103197,-281253.2505425759,5129.058605736616,33.37117606464276,-96.68734437960572,16828.0,0.6058,376.84,1515.0,59.37,206.13,65340.0
649.0,-501019.7854949425,-265373.0949731909,6377.057372025585,33.52706366999601,-96.40816904228362,20922.0,0.6561,401.58,1316.0,59.38,191.43,65148.0
811.0,-472407.17940172093,-248437.1799736795,7461.361543996121,33.69263157123108,-96.10919438332299,24480.0,0.7056,425.64,1127.0,59.38,178.44,64970.0
973.0,-442047.3165022181,-230470.03568993582,8390.314029649928,33.867496739343494,-95.79070465258813,27527.0,0.7538,448.95,950.0,59.38,167.32,64802.0
1135.0,-409995.6196888683,-211495.83697893133,9172.855320541847,34.05127038264265,-95.45305753461349,30095.0,0.7832,461.34,1045.0,59.36,167.59,64635.0
1298.0,-377089.53883748077,-192001.70422589648,10033.797296911278,34.23911003973709,-95.10489764208636,32919.0,0.7893,459.24,589.0,59.33,140.43,64494.0
1460.0,-344251.5778753379,-172526.35101127048,10519.063845286064,34.425774168801105,-94.75592290917582,34511.0,0.7809,451.12,89.0,59.3,112.48,64382.0
1622.0,-311904.7154473043,-153317.70321439716,10592.366344346834,34.60889877744662,-94.41065715640701,34752.0,0.7686,443.56,-13.0,59.27,105.82,64276.0
1784.0,-280089.8822247767,-134402.071196024,10581.924863366354,34.788269238834744,-94.06959669401759,34718.0,0.7756,447.63,28.0,59.24,108.35,64168.0
1946.0,-247999.11240434807,-115303.20396661582,10604.705973443657,34.968404618213235,-93.72408545416076,34792.0,0.7745,446.87,20.0,59.22,107.59,64060.0
2108.0,-215967.30479518505,-96225.7382335116,10621.287936965593,35.14735676874804,-93.37770192983072,34847.0,0.7749,446.96,21.0,59.21,107.43,63953.0
2271.0,-183932.75268491558,-77138.7317287231,10638.88983863748,35.32540999420081,-93.02977154824572,34904.0,0.775,446.9,21.0,59.21,107.19,63846.0
2433.0,-151903.00351197322,-58053.07303865951,10656.312349950815,35.50245409859319,-92.68036605877336,34962.0,0.7751,446.86,21.0,59.22,106.96,63739.0
2595.0,-119874.1260056627,-38972.07579648399,10673.72826593141,35.67844924853253,-92.32943385466015,35019.0,0.7752,446.81,21.0,59.23,106.72,63632.0
