ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-589117.0249973421,-318771.48251913086,30.480000299918007,33.00161293746596,-97.32072983398396,100.0,0.3,198.38,2414.0,55.67,254.44,66046.0
144.0,-577226.807596353,-310652.7838541105,1790.579652093075,33.08108925730434,-97.19879412558973,5875.0,0.5,323.99,1991.0,70.67,215.16,65830.0
287.0,-554884.3278074444,-302817.4147488543,3242.6983483522745,33.163579784435186,-96.96441898618144,10639.0,0.5879,374.39,1491.0,81.24,193.46,65637.0
431.0,-527761.6411319321,-298636.6623187068,4330.200130602746,33.21530367736628,-96.67611405808822,14207.0,0.6714,421.9,991.0,66.24,177.5,65459.0
574.0,-499383.2817480795,-286142.35527645634,5053.084998846385,33.34153314331347,-96.37869985767772,16578.0,0.7229,450.11,691.0,61.56,168.68,65291.0
718.0,-470251.0698588594,-270366.36359694484,5556.832172392381,33.496839131864235,-96.07407195368926,18231.0,0.7362,455.44,699.0,61.31,165.44,65125.0
861.0,-440846.45831051527,-254276.50620171218,6066.744034125859,33.65432993373698,-95.76557108271122,19904.0,0.7494,460.54,708.0,61.26,162.09,64963.0
1005.0,-411130.24465207,-237980.44435235191,6583.0802767345485,33.81302719132711,-95.45267038809678,21598.0,0.7623,465.3,717.0,61.25,158.58,64805.0
1148.0,-381113.13261586096,-221510.40100866888,7106.148740613432,33.972605205821296,-95.1354262760488,23314.0,0.7747,469.59,726.0,61.25,154.9,64650.0
1292.0,-350823.280291287,-204889.4706388649,7635.89487692983,34.132814388254836,-94.81409276886734,25052.0,0.7862,473.16,733.0,61.25,150.97,64499.0
1435.0,-320304.6163777741,-188144.55590187068,8170.599835595908,34.29336826965516,-94.48909897834723,26806.0,0.7963,475.71,449.0,61.25,135.71,64363.0
1579.0,-289577.25883959164,-171284.45744944364,8498.228543437948,34.454154210776004,-94.16062786408041,27881.0,0.8016,476.72,69.0,61.24,117.96,64245.0
