ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-589117.0250974343,-318771.4824197542,30.47999999998745,33.00161293829976,-97.3207298351204,100.0,0.3,198.38,956.0,55.67,203.0,66097.0
159.0,-575822.5716113006,-309693.96417798166,800.8378985673744,33.09046769476087,-97.1843790700396,2627.0,0.5,327.74,1163.0,40.67,205.41,65892.0
317.0,-558497.6909751464,-289533.8230841608,1737.9725654706947,33.28073323165622,-97.011553400636,5702.0,0.6516,422.5,663.0,25.67,213.34,65678.0
476.0,-543609.8943234271,-258564.06525941138,2272.2327048159623,33.566417901826654,-96.87095101561451,7455.0,0.6592,424.74,163.0,22.15,186.59,65492.0
634.0,-530551.196304126,-226490.36440641398,2403.628979378404,33.86091654875134,-96.74993876770398,7886.0,0.6613,425.42,662.0,37.15,206.12,65286.0
793.0,-509655.23980419233,-198914.5405279497,2936.88593663059,34.11895165879366,-96.54045159335644,9635.0,0.6236,398.58,1162.0,52.15,208.6,65077.0
952.0,-484129.4376985507,-179081.51370289747,3873.0112481748884,34.30942402921726,-96.27492199286648,12707.0,0.6845,432.57,765.0,67.15,195.42,64882.0
1110.0,-451731.49137573666,-165431.73404342303,4489.555802341941,34.44695899706388,-95.92998899957844,14730.0,0.7082,444.1,697.0,82.15,190.19,64691.0
1269.0,-415964.5313637621,-160502.7032260325,5051.27061567689,34.50663799096427,-95.54283250402841,16572.0,0.7228,450.03,711.0,97.15,186.4,64505.0
1428.0,-379666.9789034965,-165058.22551770933,5624.2751087873685,34.48010286000186,-95.1450358900345,18452.0,0.7284,450.2,804.0,88.69,183.45,64322.0
1586.0,-343101.488047052,-164219.645688366,6272.467870789335,34.50078244504571,-94.7467877640828,20579.0,0.7569,463.89,713.0,73.69,177.33,64144.0
1745.0,-306914.9394426514,-153628.52592626872,6846.991620278449,34.60764602194682,-94.35605787533422,22464.0,0.7575,460.73,824.0,58.69,174.23,63970.0
1903.0,-274944.495210112,-134179.69636473313,7511.035274843991,34.791696995016245,-94.01335684269671,24643.0,0.6002,361.8,838.0,48.55,150.68,63819.0
2062.0,-252924.82854659873,-114731.31547624971,8186.1166718064715,34.972304863085554,-93.77829379994341,26857.0,0.8002,477.93,338.0,63.55,145.03,63674.0
2221.0,-218076.586609204,-97393.10048031516,8458.332900946634,35.13640196149763,-93.4005814903493,27750.0,0.8052,479.12,-162.0,70.14,120.89,63553.0
2379.0,-181273.8960900221,-84099.98603091967,8327.680452844234,35.263318579614435,-92.99891611881326,27322.0,0.8039,479.23,-662.0,55.14,100.33,63453.0
2538.0,-149071.26056429558,-61668.85951129422,7794.169040650484,35.47037692896949,-92.64841956190263,25571.0,0.7948,477.3,-870.0,40.14,96.15,63357.0
2696.0,-123847.83198107798,-31757.94738567856,7093.31234733984,35.742823385935694,-92.37454279402824,23272.0,0.6172,374.15,-370.0,37.55,85.18,63272.0
2855.0,-105206.8176121877,-7504.678261498642,6795.273485031996,35.96309241130764,-92.17122854970151,22294.0,0.711,432.79,130.0,34.46,132.87,63139.0
3014.0,-85237.13668072558,21591.46047039783,6899.987284042777,36.226690353956236,-91.95251296810184,22638.0,0.5382,327.15,630.0,48.94,138.11,63001.0
3172.0,-65180.512362121204,39062.28053448095,7407.503320158533,36.38535762525089,-91.73038356085588,24303.0,0.5587,337.26,1130.0,58.71,166.03,62835.0
3331.0,-41821.87906357594,53257.61810999185,8317.67645978225,36.51430998752085,-91.4702140077108,27289.0,0.5792,345.32,727.0,73.71,140.37,62694.0
3489.0,-14892.073113760824,61126.13567380193,8903.806059477127,36.585865335236456,-91.16903412738331,29212.0,0.7792,460.76,228.0,88.71,126.92,62567.0
3648.0,22646.05640843013,61969.942833272886,9087.402727443758,36.593302627277666,-90.74858785190247,29814.0,0.82,483.63,-122.0,77.68,117.05,62450.0
3807.0,61227.081434044056,70396.07927824528,8989.375122895957,36.66739647285753,-90.31578252841868,29493.0,0.8198,484.2,-542.0,79.9,100.23,62350.0
3965.0,100242.6173037337,77342.43978819958,8552.329357305556,36.72658200552691,-89.87747327856333,28059.0,0.8144,483.96,-778.0,64.9,94.55,62256.0
4124.0,136156.3236940332,94161.97374733213,7925.111019560775,36.873390591963386,-89.47156026763102,26001.0,0.7416,444.54,-278.0,49.9,106.72,62149.0
4283.0,163946.50232356894,117559.48696779247,7700.753153563005,37.07938974698111,-89.1541441669707,25265.0,0.7987,480.23,44.0,43.07,137.24,62012.0
4441.0,190700.50937950975,146177.57733247627,7736.166984886106,37.33167575125437,-88.84537455214647,25381.0,0.6097,366.42,544.0,58.07,129.94,61882.0
4600.0,215997.5292027988,161940.81689348523,8174.432296059946,37.467936631738944,-88.55479888007872,26819.0,0.6187,369.61,540.0,73.07,128.21,61753.0
4758.0,244760.29007797551,170695.04814524963,8609.536232131873,37.53960103883034,-88.22616993421117,28247.0,0.8187,486.14,40.0,64.03,128.9,61625.0
4917.0,280414.8918192637,188060.62059670468,8641.813002106432,37.68571403678952,-87.81545013293643,28352.0,0.82,486.68,-41.0,67.29,125.29,61499.0
5076.0,317057.6802723043,203392.46301082912,8608.729895314123,37.81180435625878,-87.39276288298001,28244.0,0.82,486.91,59.0,56.2,129.75,61369.0
5234.0,350063.73819340626,225484.0880342801,8656.229137259206,37.99846850427026,-87.0068109215738,28400.0,0.82,486.58,-441.0,51.32,108.3,61261.0
5393.0,381132.9089965347,250360.20901443332,8300.854587100373,38.20965843329409,-86.6395512474352,27234.0,0.8155,486.35,-941.0,50.54,91.31,61170.0
5551.0,411926.60017133417,275709.6145085944,7542.604808559227,38.424060027170405,-86.27303606420932,24746.0,0.799,481.47,-1441.0,50.38,77.04,61093.0
5710.0,442412.19057790155,300948.9322177986,6381.479623323514,38.636464204996386,-85.90794547269277,20937.0,0.7694,470.9,-1941.0,65.38,64.69,61028.0
5869.0,477671.416148919,317108.0346026889,4817.479053467514,38.76380380737014,-85.49186466697167,15805.0,0.7,437.15,-2441.0,67.91,40.91,60987.0
6027.0,511082.29188156215,330666.8760214298,2850.6039855403283,38.86740119961054,-85.0975214756627,9352.0,0.5,319.93,-2000.0,52.91,22.33,60965.0
6186.0,532068.4758518067,346531.8856887905,1239.1053339398004,38.997668504402014,-84.84362688035586,4065.0,0.3,195.65,-1500.0,55.67,25.99,60939.0
6345.0,545307.433106688,355571.51072846877,30.480000000000636,39.070879999972966,-84.68373999999295,100.0,0.1,66.13,-1000.0,58.44,208.87,60730.0
