ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,168471.1161525728,202705.70367088262,30.48000030446053,33.00163999911597,-97.32075000108995,100.0,0.3,198.38,2414.0,221.43,131.44,66169.0
74.0,163524.95075272862,197101.75341110065,939.7204751017508,32.95198283980762,-97.37475814067896,3083.0,0.4723,309.12,2282.0,220.43,118.06,66050.0
148.0,155935.9356670476,188193.54449179623,1799.3118980801098,32.87296096624859,-97.45755798602904,5903.0,0.4925,319.08,2102.0,220.43,113.18,65937.0
222.0,148095.66430118895,178990.6704581705,2591.2785533751485,32.79126811056256,-97.542944259867,8502.0,0.512,328.62,1946.0,220.43,108.48,65829.0
297.0,140015.14384216137,169506.1392628454,3324.4770777756103,32.70701459671712,-97.63078298797606,10907.0,0.5336,339.5,1817.0,220.43,104.25,65725.0
371.0,131662.68346001694,159702.7520706387,4009.124019056844,32.619864465408774,-97.72140359493365,13153.0,0.5569,351.35,1719.0,220.43,100.73,65624.0
445.0,123014.82569930548,149553.5053577831,4656.513897751718,32.52957142572273,-97.8150433162767,15277.0,0.5799,362.92,1623.0,220.44,97.3,65527.0
519.0,114078.57571759743,139066.59929200241,5267.810096522559,32.43620178706721,-97.91160813526412,17283.0,0.6027,374.25,1530.0,220.44,94.02,65433.0
593.0,104860.1210801122,128249.01786461922,5844.06232157508,32.3398110710181,-98.01101304305287,19173.0,0.6253,385.41,1439.0,220.44,90.88,65342.0
667.0,95363.2341748946,117106.01850512404,6386.132063503097,32.24043953992543,-98.1131990206791,20952.0,0.6478,396.41,1350.0,220.44,87.89,65254.0
742.0,85592.13577186805,105641.76262852199,6894.861723434549,32.13811756588675,-98.21810238859845,22621.0,0.67,407.26,1264.0,220.44,85.09,65169.0
816.0,75550.62075003902,93860.67059537402,7371.106643823481,32.03287790517526,-98.32566397950013,24183.0,0.6921,418.0,1180.0,220.44,82.44,65086.0
890.0,65241.17848700152,81766.31904746735,7815.645483580908,31.924745826296366,-98.43583855478154,25642.0,0.7142,428.74,1097.0,220.44,79.96,65006.0
964.0,54664.526570955546,69357.79883841483,8228.989392052756,31.81370633030665,-98.54859984692723,26998.0,0.7362,439.47,1016.0,220.44,77.65,64929.0
1038.0,43820.300354518135,56636.006412485905,8611.699039886871,31.699760627343608,-98.66393264894843,28254.0,0.7568,449.37,941.0,220.44,75.54,64853.0
1112.0,32729.851768579967,43624.58786353766,8966.210953057649,31.58311380186529,-98.78159148396779,29417.0,0.7707,455.33,890.0,220.44,73.71,64779.0
1186.0,21490.897527143414,30438.385636214363,9301.465269497756,31.46479043316708,-98.90052573230498,30517.0,0.7871,462.81,810.0,220.44,71.49,64708.0
1261.0,10064.952211997337,17032.417058871968,9606.44713970998,31.34438274517021,-99.02113102460478,31517.0,0.777,454.86,310.0,220.44,59.14,64649.0
1335.0,-1180.6314503058763,3836.573391166294,9723.073506487603,31.225752534736323,-99.13953143397731,31900.0,0.7587,443.4,-190.0,220.44,46.53,64602.0
1409.0,-12158.017858857844,-9044.398122177205,9651.34436982984,31.10984851134557,-99.25482148225838,31665.0,0.7116,416.31,-690.0,220.43,32.27,64570.0
1483.0,-22476.59550982942,-21153.799794352883,9391.2597297372,31.000793869332675,-99.36293590525852,30811.0,0.6687,392.7,-1190.0,220.44,18.88,64551.0
1557.0,-32219.968400603037,-32587.99656879167,8942.819586225429,30.897737555140687,-99.4647967791415,29340.0,0.6453,381.39,-1270.0,220.43,16.51,64535.0
1631.0,-41683.2811118845,-43693.85552104171,8464.28094958407,30.797564396698586,-99.56352009568022,27770.0,0.6222,370.21,-1290.0,220.43,15.37,64519.0
1706.0,-50868.47296193124,-54473.69876422086,7978.385823533451,30.70026052405487,-99.65914540620798,26176.0,0.6004,359.63,-1300.0,220.44,14.46,64505.0
1780.0,-59790.93471276444,-64944.47671209052,7488.645432321065,30.605679503144824,-99.75185106496845,24569.0,0.5798,349.64,-1304.0,220.44,13.71,64491.0
1854.0,-68465.00414627622,-75123.56786309188,6997.421774537792,30.513670406650544,-99.84180252748992,22957.0,0.5605,340.23,-1304.0,220.44,13.08,64478.0
