ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,168471.11621705696,202705.7038315473,30.48000000003061,33.001640000550864,-97.32075000036959,100.0,0.2368,156.57,1739.0,221.43,114.13,66186.0
64.0,165075.05679918334,198858.00694743905,598.4472457937101,32.967547672563164,-97.35783875982382,1963.0,0.4368,286.96,1239.0,236.43,82.64,66103.0
129.0,157190.38120013475,193625.84792194853,1003.0749105212707,32.92163017158561,-97.44321496807079,3291.0,0.6368,416.42,739.0,251.43,90.12,66013.0
193.0,144151.43723305143,189245.94289624938,1244.362784593033,32.883987497173095,-97.58355070040884,4083.0,0.6449,420.55,666.0,257.7,88.68,65924.0
257.0,130576.79437742702,186286.90181807932,1461.8329977869748,32.85902990197683,-97.72930324689793,4796.0,0.6479,421.43,665.0,256.96,87.71,65837.0
322.0,117013.29206903413,183145.50119876864,1678.9345921697632,32.832266769012215,-97.87487815442312,5508.0,0.6509,422.32,664.0,256.77,86.75,65750.0
386.0,103431.38515419373,179953.56066888163,1895.7215561926812,32.80488668705248,-98.02056864304386,6220.0,0.6539,423.22,663.0,241.8,85.79,65664.0
450.0,91109.83164154932,173345.58087135415,2112.2505566928216,32.74652271837266,-98.15302284359858,6930.0,0.657,424.13,662.0,226.8,84.84,65579.0
514.0,80896.18493169238,163753.58247880838,2328.582835856249,32.66103979199763,-98.26304037841818,7640.0,0.6601,425.05,662.0,225.78,83.9,65495.0
579.0,70832.4197809803,153960.89458083853,2544.764861010061,32.57364834378768,-98.37126471442757,8349.0,0.6633,425.98,661.0,219.79,82.95,65412.0
643.0,61826.22882931037,143147.6226579045,2760.85424030308,32.47693070562365,-98.4680719165309,9058.0,0.6665,426.92,661.0,204.79,82.02,65330.0
707.0,55911.9157135997,130344.0296599068,2976.916185573569,32.36209389472508,-98.5318664782106,9767.0,0.6697,427.87,661.0,200.77,81.09,65249.0
772.0,50899.316671854256,117127.72717510798,3193.003663524151,32.24347387543525,-98.58593358630347,10476.0,0.6747,429.91,664.0,185.89,80.44,65169.0
836.0,49440.84189152088,103000.66768712767,3409.8358967588765,32.11649281174473,-98.60216668019154,11187.0,0.6805,432.48,667.0,178.07,79.88,65089.0
900.0,49921.674694641326,88721.90045861735,3627.748682824463,31.988062780058463,-98.59779879113746,11902.0,0.6864,435.05,670.0,178.16,79.31,65010.0
965.0,50382.62305752989,74357.67338449761,3846.75517253077,31.858864964105003,-98.59365620097826,12621.0,0.6923,437.63,674.0,180.35,78.75,64931.0
1029.0,50294.79358216027,59901.59589772448,4066.8692917220237,31.728865016186084,-98.595330418094,13343.0,0.6983,440.19,677.0,195.35,78.16,64853.0
