ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,687665.236734935,-557958.7573957745,30.480000303363116,33.001640000963455,-97.32075000098875,100.0,0.3,198.38,2414.0,316.64,365.45,65935.0
206.0,673531.0990916988,-542992.4256293606,2558.469270237953,33.14525952143787,-97.46013730973333,8394.0,0.5,321.05,2001.0,312.24,304.78,65630.0
412.0,648689.4091816491,-520431.8076437915,4654.041856818193,33.363785936618704,-97.70903076560289,15269.0,0.5904,369.45,1576.0,312.24,268.59,65361.0
619.0,620010.3352004032,-494386.8078661577,6304.33975396706,33.61544932610326,-97.99792079945816,20684.0,0.6549,401.22,1320.0,312.24,244.2,65117.0
825.0,588810.3794917609,-466054.11486428336,7686.487472710242,33.88846040892036,-98.3141140678737,25218.0,0.7178,431.69,1081.0,312.24,223.31,64894.0
1031.0,555185.8069979518,-435522.50774637447,8818.831720740864,34.18176189225087,-98.65713910186717,28933.0,0.7699,455.79,892.0,312.24,206.69,64687.0
1237.0,519635.7490699698,-403246.4365353087,9753.044611294725,34.490790171915336,-99.02239446099827,31998.0,0.7885,460.62,653.0,312.23,184.97,64502.0
1443.0,483644.59039874276,-370574.59268045373,10437.196949583265,34.802507582250605,-99.3949325177886,34243.0,0.7818,452.2,153.0,312.23,147.67,64354.0
1649.0,448170.3350319623,-338377.7304991623,10597.65868588089,35.108589530690324,-99.7648707517387,34769.0,0.7683,443.31,-0.0,312.22,135.21,64219.0
1856.0,413347.93635600025,-306779.4792818473,10597.658684078786,35.407895128431896,-100.1307079097678,34769.0,0.774,446.62,22.0,312.21,136.98,64082.0
2062.0,378267.54622664116,-274954.961582115,10620.69694502773,35.70823596113304,-100.50199733253497,34845.0,0.774,446.45,21.0,312.21,136.51,63946.0
2268.0,343196.4543609428,-243146.27790456932,10642.658022756672,36.00729421099912,-100.8759791354523,34917.0,0.7742,446.42,21.0,312.2,136.14,63809.0
2474.0,308123.7586995027,-211343.06613621113,10664.660784621612,36.30514607075602,-101.25280897773075,34989.0,0.7744,446.38,21.0,312.19,135.76,63674.0
2680.0,273050.4071068204,-179546.29933149592,10686.628353236973,36.601760596770895,-101.6325178009466,35061.0,0.7745,446.34,21.0,312.19,135.39,63538.0
