ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-512930.65539430827,-358552.0144895427,30.48000030389408,33.00161652887899,-97.32072806423702,100.0,0.3,198.38,2414.0,49.71,269.26,66031.0
152.0,-501316.0641319414,-348705.18333719426,1893.0836517681314,33.09567485550512,-97.20199527756648,6211.0,0.5,323.6,2059.0,52.37,229.84,65801.0
304.0,-481516.62356960773,-333440.392878558,3482.180394386468,33.24211021588826,-96.99817561850732,11424.0,0.5467,347.16,1758.0,52.38,210.63,65590.0
456.0,-460233.5315085835,-317039.42816381645,4839.039681029974,33.39907996093906,-96.77831923094364,15876.0,0.595,371.47,1558.0,52.4,196.17,65394.0
608.0,-437427.75504425185,-299479.4051177733,6041.731369469736,33.56672203120421,-96.54184666699769,19822.0,0.6422,394.82,1370.0,52.44,182.99,65211.0
760.0,-413153.37228622247,-280811.3974365744,7099.060647369288,33.744461792441406,-96.28912871755998,23291.0,0.689,417.69,1190.0,52.49,171.17,65040.0
911.0,-387431.9627692757,-261065.48812743713,8017.223153801284,33.93192236163817,-96.02018970050409,26303.0,0.7354,440.26,1016.0,52.55,160.76,64879.0
1063.0,-360273.2712852092,-240262.24111950927,8801.648167531266,34.12881071694079,-95.73492082865675,28877.0,0.7714,456.8,887.0,52.62,152.36,64727.0
1215.0,-332048.2383724095,-218699.25395546298,9485.784788109013,34.332218575022324,-95.43702364948335,31121.0,0.7917,464.27,968.0,52.71,151.97,64575.0
1367.0,-303345.742217773,-196838.167974133,10233.018868207779,34.53772905427119,-95.13258453094429,33573.0,0.7874,456.8,468.0,52.8,124.67,64450.0
1519.0,-274989.21640502743,-175311.27610421472,10594.401616142746,34.73938564845709,-94.8303185951176,34759.0,0.7649,441.38,-32.0,52.89,98.0,64352.0
1671.0,-247476.75168646424,-154494.5725595443,10569.933032980894,34.9337024385321,-94.53562173304884,34678.0,0.7754,447.63,31.0,52.98,101.77,64250.0
1823.0,-219551.95162377757,-133434.22117777535,10594.237357420754,35.12958976948452,-94.23506479318581,34758.0,0.7738,446.5,19.0,53.06,100.82,64150.0
1975.0,-191664.5922482382,-112465.97745736562,10609.195896798901,35.32389985398359,-93.93345543834059,34807.0,0.7742,446.67,20.0,53.13,100.7,64049.0
2127.0,-163741.13211966443,-91524.47131470458,10624.731063991727,35.517226572553575,-93.62999486363402,34858.0,0.7745,446.75,21.0,53.19,100.56,63948.0
2279.0,-135792.5831165929,-70606.1556790711,10641.02869823849,35.70958816731376,-93.32479360545749,34912.0,0.7747,446.71,21.0,53.24,100.35,63848.0
2431.0,-107828.09364688196,-49713.08345885518,10657.09074057979,35.90095386844795,-93.01794160063629,34964.0,0.7748,446.71,21.0,53.26,100.15,63748.0
2582.0,-79856.32139978457,-28829.819762545314,10673.120544290314,36.09145114392536,-92.70952651399352,35017.0,0.775,446.7,20.0,53.27,99.91,63648.0
2734.0,-51878.27742847236,-7954.6625784014805,10688.804538465462,36.281085305063826,-92.39954868686225,35068.0,0.7753,446.75,21.0,53.27,99.77,63548.0
2886.0,-23897.080572070972,12922.645827185228,10704.741235600766,36.469938573847955,-92.08803216577432,35121.0,0.7755,446.76,20.0,53.26,99.52,63449.0
3038.0,4081.5755334367154,33804.93309677199,10720.311608043217,36.6580263543939,-91.775028648722,35172.0,0.7758,446.81,21.0,53.25,99.38,63349.0
3190.0,32060.36609916827,54695.259683112105,10736.256027506233,36.845366704563446,-91.46049670756365,35224.0,0.7759,446.81,21.0,53.23,99.18,63250.0
3342.0,60032.19224638113,75595.80240414386,10752.65887248626,37.03197023809579,-91.14450412564155,35278.0,0.776,446.75,20.0,53.2,98.93,63151.0
3494.0,87989.91244361996,96507.50227981525,10768.47356566278,37.21783698364137,-90.8271196872856,35330.0,0.7762,446.76,20.0,53.19,98.74,63052.0
3646.0,115943.47659170572,117428.62272392675,10783.697918270225,37.40294152389449,-90.50821982266349,35380.0,0.7766,446.87,20.0,53.16,98.56,62954.0
3798.0,143894.55063423983,138368.47209817547,10799.37255481384,37.587357734720584,-90.18777203876198,35431.0,0.7768,446.92,19.0,53.13,98.33,62855.0
3950.0,171839.0839867198,159324.67638089551,10813.817810883227,37.77105518642887,-89.86581000683942,35478.0,0.7774,447.15,43.0,53.1,99.24,62756.0
4102.0,199782.06824573624,180308.10386750693,10846.760748229653,37.95412094944664,-89.54226151602346,35586.0,0.773,444.4,-24.0,53.03,95.61,62661.0
4253.0,227540.54685030272,201202.2859890048,10828.569516287109,38.135542988732915,-89.2192401799946,35527.0,0.7659,440.45,-524.0,53.01,72.65,62588.0
4405.0,255116.85588892386,221974.31655948,10424.526952188682,38.3150321969983,-88.89674619429113,34201.0,0.7176,415.14,-1024.0,52.95,47.11,62541.0
4557.0,281154.4012822098,241627.1837002161,9634.633055942591,38.48405339566664,-88.59076916657,31610.0,0.6626,387.76,-1257.0,52.9,33.83,62507.0
4709.0,305481.32260292757,260022.218945517,8664.383850705683,38.64154987544782,-88.30358570597791,28426.0,0.6146,364.67,-1303.0,52.86,29.13,62478.0
4861.0,328345.59037906135,277337.1516029505,7659.047725326069,38.78916917203823,-88.03250858099794,25128.0,0.572,344.11,-1314.0,52.82,26.09,62452.0
5013.0,349903.16981485183,293689.47899392335,6645.220246578197,38.928020211742435,-87.77588369238404,21802.0,0.5348,326.18,-1310.0,52.78,23.96,62428.0
5165.0,370320.8592803995,309200.0937249377,5633.948238721592,39.059217106733655,-87.53189138540539,18484.0,0.501,309.64,-1297.0,52.74,22.29,62406.0
5317.0,389687.9190746281,323931.37067054043,4633.422938639932,39.18336183810615,-87.2996071251125,15202.0,0.4711,294.89,-1279.0,52.71,21.03,62385.0
5469.0,408120.21050454915,337966.15323838935,3646.41389991345,39.301216646665075,-87.0777650082957,11963.0,0.4448,281.86,-1261.0,52.69,21.0,62364.0
5621.0,425727.64079234446,351383.52336494694,2673.2409269288096,39.41349985469092,-86.86514752376414,8770.0,0.4208,269.81,-1241.0,52.68,22.12,62341.0
