ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-512930.6553952212,-358552.01468949125,30.480000300540617,33.001616527084906,-97.32072806413137,100.0,0.3,198.38,2414.0,49.71,236.82,66063.0
134.0,-502702.217890796,-349880.36238797853,1668.6331826570754,33.08445521755987,-97.21617879827897,5475.0,0.5,324.46,2069.0,64.71,203.42,65860.0
267.0,-482746.3094231139,-340450.98783649027,3072.6364249101816,33.17862641893309,-97.00753337326643,10081.0,0.5745,366.58,1569.0,69.13,182.66,65677.0
401.0,-459376.9094945933,-331541.55101365293,4137.284814490067,33.26931220543761,-96.76150892004834,13574.0,0.6581,414.53,1069.0,54.28,167.5,65510.0
534.0,-436356.741100505,-314989.4950406733,4862.578351398693,33.42795540471977,-96.52253485436385,15953.0,0.7179,448.06,688.0,52.07,158.11,65351.0
668.0,-412139.6732396856,-296118.6795471194,5329.315987249891,33.60744211343202,-96.2708850901693,17485.0,0.7303,453.09,695.0,51.74,155.33,65196.0
802.0,-387763.47663088865,-276895.9490851575,5801.311539453133,33.789640288105076,-96.01662768620358,19033.0,0.7426,457.95,703.0,51.68,152.48,65044.0
935.0,-363149.5412227584,-257440.18100166242,6278.758226911544,33.97349567671744,-95.75881369204781,20600.0,0.7548,462.58,712.0,51.66,149.53,64894.0
1069.0,-338293.51365704543,-237783.42033399717,6761.88463560669,34.15870059170202,-95.49733823964579,22185.0,0.7667,466.87,721.0,51.66,146.46,64748.0
1202.0,-313210.02562800376,-217944.67816202162,7250.920217258527,34.34505733995287,-95.23230988332966,23789.0,0.778,470.69,729.0,51.66,143.21,64604.0
1336.0,-287923.7549970598,-197945.26395879948,7745.482061408761,34.532345399151325,-94.96394864630123,25412.0,0.7885,473.83,734.0,51.66,139.71,64465.0
1470.0,-262470.31360472424,-177814.11473466296,8243.690457617426,34.72027456718136,-94.69259582762666,27046.0,0.7976,476.0,396.0,51.66,123.81,64341.0
1603.0,-236857.8169136196,-157558.21113676197,8512.791306635778,34.90876145725637,-94.4183039837472,27929.0,0.8019,476.82,67.0,51.66,109.6,64231.0
1737.0,-211160.09794273658,-137236.31755980704,8558.485778131933,35.09724351305934,-94.1418354841339,28079.0,0.8032,477.25,40.0,51.66,108.25,64123.0
1870.0,-185434.99274760616,-116893.83543910128,8585.582889665153,35.28528820659502,-93.86379387580074,28168.0,0.8042,477.68,38.0,51.66,107.99,64015.0
2004.0,-159686.77587711782,-96533.18729441326,8611.356721105596,35.472863687678405,-93.58421127948253,28252.0,0.8052,478.1,38.0,51.66,107.82,63907.0
2138.0,-133916.18500525248,-76153.96443572239,8636.990875549829,35.659964362535234,-93.30308183920961,28337.0,0.8062,478.52,38.0,51.66,107.64,63800.0
2271.0,-108123.39061776038,-55755.9787942702,8662.54000469396,35.84658268115607,-93.02039335498164,28420.0,0.8072,478.94,37.0,51.66,107.42,63692.0
2405.0,-82308.17592558861,-35339.49569965006,8687.976395824893,36.03270695430108,-92.73612921873223,28504.0,0.8082,479.37,37.0,51.66,107.25,63585.0
2538.0,-56470.26939643459,-14904.883877477625,8713.367442025965,36.21832442973823,-92.45027216491593,28587.0,0.8092,479.79,37.0,51.66,107.08,63478.0
2672.0,-30609.737746899995,5547.96766874351,8738.656209220602,36.403426514646505,-92.16280866095028,28670.0,0.8102,480.21,37.0,51.66,106.9,63371.0
2806.0,-4727.243046984823,26019.86444187056,8763.941388973848,36.58801059091171,-91.87373157135784,28753.0,0.8112,480.63,37.0,51.65,106.73,63264.0
2939.0,21176.42796400577,46511.84235310407,8789.143355857694,36.77207598495153,-91.58303552848642,28836.0,0.8122,481.06,37.0,51.65,106.55,63158.0
3073.0,47101.585504903764,67023.54226088121,8814.202881558442,36.95560991796531,-91.29070289824668,28918.0,0.8132,481.48,37.0,51.65,106.38,63051.0
3207.0,73050.8568835458,87551.65750490023,8839.114721760792,37.138572553892935,-90.99668992686567,29000.0,0.8142,481.9,36.0,51.67,106.17,62945.0
3340.0,99028.84311122801,108090.47551337731,8863.640397819509,37.32090174615355,-90.70093103908205,29080.0,0.8152,482.33,36.0,51.72,106.01,62839.0
3474.0,125048.08981274746,128624.02304395405,8888.034366768077,37.502441396331086,-90.40327268197738,29160.0,0.8162,482.75,35.0,51.84,105.8,62733.0
3607.0,151134.1259116602,149119.9074913882,8912.098625220371,37.682884182428644,-90.10341821612589,29239.0,0.8172,483.17,37.0,52.15,105.71,62628.0
3741.0,177351.47429281022,169494.74506526248,8936.905522500112,37.86145401479886,-89.80064161748624,29321.0,0.8182,483.6,37.0,52.64,105.54,62522.0
3875.0,203766.82719527886,189660.2783481159,8961.69618455905,38.03732323138897,-89.49419967527518,29402.0,0.8192,484.02,11.0,53.17,104.44,62418.0
4008.0,230393.8858072213,209601.00170699714,8969.00498148883,38.21032360406508,-89.18393954161458,29426.0,0.82,484.44,-83.0,53.51,101.08,62317.0
4142.0,257172.3145102489,229411.91706714578,8912.781836936969,38.38129880902111,-88.87051951605076,29241.0,0.82,484.83,69.0,53.64,106.98,62210.0
