ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,227745.4993161253,60565.138513312086,30.48000030449847,33.001639999122105,-97.32075000109673,100.0,0.3,198.38,2414.0,257.13,121.14,66179.0
68.0,221027.16293999043,59029.71097112089,868.4573373164131,32.98920696442858,-97.39314342347947,2849.0,0.473,309.83,2287.0,255.72,109.01,66070.0
137.0,210546.86354383468,56362.36402347559,1662.3855777564515,32.967282234273014,-97.50609535674158,5454.0,0.4917,319.08,2119.0,255.74,104.86,65965.0
205.0,199744.617745363,53616.275951151074,2398.00986695632,32.944606451375236,-97.62245760219146,7867.0,0.5098,328.0,1971.0,255.77,100.84,65864.0
273.0,188631.8922157352,50797.53893188485,3082.345289674679,32.9212229369155,-97.7421006591521,10113.0,0.5289,337.5,1836.0,255.81,96.96,65767.0
342.0,177188.73550231734,47904.54210255585,3719.9227821907907,32.89711103085205,-97.86523320030277,12204.0,0.5507,348.64,1744.0,255.87,93.95,65673.0
410.0,165360.58128094362,44927.2696639913,4325.336837077394,32.87217859279045,-97.99243551719852,14191.0,0.5722,359.54,1654.0,255.94,91.02,65582.0
478.0,153154.8697858299,41871.040674999334,4899.5317886329685,32.8464600580727,-98.12362033840766,16075.0,0.5935,370.24,1566.0,256.02,88.19,65494.0
547.0,140577.67528388771,38740.396459038835,5443.328220275112,32.81998302082458,-98.25871526059795,17859.0,0.6146,380.79,1481.0,256.11,85.49,65409.0
615.0,127633.5129192615,35539.37819147547,5957.427946086064,32.792770697280254,-98.39766472458486,19545.0,0.6357,391.21,1397.0,256.2,82.9,65326.0
683.0,114326.47465822255,32270.999967773976,6442.4910693199,32.76483699686004,-98.54041789065343,21137.0,0.6566,401.53,1315.0,256.29,80.44,65245.0
752.0,100660.05012217963,28937.01845924982,6899.124705090302,32.73618445598481,-98.68693051118727,22635.0,0.6775,411.8,1235.0,256.38,78.11,65167.0
820.0,86635.51519216453,25537.934325301103,7327.781042351475,32.706804352127946,-98.83718205745495,24041.0,0.6983,422.03,1155.0,256.45,75.9,65091.0
888.0,72254.56478337712,22072.999477151232,7728.927148512001,32.67667646538388,-98.99114746058694,25357.0,0.7191,432.2,1078.0,256.52,73.85,65017.0
957.0,57519.964173236716,18540.24279341187,8103.07854522563,32.645769309594606,-99.14879006117188,26585.0,0.7401,442.53,1000.0,256.56,71.9,64945.0
1025.0,42426.78907050811,14934.7215686433,8450.19547334329,32.61402482309269,-99.31015513122126,27724.0,0.7695,457.93,886.0,256.59,69.86,64876.0
