ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,227745.4993161437,60565.13851329416,30.480000303763255,33.00163999912195,-97.32075000109653,100.0,0.3,198.38,2414.0,257.13,96.45,66204.0
54.0,222391.4055223596,59341.49881800283,697.6362750726605,32.99173502381563,-97.37844467974003,2289.0,0.5,328.13,2155.0,245.29,85.7,66118.0
109.0,214093.3192314919,55523.914843817656,1293.422817429639,32.95906167332804,-97.46828453491445,4244.0,0.5477,356.99,1776.0,251.86,81.12,66037.0
163.0,204635.94711281438,52425.0885604525,1784.411879372784,32.93300081373792,-97.5703162056213,5854.0,0.5768,373.8,1526.0,254.48,77.88,65959.0
218.0,194587.63406952342,49633.84512180686,2206.084497912868,32.90972648998402,-97.67855154113711,7238.0,0.5981,385.67,1343.0,255.52,75.3,65884.0
272.0,184164.45302206677,46941.15111485865,2577.4402957114057,32.887307505874006,-97.79072408116066,8456.0,0.6153,394.99,1202.0,255.8,73.17,65810.0
326.0,173472.02537094438,44235.83230358395,2909.5740291876455,32.86471725665807,-97.90572442109409,9546.0,0.6303,403.0,1082.0,255.97,71.29,65739.0
381.0,162551.64988832988,41506.697609062365,3208.5902115293484,32.84184129525942,-98.02310986213388,10527.0,0.6537,416.48,894.0,256.05,69.33,65670.0
435.0,151256.88901033212,38701.77441326554,3455.806247165415,32.81822569176491,-98.14445296220973,11338.0,0.6785,430.98,693.0,256.1,67.68,65602.0
490.0,139561.37365197582,35807.91667373712,3647.3167532100347,32.793744114855336,-98.27003176768761,11966.0,0.686,434.69,669.0,256.12,67.12,65535.0
544.0,127763.51086854018,32893.28353755705,3832.2832442029626,32.768962333061815,-98.39663867945049,12573.0,0.6909,436.84,672.0,256.13,66.71,65468.0
599.0,115906.88849918134,29966.112931558455,4018.049123813557,32.74394674079314,-98.52380473329276,13183.0,0.6959,438.99,675.0,256.14,66.3,65402.0
653.0,103991.7408303549,27025.84425513444,4204.622525921389,32.71869056274113,-98.65152624392701,13795.0,0.701,441.14,678.0,256.14,65.88,65336.0
707.0,92018.3001339335,24072.150697744593,4392.011989234543,32.69318913268139,-98.77979948767938,14409.0,0.706,443.27,681.0,256.14,65.45,65271.0
762.0,79986.8812562782,21104.62048041139,4580.22649556324,32.66743702128376,-98.9086198412951,15027.0,0.7111,445.4,684.0,256.15,65.01,65206.0
816.0,67897.80096729213,18123.11051118553,4769.2755124203295,32.64143122614089,-99.03798261320067,15647.0,0.7162,447.52,687.0,256.15,64.57,65141.0
871.0,55751.40264138181,15127.676259737307,4959.16904057105,32.61517054048844,-99.16788280179381,16270.0,0.7213,449.62,690.0,256.15,64.12,65077.0
925.0,43548.11159497512,12118.380926914999,5149.91766726686,32.58865383670795,-99.2983145272309,16896.0,0.7264,451.7,693.0,256.15,63.66,65013.0
979.0,31288.454322881043,9095.255295344188,5341.532626038666,32.56187970946749,-99.42927082949956,17525.0,0.7315,453.76,696.0,256.15,63.2,64950.0
1034.0,18973.027960487554,6058.464502848094,5534.025864099378,32.53484798190681,-99.56074399055126,18156.0,0.7366,455.79,700.0,256.15,62.74,64887.0
1088.0,6602.547171260423,3008.166780741395,5727.410118623698,32.507558438980396,-99.69272504625602,18791.0,0.7416,457.79,703.0,256.15,62.25,64825.0
1143.0,-5822.1538491126485,-55.438787567607285,5921.699003447389,32.48001112704536,-99.82520375647877,19428.0,0.7467,459.76,706.0,256.15,61.76,64763.0
1197.0,-18300.105804473817,-3132.111197762272,6116.907108076827,32.45220662275059,-99.95816839170922,20069.0,0.7517,461.69,710.0,256.15,61.28,64702.0
1251.0,-30830.186588208926,-6221.565209069334,6313.050111346429,32.42414612854986,-100.091605760387,20712.0,0.7568,463.56,713.0,256.15,60.77,64641.0
1306.0,-43411.09656523558,-9323.485500912613,6510.1449125486415,32.3958310149371,-100.22550072780598,21359.0,0.7617,465.39,717.0,256.15,60.27,64581.0
1360.0,-56041.33837904572,-12437.508492937564,6708.208585264251,32.367263154566054,-100.3598360818361,22009.0,0.7666,467.15,692.0,256.15,59.35,64522.0
1415.0,-68719.96412044055,-15563.427594822737,6899.383397458478,32.338443041944295,-100.49460047917042,22636.0,0.7712,468.77,192.0,256.15,51.5,64470.0
1469.0,-81455.70682743318,-18703.359991982466,6952.352136032558,32.309349611397764,-100.62988540110771,22810.0,0.7726,469.29,-308.0,256.15,43.76,64426.0
1524.0,-94217.12566534131,-21849.52377899307,6867.114800982933,32.28005380709901,-100.76535575064672,22530.0,0.7708,468.74,-808.0,256.15,36.26,64390.0
1578.0,-106973.7304050151,-24994.381726917796,6643.671392308664,32.25062570836494,-100.90068737111179,21797.0,0.7657,467.03,-1308.0,256.15,29.08,64361.0
1632.0,-119692.19440893519,-28129.720399649894,6282.021910009662,32.221143158502166,-101.03552688321574,20610.0,0.7571,463.95,-1808.0,256.15,22.31,64339.0
1687.0,-132333.47621483714,-31245.94347151914,5782.166354086639,32.191698606412494,-101.16946129663644,18970.0,0.7446,459.27,-2308.0,256.15,16.08,64323.0
1741.0,-144851.7480230474,-34331.75471638126,5144.104724542642,32.16240238853183,-101.30200686641682,16877.0,0.728,452.77,-2500.0,256.15,14.52,64308.0
1796.0,-157193.25142213254,-37373.90924623985,4453.074356403656,32.133385454072275,-101.43259720094629,14610.0,0.7098,445.29,-2500.0,256.15,15.52,64293.0
1850.0,-169329.316344712,-40365.36523720187,3762.043988263336,32.10472144229484,-101.56093255061121,12343.0,0.6914,437.5,-2500.0,256.15,16.46,64276.0
1904.0,-181251.53908662905,-43304.05617408511,3071.013620122176,32.076437087261915,-101.68692800223421,10076.0,0.6731,429.51,-2500.0,256.15,17.33,64259.0
1959.0,-192954.61941155358,-46188.67692321053,2379.983251980439,32.04855195625806,-101.81053158237984,7808.0,0.6627,426.45,-2500.0,256.15,19.79,64239.0
2013.0,-204573.04541429426,-49052.40588271231,1688.952883838541,32.0207502324035,-101.93316644621848,5541.0,0.653,423.63,-2500.0,256.15,22.54,64216.0
2068.0,-216113.63776830764,-51896.93049218308,997.9225157007394,31.993018213229526,-102.0549059585636,3274.0,0.5,327.0,-2000.0,256.15,8.21,64208.0
2122.0,-225013.04690299626,-54090.44381801737,445.098221187737,31.971553747639298,-102.14873378564808,1460.0,0.3,197.45,-1500.0,257.13,9.18,64199.0
2176.0,-230398.62089541185,-55321.278086370614,30.480000302016474,31.959399069673957,-102.20551659384026,100.0,0.1,66.13,-1000.0,258.1,81.97,64117.0
