ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,227745.499330062,60565.13870961449,30.480000000911666,33.001640000883775,-97.32075000089867,100.0,0.2865,189.47,2164.0,257.13,102.03,66198.0
58.0,222271.6520323918,59314.13072521076,670.0588535357605,32.99151318546902,-97.37973497195684,2198.0,0.4865,319.39,1664.0,272.13,84.14,66114.0
116.0,212757.697851242,59667.408180887396,1161.85088564299,32.996568105262874,-97.48163826844039,3812.0,0.6067,396.03,1164.0,287.13,83.15,66031.0
175.0,201456.74846012145,63149.727739082366,1505.8560732772023,33.029999150045384,-97.60202517390034,4940.0,0.6483,421.51,664.0,287.19,79.19,65951.0
233.0,189418.55856869568,66873.02176324574,1702.0744456721147,33.065610513618026,-97.73036223459371,5584.0,0.6511,422.32,663.0,285.98,78.41,65873.0
291.0,177281.59317470793,70348.70888770952,1898.0461485712622,33.098882807422584,-97.85991012732127,6227.0,0.6538,423.13,662.0,270.98,77.62,65795.0
349.0,164634.40421418357,70565.12080517596,2093.81261226799,33.102796228403186,-97.99562013286116,6869.0,0.6154,397.33,1162.0,269.97,79.68,65716.0
407.0,152770.64796188238,70559.28899004447,2437.3655715597806,33.104457398279706,-98.1229691447495,7997.0,0.596,383.25,1384.0,270.03,79.97,65636.0
465.0,141334.44314759702,70565.13753483053,2846.2923895919985,33.10604063486757,-98.24573128734599,9338.0,0.6125,391.96,1255.0,259.74,77.61,65558.0
524.0,129821.48732207267,68480.93301496476,3217.355780507776,33.08872058989937,-98.36961798502136,10556.0,0.6669,424.82,755.0,244.74,73.27,65485.0
582.0,118338.97768043182,63062.688846018435,3440.6332288787726,33.04129580820767,-98.49355942237179,11288.0,0.6808,432.49,667.0,229.74,72.25,65413.0
640.0,108473.35072604677,54707.530192052065,3637.6400547104795,32.96718121859582,-98.60037809154682,11935.0,0.6861,434.8,670.0,241.74,71.79,65341.0
698.0,97025.45530187231,48553.44250512008,3835.549180603089,32.912908592483916,-98.72373105966213,12584.0,0.6914,437.11,673.0,256.74,71.32,65270.0
756.0,84307.76143201212,45556.1675406034,4034.3699824666905,32.88700064801572,-98.86023851168872,13236.0,0.6968,439.42,676.0,265.03,70.84,65199.0
815.0,71222.27505905025,44417.48196547654,4234.11168351816,32.87768282204552,-99.00046042458924,13891.0,0.7021,441.72,679.0,263.93,70.35,65128.0
873.0,58092.78590065446,43020.7375297852,4434.786010513749,32.865891149969265,-99.14114007200828,14550.0,0.706,443.03,698.0,262.99,69.94,65058.0
931.0,44949.60062545327,41404.85722103811,4641.204401139756,32.851972864747836,-99.2819394605459,15227.0,0.7131,446.35,685.0,263.09,69.34,64989.0
989.0,31705.074575592185,39798.59422284737,4843.796192398454,32.837987259489296,-99.42377894236891,15892.0,0.7186,448.61,689.0,263.11,68.84,64920.0
1047.0,18392.819258482537,38189.25473151364,5047.353719780845,32.823816096069145,-99.56629852286477,16560.0,0.7241,450.86,692.0,264.92,68.32,64852.0
1105.0,4969.538670319155,36995.701432347996,5251.890150286029,32.81322415990466,-99.70995828223026,17231.0,0.7295,453.09,695.0,266.65,67.79,64784.0
1164.0,-8549.914460545888,36203.78892797592,5457.419710092056,32.80608041870926,-99.85461632551767,17905.0,0.735,455.29,699.0,266.6,67.26,64717.0
1222.0,-22134.19306743172,35397.14599516423,5663.957287398984,32.79863753828668,-99.99994410204366,18583.0,0.7405,457.46,702.0,266.61,66.71,64650.0
1280.0,-35783.084940956476,34588.47927822905,5871.518768381137,32.79100750966601,-100.14593846002542,19264.0,0.7459,459.59,706.0,264.62,66.16,64584.0
1338.0,-49458.946804138766,33301.21094853094,6080.121286927098,32.77890385270626,-100.29217050833756,19948.0,0.7514,461.68,709.0,264.43,65.59,64518.0
1396.0,-63192.358368684385,31962.91230822066,6289.783237857324,32.76616919775987,-100.43897460754171,20636.0,0.7568,463.71,713.0,264.43,65.03,64453.0
1455.0,-76986.03845927674,30618.29400709512,6500.524567275572,32.753203443076565,-100.5863804776724,21327.0,0.7621,465.68,717.0,266.25,64.45,64389.0
1513.0,-90874.08257636857,29707.954774374757,6712.3654115741765,32.74396378270619,-100.73479464470104,22022.0,0.7674,467.59,556.0,266.93,61.35,64328.0
1571.0,-104833.67676100011,28958.33276532657,6876.76615588474,32.73598872354176,-100.88396087019153,22562.0,0.7714,469.03,56.0,266.82,52.97,64275.0
1629.0,-118849.63939679087,28179.7728891675,6893.380647664322,32.727571779493374,-101.03369903280698,22616.0,0.772,469.28,-444.0,266.0,44.78,64230.0
1687.0,-132873.5420913473,27198.21884319774,6762.208694144401,32.7171516645239,-101.18346455926188,22186.0,0.7691,468.33,-944.0,259.04,36.89,64193.0
1746.0,-146658.9956325687,24528.910978397136,6483.250276252793,32.69141087329746,-101.33038065773516,21271.0,0.7625,466.06,-1444.0,257.33,29.39,64164.0
1804.0,-160301.6290859169,21462.681438831132,6056.505404443773,32.66195231766812,-101.47561833227255,19870.0,0.752,462.22,-1944.0,242.33,22.34,64141.0
1862.0,-172590.41862171938,15020.022598255755,5481.974155020722,32.60218291795143,-101.60568085197482,17985.0,0.7373,456.57,-2444.0,227.33,15.9,64125.0
1920.0,-182671.88054064973,5727.9539293544185,4759.656784299578,32.51702943340751,-101.71147141904811,15616.0,0.7183,448.91,-2500.0,212.33,16.27,64109.0
1978.0,-189881.23021586493,-5661.44932637509,4020.723017783999,32.4134278410604,-101.78604415121981,13191.0,0.6986,440.67,-2500.0,202.34,17.38,64092.0
2036.0,-194910.70631928003,-17898.0855845048,3281.789134334878,32.30255052027661,-101.83708437775321,10767.0,0.6789,432.16,-2500.0,202.29,18.4,64073.0
2095.0,-199830.31136629157,-29901.728803246755,2542.8551720527316,32.193768561132906,-101.88688645291033,8343.0,0.6653,427.29,-2500.0,212.13,20.65,64053.0
2153.0,-206650.56205272817,-40762.94549244208,1803.9211879019947,32.09489029473906,-101.95699183768839,5918.0,0.6548,424.24,-2500.0,227.13,23.75,64029.0
2211.0,-215981.39066697293,-49425.63075305617,1064.987575464549,32.01525929670944,-102.05406174815289,3494.0,0.5,326.74,-2000.0,242.13,8.77,64020.0
2269.0,-224640.64996117973,-54005.33519375893,473.84045448139983,31.97239327362282,-102.14480686217478,1555.0,0.3,197.38,-1500.0,257.13,9.81,64010.0
2327.0,-230398.62099018967,-55321.27811831711,30.480000000086942,31.959399069367375,-102.20551659483694,100.0,0.1,66.13,-1000.0,272.13,87.07,63923.0
