ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-120887.22316059285,-349016.23541037744,30.480000304310614,33.001634448570655,-97.32073006058634,100.0,0.3,198.38,2414.0,17.64,172.75,66127.0
97.0,-117914.84318803198,-339670.3868922387,1225.4490202210577,33.08601587845738,-97.29011491726659,4021.0,0.4805,313.44,2214.0,18.57,152.91,65974.0
195.0,-112953.84585214828,-324905.18407123355,2321.4987568982533,33.219341275224586,-97.23877976544235,7616.0,0.507,326.48,1990.0,18.57,144.5,65830.0
292.0,-107780.28526581355,-309508.59366522986,3306.9192745663236,33.35834547818585,-97.1850781513541,10849.0,0.5353,340.65,1809.0,18.58,136.88,65693.0
390.0,-102376.9866495906,-293429.8724710445,4202.757497200754,33.50348346642681,-97.12880840155486,13789.0,0.5661,356.3,1679.0,18.58,130.78,65562.0
487.0,-96721.30555979472,-276603.4977179418,5034.227331961617,33.65534313288803,-97.06970766910054,16516.0,0.5965,371.46,1555.0,18.57,125.01,65437.0
585.0,-90823.06054101839,-259051.33373900809,5803.945756524263,33.813722970106724,-97.00785023328443,19042.0,0.6264,386.27,1434.0,18.56,119.52,65318.0
682.0,-84690.34027481958,-240789.84065354316,6514.11048299286,33.97847018705895,-96.94329176912932,21372.0,0.656,400.78,1318.0,18.55,114.42,65203.0
780.0,-78330.21289907575,-221831.8022212325,7166.689678730655,34.14946508350345,-96.8760766207965,23513.0,0.6853,415.08,1205.0,18.53,109.68,65094.0
877.0,-71746.30834868982,-202187.32786863268,7763.46462647629,34.32661219324556,-96.80621121182978,25471.0,0.7144,429.22,1096.0,18.52,105.34,64988.0
975.0,-64939.41749557262,-181864.09319948844,8306.059142508748,34.509837980921134,-96.7336700921662,27251.0,0.7435,443.32,989.0,18.52,101.37,64887.0
1072.0,-57906.72369331937,-160864.7350878072,8795.741841253004,34.699114217302515,-96.65838726270727,28857.0,0.7666,454.0,905.0,18.52,97.94,64789.0
1170.0,-50700.093033863894,-139353.87046352474,9243.918452409229,34.8929528802735,-96.58088424999725,30328.0,0.7828,460.67,1037.0,18.53,100.09,64689.0
1267.0,-43389.00771064312,-117540.05797764348,9757.270831712513,35.08947121422601,-96.50188318163549,32012.0,0.7887,460.74,937.0,18.53,95.18,64594.0
1364.0,-36075.13076846704,-95715.09034095734,10221.243836205347,35.28603857731224,-96.42247060202541,33534.0,0.7905,458.7,623.0,18.51,84.56,64509.0
1462.0,-28792.037399188055,-73957.81257204009,10529.863255179303,35.48194423553598,-96.34300942406557,34547.0,0.7786,449.72,123.0,18.47,68.41,64441.0
