ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-120887.22316282564,-349016.2355529193,30.480000028422946,33.00163444728866,-97.3207300605909,100.0,0.3,198.38,2414.0,17.64,145.78,66154.0
82.0,-118376.07370503298,-341120.6021993738,1038.9298689987224,33.07292271932959,-97.29486937123649,3409.0,0.4975,325.18,2144.0,32.64,128.34,66026.0
164.0,-111008.8651664729,-329619.79699024913,1934.7492507002667,33.17715844990563,-97.2172890843711,6348.0,0.5456,352.93,1783.0,28.74,120.03,65906.0
247.0,-103870.25428428636,-316599.7800942249,2679.6280211112103,33.29498281538227,-97.14215905964681,8791.0,0.5953,381.72,1393.0,19.25,112.06,65794.0
329.0,-98567.29014305667,-301415.0117531476,3261.710209057102,33.43205228000863,-97.08683601444093,10701.0,0.6444,410.27,1004.0,16.96,105.61,65688.0
411.0,-93518.41419878109,-284857.93776139483,3681.05749739439,33.58141419206723,-97.03422664945653,12077.0,0.6867,434.97,669.0,16.29,101.36,65587.0
493.0,-88364.77418923202,-267225.27646145143,3960.7483552715503,33.74043518864285,-96.98041270424814,12995.0,0.6942,438.21,674.0,16.1,100.43,65486.0
576.0,-83232.08055957606,-249444.44512170253,4242.27411401349,33.90076360373506,-96.92664070363942,13918.0,0.7018,441.44,678.0,16.05,99.46,65387.0
658.0,-78078.48266758375,-231528.13378984266,4525.66404859166,34.062288655982236,-96.87245227985868,14848.0,0.7094,444.65,683.0,16.03,98.48,65288.0
740.0,-72893.95406265462,-213480.0563198986,4810.949737354438,34.224977164774224,-96.81773256419787,15784.0,0.717,447.84,687.0,16.06,97.46,65191.0
822.0,-67663.29089476434,-195305.78329911144,5098.1654247023325,34.388779390767496,-96.76230922573323,16726.0,0.7247,450.99,692.0,16.14,96.44,65095.0
905.0,-62368.64088358853,-177012.12048520922,5387.348431124751,34.55363432982462,-96.70597958721387,17675.0,0.7324,454.08,697.0,16.29,95.38,64999.0
987.0,-56988.86213620358,-158607.44405912733,5678.539641694844,34.719466652578255,-96.64850329113943,18630.0,0.7401,457.12,702.0,16.55,94.3,64905.0
1069.0,-51491.58248809464,-140104.26370639956,5971.784093426777,34.88616395848854,-96.58951472698962,19592.0,0.7477,460.08,707.0,16.91,93.19,64812.0
1151.0,-45841.23408085046,-121517.26249076995,6267.131688495425,35.05359369342612,-96.52861021419305,20561.0,0.7553,462.94,712.0,17.37,92.05,64720.0
1234.0,-40005.40214235696,-102861.75894400185,6564.63807009312,35.22161657459774,-96.46541761399268,21538.0,0.7627,465.67,717.0,17.81,90.88,64629.0
1316.0,-33990.97806491321,-84142.33348264487,6864.361864435153,35.39018764506944,-96.39999595685916,22521.0,0.77,468.26,723.0,18.16,89.71,64539.0
1398.0,-27829.056421057627,-65356.745318260815,7166.305404117876,35.55932262037368,-96.33267251399063,23512.0,0.7771,470.65,728.0,18.39,88.47,64451.0
1480.0,-21560.936415138243,-46500.34527620794,7470.300027564861,35.729059293555316,-96.26389022052511,24509.0,0.7839,472.81,731.0,18.52,87.16,64363.0
1563.0,-15221.405096231761,-27572.145028863837,7775.927168348223,35.8994035966275,-96.1940231545129,25512.0,0.7903,474.68,734.0,18.59,85.82,64278.0
1645.0,-8832.910019498548,-8577.588412574576,8082.508384310363,36.07030457648199,-96.12331111311072,26517.0,0.7961,476.19,734.0,18.63,84.38,64193.0
1727.0,-2412.0363333264722,10472.81520152478,8389.187685954648,36.241666280298176,-96.05193041146481,27524.0,0.8013,477.25,504.0,18.65,77.9,64115.0
1809.0,4034.685618952109,29576.68948464585,8599.785483635675,36.413466115424306,-95.97994707599513,28215.0,0.8044,477.73,103.0,18.66,67.88,64047.0
1892.0,10499.258541117128,48722.183008534375,8642.802251833224,36.58559674829968,-95.90744455942398,28356.0,0.8054,478.0,47.0,18.66,66.41,63981.0
1974.0,16970.863038888576,67880.78462651352,8662.572010437209,36.7578011433707,-95.83453918559347,28421.0,0.806,478.26,39.0,18.67,66.14,63915.0
2056.0,23447.295498159805,87049.83640134076,8679.074342128366,36.930054831711,-95.76125154156655,28475.0,0.8067,478.52,42.0,18.67,66.14,63849.0
2138.0,29926.96854870462,106229.18882866489,8696.65256936512,37.10235593529423,-95.68759542642273,28532.0,0.8073,478.78,81.0,18.67,66.94,63782.0
2221.0,36408.71450987686,125416.93350955413,8730.530992895561,37.274686778117236,-95.6135800958507,28643.0,0.8081,479.04,410.0,18.66,74.13,63708.0
2303.0,42885.374742064414,144596.55185679492,8901.758100266157,37.44689859206973,-95.53928364400227,29205.0,0.8103,479.18,-47.0,18.65,63.02,63645.0
2385.0,49371.52249352557,163808.72530400514,8882.324781311521,37.619356065043505,-95.46453492021914,29141.0,0.8106,479.48,-547.0,18.65,51.79,63593.0
2467.0,55867.96535288832,183060.8682071102,8653.984071152812,37.79212510771071,-95.38931887439264,28392.0,0.8085,479.76,-1047.0,18.64,41.69,63551.0
2550.0,62374.66168850868,202349.81824252818,8216.735950412234,37.965176536278626,-95.31363060106037,26958.0,0.8023,478.99,-1547.0,18.63,32.77,63518.0
2632.0,68875.74885059724,221630.20144230284,7570.580415382637,38.13810273095562,-95.237650123782,24838.0,0.79,475.89,-2047.0,18.63,24.93,63493.0
2714.0,75340.04813450825,240803.98328033913,6715.5174667940855,38.31002422919393,-95.16174188970477,22033.0,0.7705,469.51,-2500.0,18.63,18.99,63474.0
2796.0,81720.30201457416,259733.1762763881,5670.980364046904,38.47970466025652,-95.08646675238239,18606.0,0.744,459.59,-2500.0,18.6,21.61,63453.0
2879.0,87954.11842796957,278261.4958317852,4626.443259929615,38.645745995979304,-95.01257248172524,15179.0,0.7162,448.35,-2500.0,18.57,24.0,63429.0
2961.0,94025.84708637498,296334.7808804904,3581.906155204399,38.80766557445171,-94.94026642134352,11752.0,0.6881,436.38,-2500.0,18.41,26.17,63403.0
3043.0,99885.5576329826,313937.5042157391,2537.369050169483,38.96533232256591,-94.87015018384947,8325.0,0.6662,427.88,-2500.0,17.0,29.98,63373.0
3125.0,105202.34358188779,331330.19388524734,1492.8319470383801,39.12113126481067,-94.8060438264588,4898.0,0.4662,303.15,-2000.0,18.64,12.36,63360.0
3208.0,109314.13338720948,343517.27051027317,657.2022632721224,39.230232322812704,-94.75647265360463,2156.0,0.2662,174.78,-1500.0,17.64,14.08,63346.0
3290.0,111555.53678129267,350564.76029521204,30.480000010351066,39.29333000084192,-94.72931999905514,100.0,0.0662,43.78,-1000.0,16.64,151.56,63195.0
