ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,43181.01764996022,379194.3318684921,30.480000304290183,33.00163999910454,-97.32075000107504,100.0,0.3,198.38,2414.0,186.96,177.8,66122.0
100.0,41957.32424311079,369176.6992357179,1260.4205864877904,32.91159547189103,-97.33430862231417,4135.0,0.4813,313.81,2207.0,187.35,157.13,65965.0
201.0,39904.55627952077,353259.887028017,2384.9162254839566,32.76852627837081,-97.35695461157994,7825.0,0.5086,327.25,1978.0,187.34,148.22,65817.0
301.0,37764.14759275114,336641.3882359283,3392.856988943101,32.619145539648486,-97.38049119316307,11131.0,0.5381,342.07,1798.0,187.32,140.33,65677.0
401.0,35530.892069641355,319254.8732027914,4308.861587393234,32.46285640550903,-97.40496718818436,14137.0,0.5697,358.09,1664.0,187.29,133.87,65543.0
502.0,33201.00767188059,301042.17372073536,5157.059355221201,32.29913532394616,-97.43041467659287,16919.0,0.6008,373.6,1537.0,187.25,127.79,65415.0
602.0,30781.94555738889,282028.6974834984,5940.29521574317,32.128210012521414,-97.45674267444187,19489.0,0.6316,388.77,1414.0,187.2,122.06,65293.0
702.0,28280.411036654725,262231.31479934405,6660.807176150606,31.950231482212153,-97.48386895124918,21853.0,0.662,403.67,1295.0,187.14,116.71,65176.0
802.0,25702.37273867711,241662.79505726453,7320.603075653329,31.765313931590267,-97.51171970599017,24018.0,0.6921,418.31,1180.0,187.08,111.78,65064.0
903.0,23053.93586903374,220336.0469779215,7921.760225519984,31.573572859041214,-97.54022018620618,25990.0,0.722,432.79,1068.0,187.01,107.26,64957.0
1003.0,20340.269625512443,198258.56138617874,8466.051260591505,31.37507510884106,-97.56930617233583,27776.0,0.7514,447.05,960.0,186.93,103.16,64854.0
1103.0,17565.877245514297,175440.67951199022,8955.421135070465,31.1699132174016,-97.59892086893723,29381.0,0.7713,455.78,887.0,186.85,99.73,64754.0
1204.0,14768.08285140889,152167.52348481177,9407.6598554083,30.9606505257881,-97.62865985274442,30865.0,0.785,460.88,1006.0,186.78,101.43,64653.0
1304.0,11971.877116079844,128642.50640536046,9920.10849340509,30.749116034834554,-97.65825541266562,32546.0,0.7905,460.67,903.0,186.7,96.33,64556.0
1404.0,9206.231358225436,105115.98933810448,10380.236062674958,30.537561169239844,-97.68740249729846,34056.0,0.7871,455.62,403.0,186.64,79.78,64477.0
1505.0,6493.622971953828,81797.65349334391,10585.572864664051,30.327871812227805,-97.71586931857948,34730.0,0.7666,442.42,-64.0,186.57,63.87,64413.0
1605.0,3879.566077510068,59110.65770262665,10552.864188052545,30.123853816261143,-97.74318786382318,34622.0,0.7772,448.77,56.0,186.52,68.16,64345.0
1705.0,1251.4168250024907,36106.16302594874,10581.617161742774,29.91697489299968,-97.77054060561986,34717.0,0.7733,446.34,8.0,186.47,66.34,64278.0
1806.0,-1344.04151161186,13219.877689476336,10585.772113829911,29.711153489502816,-97.79744183299816,34730.0,0.775,447.25,23.0,186.43,66.81,64211.0
1906.0,-3929.5188737065578,-9713.751196966956,10597.420158538975,29.504900876281404,-97.82412967046639,34768.0,0.7749,447.12,26.0,186.4,66.8,64145.0
2006.0,-6502.3195742415455,-32641.66251095399,10610.538035842874,29.29869448455984,-97.8505781987863,34811.0,0.7744,446.77,2.0,186.38,65.95,64079.0
2107.0,-9065.541177733849,-55554.72185302032,10611.792903151721,29.09261656732312,-97.87682190253147,34816.0,0.7767,448.08,111.0,186.37,69.28,64009.0
2207.0,-11630.979929786376,-78525.78463222284,10668.544191750161,28.88601193079364,-97.90298318917833,35002.0,0.7645,440.69,-389.0,186.37,53.27,63956.0
2307.0,-14158.344666944267,-101159.57856221353,10470.504713068281,28.682435839226713,-97.92865482303888,34352.0,0.7435,429.83,-889.0,186.38,37.4,63919.0
2407.0,-16630.76090951984,-123272.54814297063,10017.674467091563,28.483539541813567,-97.95367258532309,32866.0,0.7003,407.52,-1149.0,186.4,27.67,63891.0
2508.0,-18982.434223727752,-144252.43144023576,9432.226051901589,28.294830564750576,-97.97738237584976,30946.0,0.6643,389.91,-1231.0,186.42,23.82,63867.0
2608.0,-21240.7995827093,-164327.21112608502,8804.92851225094,28.114258838966578,-98.00007395328203,28888.0,0.6316,373.99,-1270.0,186.45,21.35,63846.0
2708.0,-23416.552281100434,-183581.17269930965,8157.741480573384,27.941066676817027,-98.02186521790054,26764.0,0.6015,359.43,-1288.0,186.48,19.57,63826.0
2809.0,-25517.911893738128,-202082.9851522306,7501.444100637579,27.77463678809403,-98.04284737572996,24611.0,0.574,346.1,-1294.0,186.51,18.22,63808.0
2909.0,-27551.850261551193,-219895.27876133396,6842.041679401533,27.61440614596003,-98.06309766485704,22448.0,0.5484,333.57,-1292.0,186.55,17.14,63791.0
3009.0,-29522.57792576698,-237059.23627855215,6183.686929380541,27.460004610036663,-98.08266467034849,20288.0,0.5249,322.06,-1286.0,186.59,16.25,63775.0
3110.0,-31435.214948450426,-253627.3714508928,5528.564418770405,27.31096007902353,-98.1016050537031,18138.0,0.503,311.29,-1276.0,186.62,15.51,63759.0
3210.0,-33292.96004406197,-269638.1097402065,4878.423361600746,27.166927159067114,-98.11995557836744,16005.0,0.4827,301.21,-1264.0,186.65,14.88,63744.0
3310.0,-35098.61223531239,-285126.8549862517,4234.413943047612,27.027587614058458,-98.13774843190001,13892.0,0.4639,291.86,-1251.0,186.68,14.34,63730.0
3411.0,-36855.16322183895,-300131.7396971948,3597.0314908652554,26.89259864024481,-98.1550171121149,11801.0,0.4465,283.11,-1237.0,186.7,13.89,63716.0
3511.0,-38564.79069816309,-314684.0330544689,2966.683576762853,26.761679158102837,-98.17178660686788,9733.0,0.4302,274.87,-1223.0,186.72,14.37,63702.0
3611.0,-40229.15501798192,-328810.320666723,2343.6955691402295,26.6345902066059,-98.18807643174387,7689.0,0.415,267.18,-1208.0,186.73,14.85,63687.0
3712.0,-41850.24385767989,-342539.44004082424,1727.9896489078856,26.511072549042833,-98.20390896271137,5669.0,0.4009,259.94,-1194.0,186.74,15.33,63672.0
3812.0,-43429.4521863334,-355894.46304084733,1119.6091771557149,26.390918804683494,-98.21930047898047,3673.0,0.3875,253.06,-1179.0,186.75,15.78,63656.0
3912.0,-44967.785866989965,-368894.4638743397,518.6456907014276,26.273957546103233,-98.23426322476939,1702.0,0.3,197.28,-958.0,186.96,16.89,63639.0
4012.0,-46204.219928195416,-379016.4019241606,30.479999696248207,26.182887865301147,-98.24627984353928,100.0,0.2125,140.52,-737.0,187.18,22.01,63617.0
