ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,43181.01784983967,379194.3318684982,30.48000030267891,33.00163999909717,-97.32074999893294,100.0,0.3,198.38,2414.0,186.96,154.59,66145.0
87.0,42116.0725176121,370476.26832570287,1099.8641127000824,32.923276865352506,-97.33255123447672,3608.0,0.4925,321.68,2167.0,171.96,136.29,66009.0
174.0,44117.9651388346,356296.00061492255,2059.8776665885093,32.79567878277569,-97.31177418591953,6758.0,0.5592,361.19,1679.0,163.23,125.33,65884.0
262.0,48769.579147006996,340864.7531991673,2803.80728178143,32.65672023337115,-97.26282353215352,9199.0,0.6194,396.52,1179.0,178.23,115.84,65768.0
349.0,49318.673660287335,323145.7416154146,3326.2065225249744,32.49734977778903,-97.25787058776743,10913.0,0.676,430.06,679.0,187.12,108.85,65659.0
436.0,46932.191129859384,304036.20033783384,3627.075388818575,32.32559458934085,-97.28423326085903,11900.0,0.6853,434.4,669.0,187.97,107.68,65551.0
523.0,44234.63002959785,284771.35932082025,3923.3539796162927,32.1524489228872,-97.31380585516328,12872.0,0.6933,437.84,673.0,188.18,106.61,65445.0
611.0,41445.894001426095,265364.341731896,4221.688998050053,31.97802094958655,-97.34423838461973,13851.0,0.7013,441.27,678.0,188.25,105.54,65339.0
698.0,38611.64456447884,245809.24562065484,4522.114822196802,31.802255504945997,-97.37504249405524,14836.0,0.7094,444.68,683.0,188.27,104.44,65235.0
785.0,35748.642299652354,226104.56756119267,4824.668707147413,31.625138297323574,-97.40603840302879,15829.0,0.7175,448.06,688.0,188.27,103.31,65132.0
872.0,32862.240383697055,206250.90230062482,5129.391241061275,31.44667438535536,-97.43716782118258,16829.0,0.7257,451.4,693.0,188.27,102.14,65029.0
959.0,29955.149963615186,186249.77120134508,5436.326890192026,31.266877281756447,-97.46840067856155,17836.0,0.7338,454.68,698.0,188.27,100.95,64928.0
1047.0,27027.628660250084,166103.69732520828,5745.5246556610755,31.0857695912949,-97.49973289760284,18850.0,0.742,457.89,703.0,188.25,99.72,64829.0
1134.0,24085.79631037103,145815.12180575464,6057.0388725106695,30.903373069896865,-97.53109903996766,19872.0,0.7501,461.01,708.0,188.24,98.46,64730.0
1221.0,21128.49107891488,125388.46669650545,6370.930192709872,30.719727477292672,-97.56251033371643,20902.0,0.758,464.0,560.0,187.93,93.65,64637.0
1308.0,18260.403459064535,104803.83236017366,6619.051946485542,30.534652258424355,-97.59287324137732,21716.0,0.7643,466.29,220.0,190.72,84.51,64552.0
1395.0,14372.279336884843,84260.6124377384,6716.64191811728,30.349954800917253,-97.6337497040915,22036.0,0.7669,467.27,720.0,205.72,95.72,64456.0
1483.0,5295.137117803409,65414.30945109801,7035.76226410934,30.180538642155874,-97.72843822890738,23083.0,0.7745,469.93,726.0,220.72,94.37,64362.0
1570.0,-8427.677676133906,49469.83356449553,7357.281442144656,30.037129165256943,-97.87107395410123,24138.0,0.7819,472.35,447.0,231.31,86.41,64276.0
1657.0,-24947.575738581087,36240.73636461422,7555.487308151367,29.91793454832053,-98.04237760960575,24788.0,0.7864,473.77,-53.0,225.07,73.55,64202.0
1744.0,-40000.19994114082,21226.432624911984,7532.1627997867545,29.782514775769247,-98.19800091393357,24712.0,0.7862,473.83,-62.0,210.07,73.45,64129.0
1832.0,-50655.61788374791,2824.908849129844,7504.670206867979,29.616640414833938,-98.30754608678566,24622.0,0.786,473.86,438.0,195.07,85.47,64043.0
1919.0,-56177.11023696244,-17677.02776373879,7698.707988333011,29.432029994731252,-98.36360458244282,25258.0,0.7903,475.2,733.0,180.07,91.29,63952.0
2006.0,-56204.22012805372,-38948.43901683416,8023.405654468677,29.24073509824218,-98.36279320387963,26324.0,0.7968,476.99,733.0,179.76,89.69,63862.0
2093.0,-56114.46059862313,-60299.412844797436,8348.043535343735,29.048729922048146,-98.36078280651016,27389.0,0.8026,478.31,674.0,178.47,86.71,63775.0
2180.0,-55544.224719807855,-81706.05387511128,8646.701570645442,28.85624527427848,-98.35384796147335,28368.0,0.8072,479.04,174.0,178.06,73.48,63702.0
2268.0,-54817.467353610875,-103175.50393368186,8723.829233967186,28.66320209204786,-98.3453359780784,28621.0,0.8086,479.33,76.0,177.97,70.75,63631.0
2355.0,-54054.55603941694,-124663.67456012467,8757.585850536469,28.469991418646362,-98.3364890637064,28732.0,0.8094,479.61,406.0,177.94,78.37,63553.0
2442.0,-53283.016802879865,-146141.00703196594,8937.457620227573,28.276877850763608,-98.3275913770998,29322.0,0.8117,479.76,149.0,177.93,71.35,63481.0
2529.0,-52506.303570801116,-167642.65406049992,9003.67397135179,28.083545103365168,-98.31867657074939,29540.0,0.8128,479.94,-351.0,177.93,59.04,63422.0
2617.0,-51725.932278748776,-189185.55667580702,8848.359948122341,27.88984075803604,-98.30975927676897,29030.0,0.8118,480.41,-851.0,177.92,47.95,63374.0
2704.0,-50941.727133577835,-210780.36271231927,8471.515550461801,27.695669062681073,-98.30083717690452,27794.0,0.8073,480.29,-1351.0,177.92,38.2,63336.0
2791.0,-50155.644837732114,-232397.04549365724,7873.140778355202,27.50129997021493,-98.29193135387807,25831.0,0.797,478.12,-1851.0,177.91,29.66,63307.0
2878.0,-49371.26110412554,-253939.84754505075,7053.235631798915,27.307594499604534,-98.28308173916936,23141.0,0.7793,472.7,-2351.0,177.91,22.21,63284.0
2965.0,-48594.56044652238,-275256.87674225663,6011.800110796545,27.115918415607375,-98.27435424286669,19724.0,0.7534,463.35,-2500.0,177.91,22.25,63262.0
3053.0,-47832.78015104132,-296152.8413422892,4904.148238484961,26.92802775367145,-98.26582814360843,16090.0,0.7241,451.69,-2500.0,177.91,25.02,63237.0
