ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,43181.01781535251,379194.33200504316,30.48000000063203,33.00164000032641,-97.32074999929628,100.0,0.3,198.38,1664.0,186.96,169.23,66131.0
106.0,41882.00584387879,368560.1066641499,925.3214855589171,32.90605311814076,-97.33514225661162,3036.0,0.5,327.27,1164.0,171.96,136.5,65994.0
212.0,44363.27844487125,350984.18131187704,1551.2355811288448,32.747899990932765,-97.30939832722238,5089.0,0.649,421.71,664.0,186.96,143.78,65850.0
318.0,41584.30016153617,328234.3684296522,1908.2222460553764,32.54341128033797,-97.3400853627994,6261.0,0.654,423.18,662.0,201.96,141.17,65709.0
424.0,32982.086539044794,306904.9957014865,2264.477682872703,32.351866583254846,-97.43254381277654,7429.0,0.6591,424.68,661.0,216.96,138.6,65571.0
529.0,19103.766399747117,288464.0137500153,2620.2497349567966,32.18632995088849,-97.5805925478953,8597.0,0.6643,426.21,661.0,224.22,136.07,65435.0
635.0,2951.297227234272,271863.07455259206,2975.7929474695147,32.037184697896485,-97.75222442559503,9763.0,0.6695,427.76,661.0,225.63,133.56,65301.0
741.0,-13666.71772500401,255607.78734843305,3331.3678618297304,31.890922594636557,-97.9282445497505,10930.0,0.6782,431.44,666.0,216.93,131.89,65169.0
847.0,-27754.365483741734,236866.70759974196,3689.31258616206,31.722136005702662,-98.07689633928831,12104.0,0.6879,435.66,671.0,201.93,130.35,65039.0
953.0,-36596.70991132756,214906.300566412,4050.226129714453,31.524405384977193,-98.16955725852192,13288.0,0.6976,439.87,677.0,186.93,128.79,64910.0
1059.0,-39481.50523461921,191179.28333516666,4414.163876916522,31.31093452317832,-98.19905673772395,14482.0,0.7075,444.06,682.0,171.93,127.16,64783.0
1165.0,-36095.14735963063,167289.38481842214,4781.186657719226,31.096196111915496,-98.16256801961156,15686.0,0.7174,448.22,688.0,159.84,125.5,64657.0
1271.0,-27703.413991707406,144427.09049119972,5151.361327459723,30.890813155481418,-98.07382709161303,16901.0,0.7274,452.33,188.0,145.21,109.44,64548.0
1376.0,-13656.056343912931,124206.28927227875,5252.608959343107,30.709202524200954,-97.92635876372049,17233.0,0.7303,453.55,-312.0,145.5,93.97,64454.0
1482.0,350.3725914567114,103825.31199254784,5084.929362339484,30.52598841300818,-97.77986718275437,16683.0,0.7261,451.94,-812.0,159.5,79.34,64375.0
1588.0,8991.968764600055,80707.25357905701,4648.322620619328,30.318049873496708,-97.6898489031018,15250.0,0.7148,447.34,-1097.0,162.1,72.36,64302.0
1694.0,16507.89022253902,57442.04830716706,4058.1131303827096,30.10874334226304,-97.61191304655884,13314.0,0.6992,440.85,-597.0,154.86,90.84,64211.0
1800.0,26728.745515419378,35663.083964389065,3736.828360136714,29.91270247280312,-97.50620571167764,12260.0,0.6908,437.29,-299.0,155.26,101.61,64110.0
1906.0,36705.75430314074,14009.561276963974,3576.138584457134,29.71771427356274,-97.4034311739253,11733.0,0.5131,325.43,201.0,170.26,83.44,64026.0
2012.0,39701.87253914935,-3448.3230810611517,3684.367154061721,29.56062159610948,-97.37304654390798,12088.0,0.3131,198.32,701.0,185.26,123.76,63903.0
2118.0,38714.18082615229,-14173.119492182346,4061.5090679775126,29.464203309272975,-97.3836399566305,13325.0,0.3701,233.35,1201.0,200.26,135.3,63767.0
2223.0,34335.93122907031,-26033.39123893553,4707.412742773356,29.357670185152077,-97.42923629294835,15444.0,0.5671,354.67,910.0,215.26,111.45,63656.0
2329.0,23221.397251806087,-41753.26185541474,5196.833383211391,29.216553923575503,-97.54425210583157,17050.0,0.731,454.31,411.0,230.26,115.51,63540.0
2435.0,4220.531150682063,-57549.56034990398,5418.125614365858,29.074702205935907,-97.74009838437019,17776.0,0.7371,456.84,-62.0,224.91,100.83,63440.0
