ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,12506.643288800158,-133651.46312028126,30.480000301868277,33.00163999910192,-97.32075000107365,100.0,0.3,198.38,1671.0,354.8,52.28,66248.0
33.0,12206.281879992968,-130348.83755503243,307.7611615902064,33.03134466467176,-97.32392599695464,1010.0,0.5,329.59,1171.0,339.8,43.3,66204.0
65.0,10297.782987823115,-125160.72297674166,502.0880441423164,33.078022615801586,-97.34433773068365,1647.0,0.635,417.68,671.0,324.8,46.69,66158.0
98.0,6256.048964578122,-119430.46548896113,613.4606479566656,33.129587503916,-97.38767368315831,2013.0,0.6365,418.12,670.0,339.8,46.44,66111.0
131.0,3832.608710556182,-112842.5205008298,724.687426800374,33.18884584006771,-97.41366919959438,2378.0,0.638,418.55,670.0,349.02,46.2,66065.0
163.0,2494.1871426868047,-105944.26924062078,835.7751870165976,33.25088731088257,-97.42803208765449,2742.0,0.6395,418.99,669.0,347.84,45.95,66019.0
196.0,1012.3970467879863,-99067.8414055158,946.7307631679107,33.31273099101803,-97.44395836226428,3106.0,0.641,419.43,668.0,347.11,45.7,65973.0
229.0,-558.5548539124075,-92203.63259182662,1057.5610198560796,33.3744626503216,-97.46086230313482,3470.0,0.6425,419.88,667.0,345.82,45.45,65928.0
261.0,-2284.992064079241,-85369.19447933628,1168.2728535904735,33.435923869719666,-97.47947160556755,3833.0,0.644,420.32,667.0,345.41,45.2,65883.0
294.0,-4062.342708337319,-78540.09264295986,1278.873194708697,33.49733407916594,-97.49865651650678,4196.0,0.6455,420.77,666.0,350.26,44.95,65838.0
327.0,-5257.113046893833,-71577.74940438315,1389.3690093491898,33.55994262719328,-97.51158256091308,4558.0,0.647,421.22,665.0,350.2,44.7,65793.0
359.0,-6461.361558007152,-64609.377531577804,1499.7673014774675,33.622603967454566,-97.52462991685341,4920.0,0.6485,421.67,665.0,350.16,44.45,65749.0
392.0,-7670.867503755225,-57634.21579324188,1610.0751149801604,33.685324938974766,-97.53775329573257,5282.0,0.6501,422.13,664.0,350.12,44.2,65704.0
425.0,-8886.948180753741,-50652.45694528988,1720.299535811739,33.74810377381951,-97.55096716929981,5644.0,0.6516,422.59,664.0,350.09,43.96,65661.0
457.0,-10107.948453082216,-43663.77591479933,1830.4476942074716,33.81094338346669,-97.5642538849301,6005.0,0.6532,423.04,663.0,350.07,43.71,65617.0
490.0,-11332.893558538108,-36667.963164354485,1940.5267669630207,33.873845640877356,-97.57760310849888,6367.0,0.6547,423.51,663.0,349.74,43.46,65573.0
523.0,-12599.490370983534,-29671.699667878536,2050.5439797840895,33.93674999123663,-97.59142367356318,6728.0,0.6563,423.97,663.0,353.06,43.22,65530.0
555.0,-13459.440060723404,-22606.060495370213,2160.506609710388,34.00028200284693,-97.60085471446061,7088.0,0.6579,424.44,663.0,0.16,42.98,65487.0
588.0,-13439.914503921318,-15480.478432764212,2270.421987610554,34.064364058371424,-97.60075342489924,7449.0,0.6595,424.91,662.0,0.12,42.73,65444.0
621.0,-13424.722329445305,-8347.01181956491,2380.2975007545256,34.12851697785975,-97.60069929087412,7809.0,0.6611,425.38,662.0,0.13,42.49,65402.0
653.0,-13408.3706061892,-1205.6292480073837,2490.140595487386,34.1927411191106,-97.60063267510873,8170.0,0.6627,425.85,662.0,0.19,42.25,65360.0
686.0,-13384.312748790084,5943.695467762574,2599.958779968478,34.25703678899769,-97.60048229134227,8530.0,0.6643,426.33,662.0,0.16,42.01,65318.0
719.0,-13363.796639198363,13101.04139194512,2709.7596270234826,34.32140453433821,-97.6003704428973,8890.0,0.6659,426.81,662.0,0.18,41.77,65276.0
751.0,-13341.029035843729,20266.43780067373,2819.550777075431,34.38584469355764,-97.60023411536719,9250.0,0.6675,427.3,662.0,1.47,41.53,65234.0
784.0,-13157.214485491415,27437.620183765004,2929.3399411796904,34.450338935597266,-97.59834142295225,9611.0,0.6692,427.78,662.0,6.24,41.29,65193.0
816.0,-12376.051521963887,34576.70148759815,3039.134904169998,34.51455176813886,-97.58992581554978,9971.0,0.6708,428.27,662.0,7.95,41.05,65152.0
849.0,-11381.213938025086,41697.43846409995,3148.943527913871,34.57860143177594,-97.57916322770998,10331.0,0.6737,429.51,663.0,360.0,40.9,65111.0
882.0,-11381.496594360578,48908.156503660415,3259.008373272831,34.64344889376607,-97.57926312344678,10692.0,0.6766,430.82,649.0,350.79,40.62,65071.0
914.0,-12539.295378551318,56047.713003124365,3366.619374160461,34.70764295985786,-97.59202509211597,11045.0,0.6795,432.1,149.0,348.53,36.04,65035.0
947.0,-13982.283275515483,63161.548444902444,3391.276096321432,34.771600542299325,-97.60792875674935,11126.0,0.6803,432.42,-351.0,340.08,31.25,65003.0
980.0,-16458.259540581996,69994.3787680804,3332.9785397506494,34.833012909362274,-97.63516951739022,10935.0,0.6788,431.79,-851.0,339.09,26.36,64977.0
1012.0,-19048.79248702035,76775.88653016613,3191.726704446906,34.893955546642864,-97.6637057325153,10472.0,0.6751,430.19,-1351.0,345.3,21.42,64955.0
1045.0,-20883.981288830986,83773.35681725375,2967.5205904105696,34.95684937211713,-97.6840017562972,9736.0,0.6702,428.22,-1851.0,353.0,16.65,64939.0
1078.0,-21762.116214266105,90921.07738914882,2660.360197644152,35.02111181610228,-97.69382350892819,8728.0,0.6658,426.98,-2351.0,0.78,12.37,64926.0
1110.0,-21664.414484483466,98100.37018955205,2270.245526155537,35.08567851474084,-97.6929374684753,7448.0,0.6602,425.4,-2500.0,8.43,11.83,64915.0
1143.0,-20615.780005767047,105176.04995855321,1855.4741324745182,35.149333021948074,-97.68158891983668,6088.0,0.6545,423.75,-2500.0,15.96,12.81,64902.0
1176.0,-18656.28206821116,112026.25863960848,1440.7027387922562,35.21097585934857,-97.66019212184968,4727.0,0.6488,422.13,-2500.0,24.08,13.85,64888.0
1208.0,-15760.380580486239,118505.94278270281,1025.93134510935,35.26929773281596,-97.62844180065399,3366.0,0.6432,420.53,-2500.0,24.8,14.94,64873.0
1241.0,-12794.389160551309,124923.91615988332,611.1599514473718,35.32705739359266,-97.5958727469629,2005.0,0.5,328.45,-2000.0,9.8,4.98,64868.0
1274.0,-11854.682548196446,130362.27506429916,279.3428365038896,35.375977033591006,-97.58559349540081,916.0,0.3,197.82,-1500.0,354.8,5.54,64863.0
1306.0,-12155.293771241524,133667.65200184582,30.48000029138271,35.40569941048088,-97.5889578268401,100.0,0.1,66.13,-1000.0,339.8,50.31,64812.0
