ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-66017.98956982855,-461899.1267689094,30.48000030415576,33.00163700922489,-97.32072370932397,100.0,0.3,198.38,2414.0,7.3,211.73,66088.0
119.0,-64492.37070871708,-449994.93677564524,1495.1316155990846,33.10878756933567,-97.30525054518543,4905.0,0.4898,318.46,2144.0,7.49,184.57,65904.0
239.0,-61966.44221292107,-430782.7311801792,2796.1140995812552,33.28171805518755,-97.27951388898273,9174.0,0.5224,334.49,1883.0,7.39,172.06,65732.0
358.0,-59346.645467402326,-410570.71952744195,3938.8758078638402,33.46363994687376,-97.2527328000565,12923.0,0.5597,353.43,1705.0,7.5,162.19,65569.0
478.0,-56532.20468682886,-389200.74716612394,4973.548332816308,33.65598054508825,-97.22381428818173,16317.0,0.5973,372.29,1550.0,7.37,153.4,65416.0
597.0,-53619.337142829565,-366667.1427283112,5914.308308423054,33.85878420392365,-97.19377461407402,19404.0,0.6343,390.57,1402.0,7.41,145.23,65271.0
717.0,-50542.87581308195,-343013.2395170539,6765.318962527337,34.071663750038965,-97.1618844398947,22196.0,0.6708,408.45,1260.0,7.36,137.74,65133.0
836.0,-47346.235470024294,-318258.5365580105,7530.117336990338,34.29444033396648,-97.12858888824256,24705.0,0.7069,426.05,1123.0,7.32,130.94,65002.0
956.0,-44028.330300138376,-292419.62759659125,8211.759433699886,34.52696366072407,-97.09385140766473,26941.0,0.7428,443.53,990.0,7.3,124.85,64877.0
1075.0,-40581.4774475624,-265504.03240744275,8812.712878016406,34.769165225467226,-97.05756224842388,28913.0,0.7701,455.97,892.0,7.26,119.79,64758.0
1195.0,-37055.39823417947,-237819.24240580783,9353.881785302883,35.01827649367273,-97.02022566755403,30689.0,0.7862,461.93,1009.0,7.24,121.29,64636.0
1314.0,-33494.096096845744,-209789.17339432126,9966.238708341081,35.27048270014694,-96.98228831380733,32698.0,0.7926,461.63,769.0,7.22,110.1,64526.0
1433.0,-29939.729059838297,-181745.77992680142,10432.960991777718,35.52279670219685,-96.94419210499407,34229.0,0.7856,454.39,269.0,7.21,89.94,64436.0
1553.0,-26439.315710866325,-154076.5835600289,10596.270481802394,35.771732056512825,-96.9064420511752,34765.0,0.7653,441.58,-62.0,7.21,75.97,64360.0
1672.0,-23033.536818037126,-127147.17313308806,10558.9281103579,36.01400034584566,-96.86948624006814,34642.0,0.7777,449.01,47.0,7.21,80.81,64279.0
1792.0,-19569.014343613082,-99777.8878284065,10587.647462726933,36.260214404827686,-96.83165950524148,34736.0,0.7744,446.9,16.0,7.23,79.27,64200.0
1911.0,-16112.525038879725,-72534.7516750788,10597.065029109011,36.50528195459967,-96.79368173065129,34767.0,0.7753,447.35,23.0,7.26,79.46,64121.0
2031.0,-12640.71863615481,-45266.113110892715,10611.28932091969,36.7505670412402,-96.75529220631506,34814.0,0.7751,447.14,21.0,7.29,79.23,64041.0
2150.0,-9152.642920915365,-18012.278929561602,10624.254200786703,36.995706840290325,-96.71647401510577,34856.0,0.7751,447.1,22.0,7.34,79.14,63962.0
2270.0,-5643.031858862764,9236.34793792121,10637.430350299037,37.240787386003134,-96.67716210810786,34900.0,0.7752,447.03,21.0,7.4,78.97,63883.0
2389.0,-2106.806463906843,36477.115332828216,10650.470240907332,37.48578418784612,-96.63729247240639,34942.0,0.7752,446.97,21.0,7.46,78.84,63804.0
2509.0,1460.476726338089,63710.464190900464,10663.11527247917,37.730700814684624,-96.59680829160624,34984.0,0.7754,446.96,24.0,7.54,78.82,63726.0
2628.0,5064.470147434068,90938.4668104074,10677.878916188512,37.97555532015072,-96.55563761965635,35032.0,0.775,446.65,10.0,7.63,78.16,63648.0
2747.0,8707.15652884171,118143.61775614755,10683.997325823655,38.22018960352664,-96.51374970854131,35052.0,0.7767,447.58,71.0,7.72,80.33,63567.0
2867.0,12402.038907203936,145392.63214563596,10727.054437519835,38.46520276867195,-96.47097993563256,35194.0,0.7687,442.72,-151.0,7.83,71.65,63496.0
2986.0,16109.124494090105,172365.32861370948,10635.628840970072,38.70771519179334,-96.42778536032688,34894.0,0.7571,436.63,-651.0,7.93,53.24,63442.0
3106.0,19823.458854668093,199015.60912248565,10240.79045104358,38.94731202736348,-96.38422326147513,33598.0,0.7053,409.14,-1127.0,8.05,33.38,63409.0
3225.0,23359.464212649116,224026.21648105417,9556.950598227526,39.17215151193005,-96.34249145754217,31355.0,0.6618,387.69,-1226.0,8.16,27.87,63381.0
3345.0,26758.386348861848,247723.716541599,8813.165192686782,39.38517129908113,-96.30213970818225,28915.0,0.6229,368.82,-1265.0,8.27,24.65,63356.0
