ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-66017.98976969432,-461899.1269688893,30.47999970454992,33.00163700741353,-97.32072371145033,100.0,0.1573,104.01,914.0,7.3,197.77,66102.0
108.0,-65287.818508447934,-456201.7021435677,532.1255463531095,33.052920217197375,-97.31332283075176,1746.0,0.3573,234.92,1414.0,352.3,150.58,65952.0
216.0,-67026.05591874091,-443340.1645858612,1308.2489430318099,33.168468523145606,-97.3329382273298,4292.0,0.5573,363.16,1700.0,339.66,159.85,65792.0
324.0,-73998.27813550645,-424533.91490542796,2241.4384046420682,33.337102980556445,-97.409376066688,7354.0,0.6083,392.05,1250.0,354.66,148.07,65644.0
432.0,-76017.98976968881,-402933.1838645686,2927.6021985736165,33.53120199444016,-97.43299366801287,9605.0,0.6439,411.61,945.0,9.66,139.77,65504.0
540.0,-72192.0597869349,-380451.9744670994,3446.4447712707615,33.73365175646454,-97.39363229374212,11307.0,0.6495,412.57,1005.0,24.66,137.83,65366.0
648.0,-62658.336770209346,-359684.33706114406,3998.2643534384624,33.921053832490095,-97.29212276665345,13118.0,0.6427,405.49,1185.0,39.66,137.46,65229.0
756.0,-48336.01255192483,-342407.4215701689,4648.8202579770505,34.07722150991512,-97.13797119731949,15252.0,0.7129,446.19,685.0,54.66,128.79,65100.0
864.0,-28152.912486319787,-328094.9058001733,5024.898312491712,34.2067118662966,-96.9194145039496,16486.0,0.7161,446.02,757.0,56.8,127.65,64972.0
973.0,-7464.1310035796805,-314554.7228785653,5440.709150434847,34.328853119617335,-96.69465823512778,17850.0,0.7339,454.68,700.0,41.8,125.06,64847.0
1081.0,9340.534740083742,-295761.4178180913,5825.009235566686,34.49784926217923,-96.51153479902966,19111.0,0.7442,458.79,705.0,26.8,123.16,64724.0
1189.0,20810.886809913296,-273056.50168225326,6211.783340772949,34.701863138456474,-96.38584231902594,20380.0,0.7542,462.6,711.0,11.8,121.2,64603.0
1297.0,26056.9336035843,-247950.69597502705,6602.23620344673,34.927518328686524,-96.32767569455761,21661.0,0.764,466.22,718.0,357.08,119.2,64484.0
1405.0,24741.85734272476,-222137.13542985948,6996.495076314188,35.15969794289057,-96.34131065435383,22954.0,0.7735,469.56,725.0,356.98,117.12,64366.0
1513.0,23370.656562954748,-196142.06484737265,7394.499892678403,35.39350979019206,-96.35563580836084,24260.0,0.7826,472.56,731.0,357.56,114.95,64252.0
1621.0,22254.8921970286,-169969.9498808609,7795.593772159498,35.62890632828186,-96.36721185315547,25576.0,0.7911,475.08,734.0,359.17,112.61,64139.0
1729.0,21874.416651105283,-143637.99856102504,8198.328152746799,35.86572276314894,-96.37069103690182,26897.0,0.7987,476.98,350.0,359.36,99.08,64040.0
1837.0,21577.343795309687,-117159.61864633084,8390.442159584569,36.103854098496114,-96.37325622582786,27528.0,0.8022,477.76,408.0,359.24,99.54,63940.0
1945.0,21227.83502019943,-90644.55089223167,8614.572020490168,36.34231651322796,-96.37641881469085,28263.0,0.8057,478.38,88.0,359.21,88.69,63852.0
2053.0,20862.128657608413,-64062.267132663175,8662.855582337339,36.58138371491205,-96.3797778000158,28421.0,0.8068,478.73,-107.0,359.24,82.59,63769.0
2161.0,20511.217586776056,-37440.1283069837,8604.035724311692,36.820808961784316,-96.3829877592494,28228.0,0.8067,479.02,110.0,359.2,89.44,63680.0
2269.0,20139.56229869444,-10824.254851009984,8664.553885872227,37.060178304328886,-96.38644924251393,28427.0,0.808,479.4,89.0,359.14,88.44,63591.0
2377.0,19741.51667714562,15814.247807445827,8713.217834432919,37.2997517243019,-96.39022813940721,28587.0,0.8091,479.75,67.0,359.21,87.49,63504.0
2485.0,19371.855305282803,42475.140977408846,8750.172691540718,37.53952570952153,-96.39370634451406,28708.0,0.8101,480.1,27.0,359.25,86.08,63418.0
2593.0,19024.50855035115,69159.7789780798,8764.79908012876,37.77951265089838,-96.39694985391019,28756.0,0.8109,480.44,12.0,359.33,85.57,63332.0
2702.0,18711.78458356113,95865.20890362025,8771.641356784794,38.01968579295169,-96.39981607193747,28778.0,0.8115,480.78,60.0,359.56,86.96,63245.0
2810.0,18507.959910912454,122585.54230573087,8804.676640899068,38.25999070892574,-96.40145091887591,28887.0,0.8125,481.12,77.0,359.71,87.25,63158.0
2918.0,18372.078799106934,149323.71284194756,8847.037919088825,38.50045465202692,-96.4023128384473,29026.0,0.8136,481.47,4.0,0.35,84.86,63073.0
