ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,1045098.2079174081,-302894.8777288127,30.48000030280251,33.001640000989944,-97.32075000094724,100.0,0.3,198.38,2414.0,296.25,443.77,65856.0
250.0,1022750.5828460845,-291875.72599997284,3100.2158405401055,33.122134977327235,-97.54612982508593,10171.0,0.5,318.97,1954.0,289.72,363.28,65493.0
501.0,984738.9085978455,-278249.62465921085,5585.281817454797,33.28060474454028,-97.9366151751703,18324.0,0.6211,384.09,1454.0,289.72,310.42,65183.0
751.0,938764.2936420032,-261769.63880958487,7434.430613355477,33.470648573762425,-98.41078178365028,24391.0,0.7125,429.96,1097.0,289.72,274.93,64908.0
1001.0,887146.8601817752,-243268.34125031877,8829.475448733767,33.68187038604708,-98.94560480195592,28968.0,0.7742,458.29,874.0,289.72,250.39,64657.0
1252.0,832028.4743366011,-223514.85143434885,9941.174016689358,33.90486903650645,-99.5195800047307,32615.0,0.787,458.49,495.0,289.71,210.77,64446.0
1502.0,776695.1687610755,-203688.16890811894,10571.18431572401,34.126043812223784,-100.09878892814703,34682.0,0.7712,445.17,11.0,289.71,165.83,64281.0
1753.0,722722.3231129837,-184352.98287933844,10585.555908389539,34.339142885348004,-100.66665253359372,34730.0,0.7744,446.93,22.0,289.71,166.63,64114.0
2003.0,668540.6265717213,-164947.4772048529,10614.034135589844,34.55040745451832,-101.23959206510888,34823.0,0.7743,446.66,21.0,289.7,165.93,63948.0
2253.0,614388.5077251068,-145558.18732094768,10640.781747132634,34.75885021186406,-101.81510203794475,34911.0,0.7745,446.62,21.0,289.69,165.38,63783.0
2504.0,560238.6166906413,-126176.03058163032,10667.714339021688,34.964537913650126,-102.39347011709506,34999.0,0.7747,446.54,21.0,289.69,164.82,63618.0
2754.0,506095.27846459276,-106802.86922492766,10694.488017316302,35.167417454427,-102.97464709774316,35087.0,0.7749,446.47,21.0,289.68,164.26,63454.0
3004.0,451956.73465388984,-87438.56968780796,10721.277163722621,35.36745731825651,-103.55864719676417,35175.0,0.775,446.4,21.0,289.67,163.71,63290.0
3255.0,397823.98231441824,-68083.92389829758,10748.03154816366,35.564616225388804,-104.14545340355214,35263.0,0.7752,446.32,21.0,289.67,163.15,63127.0
3505.0,343696.8961117508,-48739.052799895966,10774.793683476482,35.75885957108063,-104.73505898424605,35350.0,0.7754,446.23,21.0,289.66,162.6,62964.0
3755.0,289575.7866715234,-29403.923150980623,10801.586504348568,35.95015405049711,-105.32745071613925,35438.0,0.7755,446.14,21.0,289.65,162.05,62802.0
4006.0,235460.98388584144,-10078.172750516987,10828.473005913727,36.1384694709952,-105.9226134296938,35526.0,0.7757,446.03,21.0,289.65,161.49,62641.0
4256.0,181353.29303294813,9238.244467598754,10855.398888049724,36.32377289578503,-106.52052515221285,35615.0,0.7758,445.93,21.0,289.64,160.94,62480.0
4506.0,127251.69501629741,28545.688522445394,10882.561854723015,36.506034759797465,-107.12118254702068,35704.0,0.7759,445.81,21.0,289.63,160.38,62319.0
4757.0,73158.0908136022,47843.70700449539,10909.787292083229,36.68521786824031,-107.72454819168509,35793.0,0.776,445.69,22.0,289.63,159.9,62159.0
5007.0,19070.2451941903,67133.55843676225,10937.34423583004,36.861300915787574,-108.3306291854223,35884.0,0.7761,445.55,22.0,289.62,159.34,62000.0
5258.0,-35009.84962174808,86415.16911523296,10965.052531160609,37.03425033646643,-108.93938343261661,35975.0,0.7762,445.42,22.0,289.62,158.78,61841.0
5508.0,-89084.46669277697,105690.33904308702,10993.119673904135,37.204050277146145,-109.55081504506133,36067.0,0.7762,445.26,22.0,289.62,158.22,61683.0
5758.0,-143152.80466874994,124959.22437425992,11021.407691442952,37.370670240001786,-110.16489236065019,36159.0,0.7763,445.26,23.0,289.61,157.73,61525.0
6009.0,-197217.59032846306,144222.25596452082,11050.027016578184,37.534081717868,-110.78162197925504,36253.0,0.7764,445.3,23.0,289.61,157.17,61368.0
6259.0,-251279.19374056827,163480.20340629955,11078.86460432391,37.694259468747894,-111.40098238162382,36348.0,0.7764,445.34,23.0,289.61,156.61,61211.0
6509.0,-305339.45831633394,182736.1282947205,11107.958508966052,37.85119854043418,-112.02296819131894,36443.0,0.7765,445.39,23.0,289.61,156.06,61055.0
6760.0,-359399.2899036675,201991.5056660017,11137.217564403889,38.00487991773099,-112.6475617947008,36539.0,0.7766,445.44,23.0,289.6,155.5,60900.0
7010.0,-413461.33302192995,221245.93526476575,11166.63420442718,38.15526705203915,-113.27476302540663,36636.0,0.7767,445.5,23.0,289.6,154.95,60745.0
7260.0,-467527.17294136906,240499.11340180426,11196.062626302184,38.302324503065634,-113.90455786058845,36732.0,0.7768,445.57,24.0,289.6,154.47,60591.0
7511.0,-521599.44146132964,259753.6051148576,11226.50750568759,38.446041934145285,-114.53694448742182,36832.0,0.7767,445.48,47.0,289.6,155.51,60435.0
7761.0,-575657.4727535682,279003.60236039467,11286.302897359308,38.58634825786849,-115.17164604702799,37029.0,0.7651,438.86,-453.0,289.6,117.93,60317.0
8012.0,-628982.4833824567,297993.1179411586,10710.181108101895,38.721417708627904,-115.80013551447298,35138.0,0.7473,430.51,-500.0,289.6,115.63,60201.0
8262.0,-681461.5832388741,316680.8067598407,10074.263927087834,38.8510732325744,-116.42093894749773,33052.0,0.7048,409.81,-500.0,289.6,112.81,60089.0
8512.0,-731412.3275344705,334467.7366034333,9438.346746066016,38.97144411824403,-117.01390294482692,30966.0,0.6629,389.05,-500.0,289.6,109.6,59979.0
8763.0,-778827.6544177288,351352.55600307824,8802.42956503945,39.08295252142435,-117.57860645196824,28879.0,0.5835,345.52,-1000.0,289.6,60.38,59919.0
9013.0,-821106.2469517882,366409.5470666357,7530.5952029880245,39.18011068159002,-118.08361818692994,24707.0,0.5596,337.25,-1500.0,289.6,32.39,59886.0
9263.0,-862512.425600742,381156.3452428804,5622.843659928415,39.27316946275377,-118.57954338922329,18448.0,0.526,325.12,-1716.0,289.6,31.18,59855.0
9514.0,-902458.7411369919,395382.2105376427,3440.021443533089,39.36095794816365,-119.05921298002224,11286.0,0.4605,292.56,-1590.0,289.6,34.76,59820.0
9764.0,-938341.5959830476,408159.7766570388,1417.2921311260684,39.43813829692182,-119.49110119030118,4650.0,0.3,195.25,-1090.0,296.25,40.71,59780.0
10014.0,-961043.1684813601,419353.4525417678,30.47999970060043,39.51380227144345,-119.76922851822862,100.0,0.1395,92.23,-590.0,302.89,214.1,59566.0
