ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,1045098.2080047998,-302894.8778131563,30.480000012605696,33.0016400001509,-97.32075000011555,100.0,0.3,198.38,2199.0,296.25,393.81,65906.0
227.0,1024779.8571320354,-292876.3191437856,2562.0381312814734,33.11120958386789,-97.52563920333482,8406.0,0.5,321.04,1699.0,289.15,315.23,65591.0
453.0,989890.2562354271,-280758.1274749834,4517.988416208314,33.25330365804117,-97.88435856010642,14823.0,0.6504,407.72,1199.0,289.07,283.66,65307.0
680.0,945377.2637858076,-265367.203725216,5898.330854427115,33.432483424032796,-98.34377852715309,19351.0,0.7447,458.67,705.0,289.08,257.73,65050.0
906.0,895117.154686305,-247979.50667671784,6709.786773205354,33.63285872878851,-98.864767488841,22014.0,0.7649,466.12,719.0,289.09,249.01,64801.0
1133.0,844052.2185471876,-230311.51750312484,7537.968308314306,33.83423403811812,-99.39655974451718,24731.0,0.7836,472.23,678.0,289.08,236.35,64564.0
1360.0,792306.8537950316,-212409.0937556099,8317.94957298189,34.035967458884926,-99.93797373758747,27290.0,0.798,475.77,178.0,289.08,195.45,64369.0
1586.0,739962.9519396813,-194302.6642236139,8522.323036926375,34.237604997374525,-100.48825075855136,27960.0,0.8018,476.69,5.0,289.08,181.84,64187.0
1813.0,687443.9967451472,-176139.88597277913,8528.233643846328,34.43742118839984,-101.04299788861007,27980.0,0.8031,477.38,38.0,289.07,183.93,64003.0
2040.0,634861.2272663354,-157959.71644350133,8571.552844576825,34.63494106812524,-101.60105741277593,28122.0,0.8047,478.1,38.0,289.07,183.43,63820.0
2266.0,582198.6035816217,-139754.8522504833,8615.75417813505,34.830199636615625,-102.16260680337174,28267.0,0.8065,478.82,38.0,289.07,182.91,63637.0
2493.0,529456.3582715912,-121523.14954203708,8659.812243144212,35.02317357945521,-102.72765086817294,28411.0,0.8082,479.54,38.0,289.07,182.4,63454.0
2719.0,476634.6975797276,-103264.04545935735,8703.724643096355,35.21382520837352,-103.29619482837317,28556.0,0.8099,480.26,38.0,289.07,181.88,63272.0
2946.0,423733.487841763,-84977.75846562324,8747.347727212515,35.40210973839375,-103.86824685214243,28699.0,0.8116,480.98,38.0,289.07,181.37,63091.0
3173.0,370753.2562689679,-66662.87364048658,8790.774333565725,35.58799650179251,-104.44380564351246,28841.0,0.8133,481.7,37.0,289.08,180.8,62910.0
3399.0,317697.5359485151,-48308.52885783113,8833.524720965448,35.771538598805414,-105.02283171541512,28981.0,0.815,482.42,37.0,289.16,180.31,62730.0
3626.0,264587.0745612617,-29855.552902260562,8876.155779239527,35.953219214811455,-105.60507916778587,29121.0,0.8167,483.14,38.0,289.42,179.87,62550.0
3852.0,211481.9324861917,-11133.752647164863,8919.436244031865,36.13451570927264,-106.18984629370331,29263.0,0.8184,483.87,25.0,289.78,178.58,62371.0
4079.0,158411.3318654266,7952.572623607241,8948.698045408399,36.316254713714706,-106.77682835912935,29359.0,0.82,484.58,-77.0,289.98,172.12,62199.0
4306.0,105286.06513528532,27272.442799739638,8859.559625918933,36.497243659087125,-107.36709914566121,29067.0,0.82,485.19,-67.0,290.03,174.1,62025.0
4532.0,52114.42424515197,46659.11808435543,8782.11315288041,36.675941985805025,-107.96061616986465,28813.0,0.82,485.72,-60.0,290.04,175.72,61849.0
4759.0,-1109.2345556028286,66073.64006479674,8712.918556094626,36.85195887592267,-108.55744634285017,28586.0,0.82,486.2,-55.0,290.04,177.09,61672.0
4986.0,-54382.00834291091,85506.97678213817,8649.95189465539,37.02517184440627,-109.15755008544252,28379.0,0.82,486.63,-50.0,290.04,178.36,61494.0
5212.0,-107699.81766217893,104957.24097221397,8591.902886453492,37.195523954688305,-109.7608711711334,28189.0,0.82,487.02,-47.0,290.04,179.42,61315.0
5439.0,-161059.53367060566,124422.54251890385,8537.865551694087,37.362958758305,-110.36736166176942,28011.0,0.82,487.39,-44.0,290.04,180.43,61134.0
5665.0,-214458.6365352176,143901.157534421,8487.18249978889,37.52742180057671,-110.97697788601009,27845.0,0.82,487.73,-42.0,290.04,181.32,60953.0
5892.0,-267894.6293001703,163392.6522527678,8439.358764588977,37.688870846503626,-111.58967430295166,27688.0,0.82,488.06,-39.0,290.04,182.23,60771.0
6119.0,-321365.4141165446,182896.53022864152,8394.010615120465,37.84726363247995,-112.20540765817586,27539.0,0.82,488.37,-38.0,290.04,182.99,60588.0
6345.0,-374869.7740209527,202410.68785559636,8350.833411995982,38.00254372959101,-112.82414168154656,27398.0,0.82,488.66,-36.0,290.04,183.76,60404.0
6572.0,-428406.5061230256,221933.6295669538,8309.580504092979,38.15466063716775,-113.44583795534373,27262.0,0.82,488.94,-34.0,290.03,184.51,60219.0
6799.0,-481974.0196957167,241465.45089158864,8270.048856748372,38.30357883313442,-114.07045218535646,27133.0,0.82,489.21,-33.0,290.03,185.16,60034.0
7025.0,-535570.2993255451,261007.84956083252,8232.068959409362,38.44927800463013,-114.69793435949747,27008.0,0.82,489.47,-32.0,290.04,185.8,59848.0
7252.0,-589193.5284212036,280562.34501510585,8195.4975511958,38.59173680808756,-115.32823501970144,26888.0,0.82,489.71,-31.0,290.04,186.41,59662.0
7478.0,-642842.5751914112,300128.89003566693,8160.212260419372,38.73092007174827,-115.9613095332648,26772.0,0.82,489.95,63.0,290.04,192.24,59470.0
7705.0,-696477.4060120006,319691.92450643575,8232.267321512143,38.866684135521226,-116.59664819041342,27009.0,0.82,489.47,-437.0,290.04,162.19,59308.0
7932.0,-750270.0851846095,339312.19166529586,7728.714541616486,38.99940302396063,-117.23625732185151,25357.0,0.8109,487.38,-937.0,290.04,140.9,59167.0
8158.0,-804031.6326400873,358921.4128765899,6649.553915996871,39.12857473731787,-117.87785722070444,21816.0,0.7824,477.13,-1437.0,290.04,123.96,59043.0
8385.0,-856835.1061427301,378181.04272225994,4994.785444576333,39.25203542269737,-118.51027800919711,16387.0,0.7,436.17,-1937.0,290.02,86.04,58957.0
8611.0,-905237.9225005937,395816.8577236282,2764.4091314287234,39.3620503625288,-119.09189374789624,9070.0,0.5,320.26,-1437.0,290.81,42.51,58914.0
8838.0,-940450.1788234345,409199.4752455093,1109.640650634078,39.44519424553762,-119.5169088154337,3641.0,0.3,195.94,-937.0,296.25,37.33,58877.0
9065.0,-961043.1686755292,419353.4527283793,30.47999997442492,39.513802272895816,-119.76922852073874,100.0,0.1,66.13,-437.0,301.68,399.49,58477.0
