ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,1045098.2079253736,-302894.8779000852,30.479999999644434,33.0016399994578,-97.32075000106369,100.0,0.3,198.38,619.0,296.25,252.03,66048.0
234.0,1023823.5624370751,-292404.79016688815,764.5625173977522,33.116358572580545,-97.53529477720701,2508.0,0.5,327.88,1119.0,281.25,299.32,65749.0
467.0,985510.4924932985,-284785.9647961701,2091.7655803978996,33.221635860323396,-97.93568118913055,6863.0,0.6566,423.98,662.0,284.92,308.44,65440.0
701.0,936532.0373824807,-271732.06721656665,2876.9856980636964,33.383869591167624,-98.4453886160077,9439.0,0.6681,427.35,661.0,282.28,296.08,65144.0
934.0,886613.6331772981,-260864.56851241903,3661.2213583776957,33.525310253740194,-98.96931179677395,12012.0,0.6871,435.35,671.0,297.0,287.77,64856.0
1168.0,840251.3111216471,-237236.90003591732,4456.781747170648,33.77554170338009,-99.44428584841988,14622.0,0.7087,444.58,683.0,296.18,280.03,64576.0
1401.0,792571.6741282295,-213800.13686997758,5267.125073833587,34.0233281373922,-99.93640340283727,17281.0,0.7302,453.44,699.0,281.18,271.86,64304.0
1635.0,739424.6652662372,-203299.6108809759,6096.374007392634,34.15753202538912,-100.50193593603669,20001.0,0.7507,461.18,725.0,286.07,263.25,64041.0
1868.0,686494.9739619989,-188055.34032885067,6956.566800169806,34.33142196852894,-101.06304067900602,22823.0,0.7738,469.97,728.0,281.66,253.42,63788.0
2102.0,631529.085839653,-176714.4986193249,7819.605503632569,34.46906963210948,-101.65156356006734,25655.0,0.7936,476.41,500.0,296.66,228.52,63559.0
2335.0,580592.7095035644,-151142.9731762948,8412.725039921332,34.72907486495543,-102.18815139559274,27601.0,0.805,479.33,0.0,311.66,189.06,63370.0
2569.0,537572.5198377079,-112869.9589688219,8412.725541662277,35.09639136310569,-102.63300389592308,27601.0,0.8061,479.98,-133.0,309.96,180.7,63190.0
2802.0,493330.7567847222,-75795.25341786759,8254.922775046723,35.45202841957126,-103.0959589768607,27083.0,0.8046,480.1,0.0,298.92,191.45,62998.0
3036.0,442849.9728691609,-47902.359711479665,8254.930807134953,35.726426582469685,-103.63711920023293,27083.0,0.7909,471.93,500.0,284.02,218.43,62780.0
3269.0,388074.99402702856,-34227.26377322751,8848.045481194695,35.872523584746624,-104.23662715425934,29029.0,0.8157,482.74,1.0,269.02,183.37,62596.0
3503.0,330092.4883878813,-35221.243890447025,8849.518901321508,35.884984994920195,-104.88009335305962,29034.0,0.817,483.46,125.0,279.17,191.19,62405.0
3736.0,272817.40643739223,-25973.680874426453,8998.383041630097,35.98582687879725,-105.51234439661114,29522.0,0.82,484.24,-84.0,294.17,176.13,62229.0
3970.0,219708.78003410148,-2137.185364339086,8898.709826832452,36.21355036542152,-106.09573838009543,29195.0,0.82,484.93,-71.0,291.89,178.53,62050.0
4203.0,165623.1412011435,19594.68968858358,8814.125845905284,36.419712689009536,-106.6938637996704,28918.0,0.82,485.5,-63.0,293.5,180.37,61870.0
4437.0,112107.9937989338,42860.11814997776,8739.62023644461,36.63663636793861,-107.28851482562493,28673.0,0.82,486.01,-57.0,287.29,181.93,61688.0
4670.0,56335.78477632002,60220.90039158981,8672.467534521475,36.79766275273224,-107.91228227325338,28453.0,0.82,486.47,-187.0,292.62,175.03,61513.0
4904.0,2306.639601296856,82727.84530665907,8450.983145009806,37.001731589177226,-108.51900567841854,27726.0,0.8171,486.23,-500.0,277.62,159.05,61354.0
5137.0,-55824.173224972925,90499.81745598608,7857.86323270012,37.069988393157296,-109.17416429815147,25780.0,0.7432,445.92,-77.0,289.45,171.27,61183.0
5371.0,-106366.44373445827,108347.5311525787,7766.144578269311,37.22616043823296,-109.74630124602659,25479.0,0.6907,414.92,235.0,296.78,179.07,61004.0
5604.0,-150779.5764795979,130760.66283327463,8044.610516595782,37.42164275508522,-110.25235652957379,26393.0,0.8075,483.25,156.0,297.35,203.39,60800.0
5838.0,-202277.66519393344,157395.14690503472,8229.285169448967,37.65141904396605,-110.84260380451879,26999.0,0.8131,485.39,83.0,291.72,196.91,60603.0
6071.0,-256410.1852051972,178959.7475562131,8328.180433266616,37.83197698954487,-111.46469171750987,27323.0,0.8167,486.87,-3.0,287.41,190.74,60413.0
6305.0,-312220.6310285201,196455.20420756895,8325.192176957846,37.972165549147455,-112.10717008098005,27314.0,0.82,488.83,-35.0,301.39,189.81,60223.0
6538.0,-362362.10745871696,227053.2353558334,8283.582251708942,38.22877733644351,-112.69394514168523,27177.0,0.82,489.12,-33.0,286.39,190.59,60032.0
6772.0,-418746.16742162535,243640.47060639414,8243.932336884836,38.35388895893438,-113.34820863840342,27047.0,0.82,489.39,-430.0,279.6,167.73,59865.0
7005.0,-476915.15381981153,253475.4246982239,7733.713827116911,38.4139241406724,-114.02061886993613,25373.0,0.7909,475.35,70.0,294.6,197.38,59667.0
7239.0,-528807.1269617386,277229.3873319913,7816.606808420383,38.59858871441614,-114.63256642688478,25645.0,0.8098,486.16,194.0,309.6,209.51,59458.0
7472.0,-573737.2602658198,314393.93732987443,8046.662965528874,38.904588644023214,-115.17856353663062,26400.0,0.8157,488.15,-93.0,304.32,189.75,59268.0
7706.0,-622203.3886886027,347485.76537871035,7935.977890372748,39.169098011962774,-115.76653127200827,26037.0,0.8074,483.9,-238.0,289.32,180.29,59088.0
7939.0,-677163.8919251828,366759.14300749527,7653.217207466296,39.30216973607993,-116.42054154189445,25109.0,0.8073,485.72,-500.0,274.32,171.08,58917.0
8173.0,-735578.7297867293,371176.727466688,7060.09664402606,39.296090368650155,-117.10102211879185,23163.0,0.7942,481.73,-1000.0,275.86,149.7,58767.0
8406.0,-793589.4940221083,377130.52222157415,5873.855520927361,39.30027485867341,-117.77846026122008,19271.0,0.7612,469.0,-1500.0,282.75,132.28,58635.0
8640.0,-849144.0897892226,389701.9716202725,4094.4938845368506,39.3619842190312,-118.43578608822797,13433.0,0.7,441.13,-1642.0,282.44,131.55,58503.0
8873.0,-901478.9256834276,401250.41412635066,2146.702271072862,39.4141910810136,-119.05564666967666,7043.0,0.5,322.63,-1142.0,281.25,71.57,58431.0
9107.0,-939772.6321552753,408865.3907860726,792.0309879367641,39.44292759591125,-119.5086155310301,2599.0,0.3,196.66,-642.0,296.25,47.94,58384.0
9340.0,-961043.1685716257,419353.4526476621,30.479999999912092,39.51380227228884,-119.76922851942263,100.0,0.1,66.13,-142.0,311.25,426.89,57957.0
