ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,969132.5925697491,-14101.95127264723,30.48000030307723,32.851320000975235,-96.86345000095976,100.0,0.3,198.38,2414.0,279.43,403.1,65897.0
227.0,946767.7072188164,-10388.665016072662,2818.883476793407,32.90416426705276,-97.09790236126744,9248.0,0.5,320.05,1977.0,273.73,333.09,65564.0
455.0,909992.3931860693,-7990.208392734574,5102.8768332720265,32.95704447991497,-97.48771565477031,16742.0,0.6116,380.56,1487.0,273.73,288.14,65276.0
682.0,866087.576304253,-5127.768543625732,6820.56383297328,33.018593172571265,-97.95370269718826,22377.0,0.683,415.59,1209.0,273.73,260.01,65016.0
910.0,818043.9789934373,-1998.4978264343556,8216.985599690006,33.083946485115156,-98.4643516515108,26959.0,0.7525,449.29,950.0,273.72,236.74,64779.0
1137.0,766003.0733348503,1384.4892969865525,9314.493202897722,33.15234517282845,-99.01833226135133,30559.0,0.7894,464.08,804.0,273.71,219.11,64560.0
1364.0,712191.6996765125,4873.281661067976,10242.956595096677,33.220426022011985,-99.59205602210228,33606.0,0.7845,455.02,304.0,273.69,175.25,64385.0
1592.0,659205.3184145874,8292.951825929626,10593.78276684682,33.28476756325069,-100.15784834388484,34757.0,0.7679,443.12,-0.0,273.67,149.18,64235.0
1819.0,607468.9397859884,11610.99376158058,10593.78276476069,33.344946866352664,-100.71109379629172,34757.0,0.7742,446.76,21.0,273.65,151.11,64084.0
2047.0,555314.7473691779,14935.98675272464,10618.464846062347,33.40296809435256,-101.26957513895594,34837.0,0.7744,446.68,21.0,273.63,150.65,63934.0
2274.0,503168.5962631024,18247.146422746162,10642.934353818118,33.45837640839769,-101.82870516789195,34918.0,0.7745,446.62,21.0,273.62,150.18,63783.0
2502.0,451028.20734404674,21544.263608861012,10667.326080159408,33.51116341683267,-102.38847641454682,34998.0,0.7747,446.56,21.0,273.59,149.72,63634.0
2729.0,398892.70260058524,24817.036472176147,10691.68206009843,33.561229528523064,-102.948870440887,35078.0,0.7749,446.5,21.0,273.56,149.27,63484.0
2956.0,346762.031870692,28059.576732968333,10716.011968856503,33.60851462204393,-103.50985540085156,35158.0,0.775,446.43,21.0,273.53,148.81,63336.0
3184.0,294636.89771153114,31278.522460646764,10740.311005623975,33.65307128073645,-104.07138539508883,35237.0,0.7752,446.36,21.0,273.52,148.35,63187.0
3411.0,242517.94031626018,34484.86063590716,10764.596568319523,33.69499184244746,-104.63341514654145,35317.0,0.7753,446.28,21.0,273.51,147.89,63039.0
3639.0,190405.25809113414,37680.699601942484,10788.908874405093,33.734289569491445,-105.1959093471045,35397.0,0.7755,446.21,21.0,273.49,147.44,62892.0
3866.0,138298.70220633174,40858.42607528901,10813.244963743336,33.77089078613585,-105.75883706563268,35477.0,0.7756,446.12,21.0,273.46,146.98,62745.0
4093.0,86197.78851923026,44012.388679923715,10837.663395532843,33.80473983023116,-106.3221687422003,35557.0,0.7758,446.03,21.0,273.45,146.52,62598.0
4321.0,34103.28460929089,47148.45327436759,10862.160449164317,33.83588485203015,-106.88585927910836,35637.0,0.7759,445.94,21.0,273.44,146.07,62452.0
4548.0,-17984.16793479236,50280.90559568596,10886.784751857942,33.86445001523013,-107.44986625380147,35718.0,0.776,445.84,21.0,273.45,145.61,62307.0
4776.0,-70063.89388543773,53420.406952678946,10911.559243853026,33.89052769113119,-108.01414921474749,35799.0,0.7761,445.73,22.0,273.45,145.22,62162.0
5003.0,-122136.27445604322,56564.177541988094,10936.541249365604,33.91409032033015,-108.57867999746571,35881.0,0.7762,445.61,22.0,273.45,144.76,62017.0
5231.0,-174201.86731186634,59700.458712023086,10961.711819417951,33.93502957121793,-109.14342986092701,35964.0,0.7762,445.49,22.0,273.44,144.3,61873.0
5458.0,-226261.34150244854,62832.45195518615,10987.115397249881,33.953371835326244,-109.70837210967717,36047.0,0.7763,445.36,22.0,273.46,143.84,61729.0
5685.0,-278313.9622383079,65982.29743234465,11012.771168913683,33.96931431221549,-110.27347145214861,36131.0,0.7764,445.31,22.0,273.49,143.38,61585.0
5913.0,-330360.03580467845,69155.56499904116,11038.6781875835,33.98290532428706,-110.8387027843844,36216.0,0.7764,445.34,23.0,273.49,142.98,61442.0
6140.0,-382401.553627203,72333.79345616806,11064.805334727585,33.99397699324712,-111.4040500009245,36302.0,0.7765,445.38,23.0,273.51,142.51,61300.0
6368.0,-434439.64268384175,75521.61566577855,11091.178877750994,34.00256932367098,-111.96949460327711,36388.0,0.7766,445.41,22.0,273.52,141.99,61158.0
6595.0,-486475.0061925893,78718.28808199469,11117.093030824737,34.008674364078225,-112.53501154246985,36473.0,0.7768,445.55,30.0,273.53,142.07,61016.0
6822.0,-538520.4523850511,81930.25151240363,11151.226410555822,34.01234269937255,-113.10071107679194,36585.0,0.7746,444.3,9.0,273.56,139.95,60876.0
7050.0,-590414.726482831,85156.29902283597,11161.896302672418,34.01365099938359,-113.66481480750026,36620.0,0.7652,438.87,-491.0,273.59,106.07,60770.0
7277.0,-641786.5388137357,88376.2459168054,10594.928974364251,34.012664932474856,-114.22325911034918,34760.0,0.7462,430.59,-500.0,273.59,106.3,60663.0
7505.0,-692275.6063590772,91542.35811648815,10017.29175390338,34.00926851175819,-114.77208019817013,32865.0,0.7072,411.58,-500.0,273.59,103.89,60560.0
7732.0,-740531.8294935826,94566.77883261416,9439.65453343338,34.00374638623182,-115.29657362788896,30970.0,0.6243,366.39,-1000.0,273.6,59.58,60500.0
7960.0,-783648.936273896,97276.98748102745,8284.380092495594,33.99701405263381,-115.76514926894933,27180.0,0.5915,352.84,-1500.0,273.61,31.86,60468.0
