ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,969132.5927696778,-14101.95127211047,30.480000295478938,32.851320000801636,-96.8634499988295,100.0,0.2383,157.59,1967.0,279.43,373.82,65926.0
207.0,952876.8291000882,-11402.972971632507,2101.6864341591154,32.88977188579346,-97.03383268468508,6895.0,0.4383,282.98,1693.0,268.79,292.5,65634.0
415.0,923082.6904323119,-12034.415001451927,3884.6833995562824,32.9098949734042,-97.35212823139074,12745.0,0.6383,403.31,1193.0,271.11,265.09,65369.0
622.0,880439.6740692368,-11205.109720983974,5141.207115047654,32.9527577941358,-97.80626605999345,16867.0,0.7253,451.1,693.0,270.98,242.72,65126.0
829.0,832576.3004732786,-10383.992986234709,5871.257580631997,32.997930427274774,-98.31661345168072,19263.0,0.7446,458.74,705.0,270.94,235.91,64890.0
1036.0,783909.9770814673,-9585.97788959941,6613.3376443426505,33.04140144650542,-98.83607755284513,21697.0,0.7633,465.7,718.0,270.94,228.66,64661.0
1244.0,734514.2330033421,-8778.874776612896,7369.278776244558,33.08329605786799,-99.36384109235075,24177.0,0.7808,471.63,730.0,270.93,220.86,64440.0
1451.0,684498.9142867476,-7965.4408113397685,8138.268669372774,33.12341583719521,-99.89872596854346,26700.0,0.7961,475.79,349.0,270.93,190.72,64250.0
1658.0,633901.8998783802,-7145.974280688537,8505.470858139726,33.161645365225574,-100.44031726579814,27905.0,0.8024,477.12,50.0,270.92,169.18,64081.0
1865.0,583051.4441728352,-6326.870098525709,8557.608876036258,33.19766361381886,-100.98508552227885,28076.0,0.8041,477.79,38.0,270.92,167.91,63913.0
2073.0,532125.3939020801,-5511.9950425724,8597.97188810673,33.231307381418816,-101.53110124882271,28209.0,0.8056,478.45,39.0,270.91,167.53,63745.0
2280.0,481129.1310223904,-4702.314193945266,8638.56691365418,33.26255002482399,-102.07827923561193,28342.0,0.8072,479.11,38.0,270.9,167.04,63578.0
2487.0,430062.3078884942,-3898.370115132707,8678.483538697814,33.29137227738149,-102.62659480431111,28473.0,0.8088,479.77,38.0,270.89,166.62,63411.0
2695.0,378925.2723572106,-3100.4904672202733,8718.577988409697,33.31775679296255,-103.17601512265558,28604.0,0.8103,480.43,38.0,270.89,166.19,63245.0
2902.0,327717.9553391189,-2308.9226823970203,8758.733455001551,33.341687452708086,-103.72651127606794,28736.0,0.8119,481.08,37.0,270.88,165.7,63080.0
3109.0,276439.99462462054,-1523.5588480466167,8797.996062595848,33.36315171668457,-104.27805689813997,28865.0,0.8135,481.74,38.0,270.87,165.34,62914.0
3316.0,225091.98811361165,-743.0952597139336,8837.90187099308,33.38214785825005,-104.83061458730609,28996.0,0.815,482.4,37.0,270.87,164.85,62749.0
3524.0,173673.39470029296,37.58912206379755,8876.936236516573,33.398709118903255,-105.38415834759194,29124.0,0.8166,483.06,37.0,270.88,164.44,62585.0
3731.0,122184.67143790839,824.4924275913172,8916.121348287435,33.41287678018506,-105.9386520972191,29252.0,0.8182,483.72,35.0,270.87,163.91,62421.0
3938.0,70624.66024595675,1603.9574283602499,8953.030006983536,33.424515917781186,-106.49407970911614,29373.0,0.8197,484.38,-59.0,270.83,158.33,62263.0
4145.0,18957.847973452957,2351.483443055971,8891.26893874009,33.43339478030591,-107.0507920202397,29171.0,0.82,484.98,-71.0,270.78,158.58,62104.0
4353.0,-32777.81033077551,3056.9924512778834,8816.4990762051,33.43940631014623,-107.60834278535168,28926.0,0.82,485.49,-63.0,270.75,160.07,61944.0
4560.0,-84565.41152555785,3736.6831312836503,8749.727491599846,33.442686974307705,-108.16651206761782,28706.0,0.82,485.94,-58.0,270.74,161.29,61783.0
4767.0,-136399.6256867832,4403.04135771419,8688.977772333728,33.44334219162735,-108.7252077744467,28507.0,0.82,486.36,-53.0,270.73,162.42,61620.0
4975.0,-188276.42228049686,5061.385766002906,8632.974811665912,33.44141366993684,-109.28435295114062,28323.0,0.82,486.74,-50.0,270.72,163.37,61457.0
5182.0,-240192.606162825,5713.915929820102,8580.839119596058,33.43691605043198,-109.8438798966546,28152.0,0.82,487.1,-46.0,270.71,164.32,61293.0
5389.0,-292145.56127219455,6361.230566120615,8531.93370702521,33.429850434179826,-110.40372703197745,27992.0,0.82,487.43,-44.0,270.71,165.11,61128.0
5596.0,-344133.1130492061,7001.451202038879,8485.779660915883,33.420196429283244,-110.96383665064235,27840.0,0.82,487.74,-412.0,270.67,145.99,60982.0
5804.0,-396293.00571473123,7611.18559820672,8052.081047094967,33.407689679149264,-111.52564717626363,26418.0,0.8117,485.72,88.0,274.18,178.0,60804.0
6011.0,-447914.47169901826,11381.578511736097,8144.855682938628,33.42124807639721,-112.08306532260455,26722.0,0.8145,486.8,204.0,283.78,183.06,60620.0
6218.0,-498252.2345927766,23727.760702007407,8359.396996909458,33.509843169227665,-112.63160502795252,27426.0,0.82,488.6,-36.0,281.48,167.95,60453.0
6425.0,-549323.8381892324,34097.17550018084,8321.254407277687,33.57787571879338,-113.18795205423594,27301.0,0.82,488.86,-35.0,281.44,168.54,60284.0
6633.0,-600428.5543951845,44439.50378388476,8284.597005121874,33.6431236822418,-113.74550443338369,27180.0,0.82,489.11,-34.0,281.45,169.1,60115.0
6840.0,-651557.2708136479,54794.48041670485,8249.287445910059,33.70593408329671,-114.30415920018893,27065.0,0.82,489.35,-32.0,281.45,169.7,59945.0
7047.0,-702710.3822130298,65155.39225978577,8215.208428752938,33.766233158995355,-114.86388771597213,26953.0,0.82,489.58,-532.0,281.45,143.97,59801.0
7255.0,-754070.0136678423,75561.46827740864,7654.65616172649,33.824229786317574,-115.42665962473447,25114.0,0.8071,485.61,-1032.0,281.47,123.9,59677.0
7462.0,-805180.2347618695,85929.7516706406,6567.6306448032865,33.87948744306964,-115.98745616075,21547.0,0.7786,475.36,-1532.0,281.44,108.06,59569.0
7669.0,-855363.0500087873,96084.50181092706,4954.131877982863,33.93101155837564,-116.53874709358512,16254.0,0.7,436.4,-2032.0,281.32,73.81,59495.0
7876.0,-901557.4223312864,105333.50881833865,2814.159861299263,33.97536069861002,-117.04670068136369,9233.0,0.5,320.07,-1572.0,272.92,31.95,59463.0
8084.0,-935939.9926410326,107089.33346810259,1159.0833060248385,33.96127011853055,-117.41963005023179,3803.0,0.3,195.83,-1072.0,279.43,34.07,59429.0
8291.0,-956643.8712763732,110526.83948615016,30.479999977424114,33.9734642172013,-117.64673078642376,100.0,0.1,66.13,-572.0,285.93,353.73,59076.0
