ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-667300.5775524838,-283198.3806547196,30.480000303700947,32.85128924536547,-96.86343132822066,100.0,0.3,198.38,2414.0,60.53,309.06,65991.0
174.0,-652108.4599317147,-274614.6335881348,2168.40295874245,32.937755431065156,-96.70747677856374,7114.0,0.5,322.55,2035.0,64.34,261.28,65730.0
349.0,-626360.1903638974,-262246.48650798504,3971.3300432731853,33.06433412496835,-96.44093534031758,13029.0,0.5653,356.81,1679.0,64.51,235.56,65494.0
523.0,-597768.9816377871,-248614.19473643292,5458.588494196302,33.203317325611195,-96.14400109175597,17909.0,0.6206,384.42,1454.0,64.66,217.15,65277.0
697.0,-566886.7444746156,-233986.8620991614,6746.866155885884,33.35177476731346,-95.82215572760781,22135.0,0.6747,410.95,1243.0,64.72,200.79,65076.0
872.0,-533816.1829033592,-218365.53078475874,7848.20212276327,33.50945212581322,-95.4762659236918,25749.0,0.7281,436.9,1043.0,64.77,186.63,64890.0
1046.0,-498598.41559327964,-201774.09615289335,8771.723414795846,33.67591593489362,-95.1065123412553,28779.0,0.7712,456.91,886.0,64.84,175.13,64714.0
1221.0,-461713.0369697875,-184452.40242151316,9556.958504702223,33.848586197339785,-94.71769208449227,31355.0,0.7917,463.8,835.0,64.9,167.41,64547.0
1395.0,-424246.4812973103,-166899.95985008538,10296.88429748907,34.02235025181103,-94.3211221052347,33782.0,0.786,455.55,335.0,64.93,135.7,64411.0
1569.0,-387315.28664296126,-149622.08793049218,10593.924444190181,34.19217355637674,-93.92862536345825,34757.0,0.7668,442.48,-21.0,64.92,113.2,64298.0
1744.0,-351361.9302028387,-132792.67224613784,10574.931164276868,34.35638201770145,-93.54501244108563,34695.0,0.7763,448.07,29.0,64.85,116.69,64181.0
1918.0,-314985.88935206586,-115714.20758906672,10600.23360536904,34.52176440059138,-93.15538538163288,34778.0,0.775,447.16,19.0,64.78,115.71,64066.0
2092.0,-278703.04764605116,-98622.79156557983,10617.462566587412,34.68600153255195,-92.76524085863251,34834.0,0.7755,447.34,22.0,64.65,115.64,63950.0
2267.0,-242443.00646715442,-81445.8742215615,10636.631015139807,34.84975983034593,-92.37382982609844,34897.0,0.7755,447.25,21.0,64.61,115.3,63835.0
2441.0,-206204.03614501844,-64243.24895314708,10655.43850008062,35.01249241228948,-91.98110545212543,34959.0,0.7757,447.2,21.0,64.49,115.03,63720.0
2615.0,-170004.4609342597,-46967.2799279994,10673.974856246436,35.17461415940701,-91.58727382860015,35020.0,0.7759,447.18,21.0,64.37,114.77,63605.0
2790.0,-133842.6692772904,-29614.97273820552,10692.66833655876,35.3361440071313,-91.19230760354071,35081.0,0.776,447.14,21.0,64.29,114.5,63490.0
2964.0,-97706.74993924574,-12216.81044832821,10711.37273215647,35.496800552410626,-90.796060974538,35142.0,0.7761,447.09,21.0,64.22,114.23,63376.0
3139.0,-61596.240631331406,5225.139799837454,10729.945986720519,35.656555330658165,-90.39852136764577,35203.0,0.7763,447.05,21.0,64.21,113.96,63262.0
3313.0,-25491.28401261508,22673.071051267594,10748.48893848507,35.815058793046354,-89.9994603443714,35264.0,0.7764,447.02,21.0,64.26,113.7,63149.0
3487.0,10628.88655264286,40084.57773685755,10767.10700189187,35.97191671062229,-89.5986445902824,35325.0,0.7766,446.98,21.0,64.33,113.43,63035.0
3662.0,46767.57216771741,57450.39478771032,10785.79012404001,36.1270310340134,-89.19604021054452,35386.0,0.7767,446.92,21.0,64.41,113.16,62922.0
3836.0,82926.8414622246,74764.3547312751,10804.423649716275,36.28033147862693,-88.79162833918323,35448.0,0.7768,446.87,21.0,64.55,112.89,62809.0
4010.0,119123.80194277626,91992.46500115425,10823.104854636913,36.4314951870496,-88.38522776374712,35509.0,0.777,446.82,22.0,64.69,112.68,62696.0
4185.0,155361.0453282314,109127.91895381884,10842.331371009233,36.58044358850069,-87.97682004715006,35572.0,0.7769,446.68,22.0,64.79,112.4,62584.0
4359.0,191618.85333764597,126195.84498765277,10861.931486370946,36.72738931351748,-87.56663091898409,35636.0,0.7768,446.49,22.0,64.87,112.1,62472.0
4533.0,227887.4948006518,143206.34307716985,10881.24884574221,36.87241049180832,-87.15477581493897,35700.0,0.7768,446.35,20.0,64.95,111.72,62360.0
4708.0,264170.23487581866,160164.26414441926,10899.020265025601,37.01553600483696,-86.74122513712555,35758.0,0.7772,446.47,38.0,64.98,112.4,62248.0
4882.0,300471.2163957054,177106.38212302438,10932.953167130274,37.15708079157177,-86.32592607329774,35869.0,0.7731,443.87,8.0,64.96,110.15,62138.0
5057.0,336565.1756370374,193969.12423157165,10940.02059860903,37.29653844635487,-85.91145477588995,35892.0,0.7656,439.54,-492.0,64.94,83.81,62054.0
5231.0,372399.64894440904,210727.6288661004,10504.202384008368,37.43371825618414,-85.49844323013997,34463.0,0.7099,410.17,-992.0,64.93,53.98,62000.0
