ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-667300.5777524106,-283198.3808547207,30.480000300433947,32.851289243446885,-96.86343133020645,100.0,0.3,198.38,2414.0,60.53,275.28,66025.0
155.0,-653750.485176092,-275542.3996213221,1934.70798124553,32.928419006223706,-96.72434753878137,6347.0,0.5,323.44,1914.0,73.82,228.88,65796.0
311.0,-629196.7491113064,-268420.4600356667,3444.4618599700543,33.007310719010704,-96.46694695089896,11301.0,0.6018,382.27,1414.0,71.4,206.21,65590.0
466.0,-600467.098186994,-258753.899815247,4559.741636469569,33.110888079112854,-96.16608156784197,14960.0,0.6858,429.65,914.0,71.35,189.22,65400.0
621.0,-568098.2239109394,-247827.1836733211,5280.547310746182,33.22702920790477,-95.8262762253135,17325.0,0.7289,452.52,695.0,71.32,180.95,65219.0
777.0,-533971.8264229933,-236292.12814788986,5828.502739651171,33.34859911944828,-95.46705065976933,19122.0,0.7432,458.17,704.0,71.32,177.09,65042.0
932.0,-499423.81190165365,-224611.95743652634,6383.8167772522,33.47062829549335,-95.10236500465176,20944.0,0.7573,463.48,714.0,71.32,173.07,64869.0
1087.0,-464478.47644184047,-212797.63583623405,6946.852999325739,33.592960013522344,-94.73243882936424,22792.0,0.7709,468.31,724.0,71.32,168.85,64700.0
1242.0,-429173.4391695182,-200861.49919075923,7517.860864215425,33.71542172261341,-94.35763811949033,24665.0,0.7837,472.4,732.0,71.32,164.32,64536.0
1398.0,-393563.85295134946,-188822.87179358143,8095.450744340666,33.837775353836015,-93.97851981190267,26560.0,0.7949,475.37,517.0,71.32,150.35,64386.0
1553.0,-357687.6844419118,-176694.69609321334,8503.451379942055,33.95985265987622,-93.59546424675345,27898.0,0.8015,476.63,67.0,71.32,127.47,64258.0
1708.0,-321625.99749048357,-164503.65253164264,8556.461435354711,34.081352834127905,-93.2093190652368,28072.0,0.803,477.14,39.0,71.32,125.8,64133.0
1864.0,-285520.2439071408,-152298.41339700544,8587.549755398524,34.20177103709442,-92.82159089888786,28174.0,0.8041,477.63,38.0,71.32,125.51,64007.0
2019.0,-249376.54830219923,-140081.8477506738,8617.449924357279,34.32106643906657,-92.43234474712321,28272.0,0.8053,478.12,37.0,71.32,125.23,63882.0
2174.0,-213195.94115288937,-127851.5260754111,8646.707931951281,34.439247705113054,-92.04159259137495,28368.0,0.8065,478.61,36.0,71.33,124.95,63757.0
2330.0,-176977.46770115825,-115609.93381215651,8674.84482245421,34.55627978217464,-91.64932366001044,28461.0,0.8076,479.1,18.0,71.32,123.96,63633.0
2485.0,-140719.40038987956,-103351.50631482538,8689.05345365948,34.67219992524172,-91.25552074076957,28507.0,0.8086,479.59,-342.0,71.32,108.5,63524.0
2640.0,-104353.45152340848,-91056.31130718174,8419.39607779755,34.78718123509645,-90.85943888838594,27623.0,0.8056,479.63,-650.0,71.37,97.95,63426.0
2795.0,-67915.60089339747,-78769.57262803211,7906.1963295641035,34.900793985488896,-90.46146364423318,25939.0,0.7972,478.02,-150.0,71.35,124.06,63302.0
2951.0,-31700.55961979093,-66544.16643911766,7787.470683433249,35.01253649459116,-90.06483165403762,25549.0,0.7955,477.74,350.0,66.93,146.06,63156.0
3106.0,3347.7900477254884,-51613.160761258565,8063.219139463107,35.14731100415401,-89.67993612011662,26454.0,0.8015,479.57,729.0,67.73,158.92,62997.0
3261.0,38659.40336435881,-37149.556656824825,8637.989726135118,35.2766399954061,-89.29088256874795,28340.0,0.8119,481.92,293.0,67.47,136.03,62861.0
3417.0,74166.83568785722,-22423.56699112677,8868.815947340103,35.40705489128124,-88.89840151501207,29097.0,0.8158,482.63,47.0,67.49,123.66,62738.0
3572.0,109780.07853372463,-7666.452728717259,8905.790357884842,35.53645433603732,-88.50347628270706,29218.0,0.817,483.12,99.0,67.49,125.51,62612.0
3727.0,145420.06332803942,7099.967043137284,8983.82863852629,35.66463187947615,-88.10697878342542,29475.0,0.8188,483.61,-253.0,67.5,110.14,62502.0
3883.0,181167.464458505,21906.33178658839,8784.25486144819,35.79183485168156,-87.70800807725038,28820.0,0.8171,483.96,-753.0,67.52,91.29,62411.0
4038.0,217039.51312924473,36753.01930923428,8190.206982581183,35.918040472949194,-87.30636513903451,26871.0,0.8077,482.42,-331.0,68.34,114.47,62296.0
