ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-667300.5776654873,-283198.38072701346,30.47999999987627,32.851289244645976,-96.8634313293733,100.0,0.3,198.38,500.0,60.53,175.58,66124.0
175.0,-651788.4094195052,-274433.8005943227,475.1835703609272,32.9395749548672,-96.70418805270506,1559.0,0.5,328.96,392.0,75.53,181.38,65943.0
350.0,-623157.6736252548,-267046.96710859967,823.4173495024971,33.023243912229226,-96.40330368822875,2702.0,0.6394,419.03,-108.0,84.71,211.81,65731.0
525.0,-585555.9307151212,-263566.937607171,726.9498359599273,33.07624453573238,-96.00317900630694,2385.0,0.6384,418.82,171.0,69.71,226.2,65505.0
700.0,-550204.7485987594,-250498.80596435108,878.9649703562609,33.21271157439439,-95.6326293432921,2884.0,0.6406,419.54,671.0,54.71,245.67,65259.0
875.0,-519470.32686954556,-228747.57777005492,1475.6195383416593,33.423648131012726,-95.31565982111762,4841.0,0.5042,327.93,1171.0,58.45,220.4,65039.0
1050.0,-494468.74568113376,-213397.35273744861,2516.963047809709,33.57362776436981,-95.05536420125014,8258.0,0.4063,261.05,1671.0,63.21,247.46,64792.0
1226.0,-473709.82875289134,-202916.17793490094,4002.982357499233,33.67742972655723,-94.83732458270504,13133.0,0.6063,382.55,1176.0,54.55,213.87,64578.0
1401.0,-445837.6335853171,-183071.6665537177,5049.367139529631,33.86800622158406,-94.54672306433612,16566.0,0.7249,451.38,677.0,68.51,204.73,64373.0
1576.0,-408158.226362819,-168236.53389238202,5651.084643889685,34.01690441653978,-94.14611097595827,18540.0,0.7411,457.89,178.0,83.46,176.25,64197.0
1751.0,-367227.93668823305,-163541.5351855447,5809.743989812398,34.07460412399875,-93.70443790075876,19061.0,0.7062,435.46,552.0,98.46,181.57,64015.0
1926.0,-328559.82695757627,-169290.38087100032,6300.418045790807,34.03614171200929,-93.28271580749723,20671.0,0.758,464.43,718.0,93.8,195.45,63820.0
2101.0,-287002.11924052733,-172049.7120221693,6939.358365865492,34.02387145052397,-92.83106423469742,22767.0,0.558,339.01,501.0,78.8,145.22,63674.0
2276.0,-257142.39988856396,-166136.7649681945,7385.135053031993,34.08496598465548,-92.50900224891107,24229.0,0.758,457.75,1.0,70.51,144.62,63530.0
2451.0,-218276.7711466468,-152377.98168866464,7386.225921716282,34.21769872222119,-92.09065956651806,24233.0,0.7859,474.59,-499.0,71.99,128.0,63402.0
2626.0,-177506.6261755687,-139119.8256578971,6942.626465751917,34.34482407278495,-91.65015141358056,22778.0,0.7276,442.01,-413.0,56.99,120.91,63281.0
2801.0,-144043.0231786399,-117376.60524310141,6575.170611936767,34.54562611563582,-91.28944716804419,21572.0,0.5276,322.08,87.0,42.67,115.01,63166.0
2976.0,-124392.73812109433,-96056.01318489895,6652.322956078369,34.73994625813433,-91.07809981436046,21825.0,0.7276,443.72,396.0,27.67,166.23,63000.0
