ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-835761.591706523,-531633.4523193467,30.48000000475764,32.85128272342777,-96.86341575674395,100.0,0.3,198.38,2414.0,48.68,403.45,65897.0
228.0,-818721.6189620028,-516650.36231931223,2821.3016964169587,32.99914896778907,-96.69591299550319,9256.0,0.5,320.04,1977.0,53.98,333.36,65563.0
455.0,-788890.7878319329,-494958.32121690694,5107.018047349926,33.21692674634824,-96.39722318477111,16755.0,0.6116,380.54,1487.0,53.98,288.35,65275.0
683.0,-753274.6325488376,-469064.22120793693,6826.269269213652,33.47596907186416,-96.03866481590835,22396.0,0.6831,415.59,1209.0,53.99,260.17,65015.0
910.0,-714298.135223549,-440731.1563783769,8223.834845937674,33.75824000489252,-95.6438294239835,26981.0,0.7526,449.29,950.0,53.99,236.87,64778.0
1138.0,-672076.1999041566,-410043.88577653165,9322.16777339771,34.0625602628982,-95.2131944584994,30585.0,0.7893,463.97,800.0,53.99,218.93,64559.0
1366.0,-628424.5077996942,-378322.4018317684,10247.235910735819,34.3755712520206,-94.76473830428345,33620.0,0.7844,454.93,300.0,54.0,175.08,64384.0
1593.0,-585439.2025629212,-347090.20547176787,10594.165910364838,34.68216893368624,-94.31986643487458,34758.0,0.7678,443.07,0.0,54.0,149.29,64234.0
1821.0,-543462.7502704393,-316597.75934478315,10594.16621073871,34.979958890208614,-93.8822683617977,34758.0,0.7742,446.73,22.0,54.01,151.3,64083.0
2049.0,-501142.9043625969,-285865.56685566995,10619.106596701666,35.278516751836385,-93.43787899378364,34840.0,0.7742,446.61,21.0,54.02,150.75,63932.0
2276.0,-458827.50597604073,-255149.2005678923,10643.564387262404,35.57531319733334,-92.99026968519551,34920.0,0.7744,446.56,21.0,54.04,150.29,63782.0
2504.0,-416510.5016820231,-224445.75711409448,10668.007122687097,35.870347258124326,-92.53933543101287,35000.0,0.7746,446.49,21.0,54.05,149.83,63632.0
2731.0,-374194.1414377525,-193753.46505506622,10692.330280645323,36.16360310193829,-92.08506165313514,35080.0,0.7748,446.43,21.0,54.05,149.37,63483.0
2959.0,-331882.5901657106,-163064.67121175327,10716.597437004337,36.455117013794535,-91.62745800619332,35159.0,0.775,446.37,21.0,54.03,148.92,63334.0
3187.0,-289581.93254272785,-132370.5465332502,10740.873656130474,36.744935606154826,-91.16655556455319,35239.0,0.7751,446.31,21.0,54.02,148.46,63186.0
3414.0,-247293.65174030478,-101670.1126629243,10765.1813781302,37.033036869373916,-90.70233045176052,35319.0,0.7753,446.24,21.0,54.03,148.0,63038.0
3642.0,-205007.51284881722,-70978.6953732174,10789.464466259657,37.31925467751601,-90.23462203028357,35399.0,0.7754,446.16,21.0,54.05,147.55,62890.0
3869.0,-162713.4601560783,-40309.16866822747,10813.870486966804,37.603442541019,-89.76327401011191,35479.0,0.7756,446.07,21.0,54.09,147.09,62743.0
4097.0,-120404.81635953054,-9673.484742093264,10838.283540654686,37.88545947525789,-89.28817023343319,35559.0,0.7757,445.99,21.0,54.12,146.63,62596.0
4325.0,-78084.60868983375,20934.153376890725,10862.762905074103,38.165321535563706,-88.8093095553911,35639.0,0.7758,445.9,21.0,54.14,146.18,62450.0
4552.0,-35761.41909602666,51526.39765792876,10887.391050655766,38.44310621303913,-88.32675466504696,35720.0,0.7759,445.8,21.0,54.13,145.72,62304.0
4780.0,6551.526999009924,82120.8742772901,10912.133438425744,38.71893673614771,-87.84062111679137,35801.0,0.776,445.7,22.0,54.11,145.33,62159.0
5007.0,48847.1164415015,112728.9825271846,10937.070525508523,38.992882530853024,-87.35095321743938,35883.0,0.7761,445.59,22.0,54.09,144.87,62014.0
5235.0,91128.00570183426,143347.24331218653,10962.242091760567,39.26487920239916,-86.85768238236861,35965.0,0.7762,445.47,22.0,54.08,144.41,61870.0
5463.0,133399.3777627142,173968.56270101637,10987.61511817296,39.53482836783894,-86.36071212893732,36049.0,0.7763,445.35,22.0,54.08,143.95,61726.0
5690.0,175665.46114616122,204589.1947374325,11013.23718531832,39.802660464844365,-85.85995780152516,36133.0,0.7764,445.31,22.0,54.07,143.49,61582.0
5918.0,217925.24457800653,235211.81243681937,11039.074543141103,40.06836367181317,-85.35539511711522,36217.0,0.7765,445.36,23.0,54.07,143.1,61439.0
6146.0,260180.4363457219,265836.7616194168,11065.164704562178,40.33190416748757,-84.84696889052738,36303.0,0.7766,445.41,23.0,54.06,142.64,61297.0
6373.0,302430.1153385288,296466.7125758515,11091.466598549183,40.59326913998113,-84.33465436957803,36389.0,0.7766,445.46,23.0,54.05,142.18,61154.0
