ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-835761.5917235485,-531633.452337384,30.47999999993878,32.85128272325253,-96.86341575690813,100.0,0.3,198.38,500.0,48.68,306.33,65994.0
305.0,-812461.6254900566,-511146.0082688159,806.3396182763868,33.05341649638265,-96.63423891315044,2645.0,0.5,327.72,0.0,63.68,261.14,65733.0
611.0,-766304.6033270897,-488308.8560166106,806.3436849744849,33.29395164763151,-96.16143190433876,2645.0,0.6394,419.11,0.0,49.55,379.0,65354.0
916.0,-716186.5034887097,-445581.01907356945,806.3623764915332,33.713482736197825,-95.66009406322031,2646.0,0.5286,346.44,374.0,37.44,324.0,65030.0
1222.0,-683203.4628538976,-402503.46953244216,1387.187576999002,34.12238281675024,-95.3396823712345,4551.0,0.3286,213.91,874.0,52.44,357.45,64672.0
1527.0,-656790.4592018891,-382192.0291986473,2743.7319287072996,34.322270569384045,-95.06971724076045,9002.0,0.3135,200.86,572.0,67.44,324.72,64347.0
1833.0,-627810.7481381902,-370152.5963450102,3631.8378036395065,34.44914191913985,-94.76426212358777,11915.0,0.5135,325.46,125.0,63.75,231.2,64116.0
2138.0,-581997.5608760414,-347558.9504513672,3825.9836491524256,34.680037121106686,-94.28199681102663,12552.0,0.3135,198.23,625.0,54.53,345.71,63770.0
2444.0,-556795.3088670211,-329599.16879445146,4795.825110458351,34.85581387094032,-94.01932901061619,15734.0,0.4483,280.03,125.0,69.06,207.56,63563.0
2749.0,-515750.2875889363,-313888.7545499222,4990.013482715101,35.01946167802872,-93.58048748250887,16371.0,0.6483,403.96,0.0,54.06,255.07,63308.0
3055.0,-464358.63473446737,-276626.3427139419,4990.077524234476,35.37992992338949,-93.03875278046753,16372.0,0.6475,403.48,-139.0,46.06,240.53,63067.0
3360.0,-418640.0292967964,-232572.03858306733,4773.990304980817,35.796465534671604,-92.55858513854835,15663.0,0.4475,279.62,361.0,61.06,238.76,62829.0
3665.0,-380326.00057005766,-211388.37500114925,5333.521243368369,36.00280241667229,-92.14462233113275,17498.0,0.529,328.23,-139.0,46.18,180.45,62648.0
3971.0,-343058.0924143313,-175629.87828618326,5117.685708906344,36.338234881561704,-91.74665394009257,16790.0,0.5509,342.72,-184.0,32.11,184.77,62463.0
4276.0,-314379.5593796158,-129930.43892428352,4831.507796257503,36.75881366406348,-91.44566724902499,15851.0,0.4664,291.24,202.0,47.11,214.43,62249.0
4582.0,-280916.56117587973,-98845.57353733125,5145.551896578018,37.048822296035624,-91.08194951077051,16882.0,0.2874,178.74,336.0,62.11,336.55,61912.0
4887.0,-256178.69275147584,-85752.97495029947,5667.053756772665,37.17366086489067,-90.80786990916984,18593.0,0.4874,301.1,-164.0,59.71,163.12,61749.0
5193.0,-215256.2360573775,-61850.744108626204,5412.786564783395,37.39896038463504,-90.35315349428527,17758.0,0.6874,426.04,-500.0,44.71,218.16,61531.0
5498.0,-167924.76036982675,-14040.274978222868,4637.006774830292,37.83866588626472,-89.82851816851858,15213.0,0.6901,431.96,-42.0,59.17,283.59,61247.0
5804.0,-109615.18059148667,20760.911723064564,4572.031195007762,38.160489540984294,-89.16990917837542,15000.0,0.4901,307.02,0.0,74.17,189.81,61058.0
6109.0,-63199.55423090747,33921.68287216988,4572.038657494398,38.28327937616221,-88.64021351080926,15000.0,0.2901,181.73,-0.0,70.08,239.78,60818.0
6415.0,-36350.037943714466,43650.0167917517,4572.01115815121,38.37224967617409,-88.333105592407,15000.0,0.2351,147.29,500.0,55.08,435.62,60382.0
6720.0,-17474.855443051514,56825.67128297893,5347.719152300419,38.49130539937744,-88.11691792493427,17545.0,0.3988,247.35,0.0,40.08,181.32,60201.0
