ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,75771.69996821144,184230.3332453236,30.48000025652024,32.85132000088887,-96.86344999892926,100.0,0.2301,152.13,1887.0,203.18,91.14,66209.0
50.0,74233.90511400739,180638.26644787064,513.9459583198667,32.81911935860406,-96.88019442791911,1686.0,0.2624,172.57,2049.0,188.18,89.82,66119.0
101.0,73603.29865340613,176249.23900468866,1039.0577081119234,32.77969100819663,-96.88728616555146,3409.0,0.3324,217.27,2317.0,173.18,86.58,66032.0
151.0,74267.18837753586,170701.3074566482,1632.8037703243656,32.72975641320855,-96.88062452568097,5357.0,0.3996,259.4,2324.0,188.18,82.29,65950.0
202.0,73316.98885227552,164087.89622744804,2228.2315956212465,32.67034530066527,-96.89129621039525,7310.0,0.496,319.71,2049.0,197.59,75.66,65874.0
252.0,70822.1842976905,156220.22456821467,2753.2551024292447,32.59975120498643,-96.91853599126662,9033.0,0.5766,369.4,1549.0,195.14,69.63,65805.0
303.0,68326.18319938166,146997.52339358983,3150.1587258672002,32.51696568585351,-96.94584303661715,10335.0,0.6373,406.28,1049.0,194.22,65.26,65740.0
353.0,65740.8172260087,136798.2971775232,3418.9424670188523,32.42539757074743,-96.97411895904753,11217.0,0.6798,431.96,665.0,194.67,62.69,65677.0
404.0,62906.16204757054,125967.06858627696,3589.462814886884,32.32815324097085,-97.00503165421868,11776.0,0.6843,433.96,668.0,194.65,62.35,65615.0
454.0,60061.45387015794,115085.11838018047,3760.662202567236,32.23044564280213,-97.03598744343078,12338.0,0.6889,435.95,671.0,194.6,62.0,65553.0
504.0,57214.08047635469,104150.54673076796,3932.5467583286427,32.132257285396285,-97.06690754631808,12902.0,0.6935,437.94,673.0,194.63,61.64,65491.0
555.0,54347.82194030142,93167.64636510581,4105.122876960913,32.03362755984268,-97.09796358011097,13468.0,0.6982,439.93,676.0,194.63,61.28,65430.0
605.0,51467.350918618664,82135.30156105485,4278.3972428033385,31.934546118598174,-97.12910538094373,14037.0,0.7028,441.91,679.0,194.64,60.92,65369.0
656.0,48573.106460178235,71053.54344104926,4452.376854865402,31.835013154496206,-97.16032774385174,14608.0,0.7075,443.89,682.0,194.65,60.55,65308.0
706.0,45664.351765646956,59922.75817688974,4627.069054524576,31.735032104578536,-97.19163790544324,15181.0,0.7122,445.86,685.0,194.65,60.18,65248.0
757.0,42742.172023290805,48742.90856893353,4802.4815561502255,31.634602523790235,-97.2230238520452,15756.0,0.7169,447.81,687.0,194.66,59.79,65188.0
807.0,39805.545939603006,37514.56588096938,4978.6224810486265,31.53372952239321,-97.2544958254633,16334.0,0.7217,449.75,690.0,194.66,59.4,65129.0
857.0,36856.21593033133,26237.642522855826,5155.500395190356,31.43241218694488,-97.28603493034608,16914.0,0.7264,451.68,693.0,194.67,59.01,65070.0
908.0,33891.995333750056,14913.149010410627,5333.124351263221,31.330659611207718,-97.31766368845949,17497.0,0.7311,453.59,696.0,194.67,58.61,65011.0
958.0,30914.7536731444,3541.1124514489024,5511.503935694513,31.228471916797947,-97.34936192044628,18082.0,0.7358,455.47,699.0,194.68,58.21,64953.0
1009.0,27922.852606978435,-7877.435595317526,5690.64932141005,31.125858372716927,-97.38114637044544,18670.0,0.7405,457.33,702.0,194.68,57.8,64895.0
1059.0,24919.233752782427,-19342.56760148561,5870.571327250228,31.022818220725185,-97.41298567156102,19260.0,0.7452,459.16,705.0,194.68,57.38,64838.0
1110.0,21903.96161176128,-30853.496029462945,6051.281485152701,30.919358512292206,-97.44487869985481,19853.0,0.7499,460.95,708.0,194.67,56.96,64781.0
1160.0,18877.900673329746,-42409.524181734174,6232.792116442088,30.81548545010306,-97.47681596898082,20449.0,0.7546,462.71,712.0,194.61,56.54,64724.0
1211.0,15853.249100948278,-54012.782765909,6415.115726728726,30.711179662453038,-97.50866955155855,21047.0,0.7592,464.42,212.0,194.61,49.3,64675.0
1261.0,12814.484957137798,-65669.92661330782,6469.319454456396,30.606381522061934,-97.54060175936954,21225.0,0.7606,464.98,-288.0,194.8,42.09,64633.0
1311.0,9730.711133933764,-77340.80919941403,6395.4032995125,30.501452264665275,-97.57293415625469,20982.0,0.759,464.43,-788.0,193.94,35.03,64598.0
1362.0,6823.55287581226,-89051.13314178633,6193.367262149331,30.39615917956087,-97.60335502049878,20319.0,0.7542,462.7,-1288.0,189.14,28.21,64570.0
1412.0,4913.359358499917,-100926.51260651201,5863.211344082144,30.289370820247,-97.62332737921115,19236.0,0.746,459.66,-788.0,204.14,36.34,64533.0
1463.0,29.989586529383597,-111824.0574295049,5661.17530052756,30.19137708984012,-97.67418607353599,18573.0,0.7409,457.75,-744.0,219.14,37.47,64496.0
1513.0,-7475.62155364023,-121047.22479362709,5470.64036411547,30.108407612154327,-97.75220246961551,17948.0,0.7361,455.9,-1244.0,231.03,30.5,64465.0
1564.0,-16688.722130534814,-128499.82697535412,5151.9855468061705,30.041291606790463,-97.84785565636476,16903.0,0.7279,452.65,-1744.0,227.41,23.77,64442.0
1614.0,-25354.75768391431,-136465.3467976583,4705.210847252423,29.96950400994205,-97.93768647320766,15437.0,0.7162,447.89,-2244.0,227.41,17.39,64424.0
1665.0,-33931.28876671228,-144350.3164642253,4130.316265437978,29.8983812391628,-98.02646036577745,13551.0,0.701,441.54,-2500.0,228.19,14.73,64409.0
1715.0,-42491.75467147293,-152007.1623310711,3489.7168490044087,29.82925000001423,-98.11494891422971,11449.0,0.6839,434.24,-2500.0,228.73,15.51,64394.0
1765.0,-50980.675354787076,-159456.62006474615,2849.117432399058,29.761926724360855,-98.20258266877981,9347.0,0.6693,428.29,-2500.0,229.77,16.66,64377.0
1816.0,-59484.63487285926,-166649.66280455678,2208.5180157728446,29.6968497417048,-98.29026747776744,7246.0,0.6601,425.64,-2500.0,234.39,18.87,64358.0
1866.0,-68483.47901579618,-173093.80781053382,1567.9185991607849,29.638420607748557,-98.3830051321839,5144.0,0.4601,298.92,-2500.0,233.18,7.58,64351.0
1917.0,-74694.87030749119,-177744.54906628805,927.3191831093977,29.596228862593332,-98.44693896467345,3042.0,0.2601,170.25,-2000.0,218.18,8.57,64342.0
1967.0,-77415.36168373989,-181204.63465201133,414.8396499001688,29.56494175611504,-98.47482076271275,1361.0,0.1579,103.96,-1500.0,203.18,9.44,64333.0
2018.0,-78468.76125273034,-183665.22350518277,30.47999987153477,29.54274631734543,-98.48552989398247,100.0,0.0557,36.82,-1000.0,188.18,92.95,64240.0
