ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,75771.69990072236,184230.33313661287,30.4800000000575,32.85131999991578,-96.86344999966043,100.0,0.3,198.38,1667.0,203.18,107.55,66192.0
67.0,73088.78189974879,177963.4240895501,600.0192728285842,32.795139616963375,-96.89265533465374,1969.0,0.5,328.49,1167.0,188.18,87.96,66104.0
134.0,71477.28712275292,166747.40549873892,998.7523459695385,32.69437906454876,-96.91074615572309,3277.0,0.6416,419.57,667.0,175.1,93.86,66011.0
202.0,72714.53848145834,152306.41053909832,1226.6788642860863,32.564435640673885,-96.89863842430574,4025.0,0.6446,420.48,666.0,189.22,92.81,65918.0
269.0,70386.9232748787,137968.68269190943,1454.13471843316,32.43564546323387,-96.92453621012665,4771.0,0.6478,421.4,665.0,204.22,91.76,65826.0
336.0,64414.68635594054,124692.89403036398,1681.183796488786,32.31661073152782,-96.98906382055785,5516.0,0.6509,422.34,664.0,218.28,90.71,65735.0
403.0,55377.377744778016,113239.5718671787,1907.8838802102634,32.21408472644726,-97.08588885267683,6259.0,0.6541,423.28,663.0,233.28,89.66,65646.0
471.0,43657.63598368108,104496.10141811904,2134.3052250323485,32.13596060842273,-97.21085313468762,7002.0,0.6574,424.23,662.0,248.28,88.62,65557.0
538.0,30043.756052722976,99071.66065108274,2360.506738558419,32.08761497333082,-97.35559982761654,7744.0,0.6606,425.2,662.0,253.87,87.59,65469.0
605.0,15934.28145474338,94990.04628664668,2586.553474830841,32.05119057807448,-97.50542981676092,8486.0,0.6639,426.17,661.0,238.87,86.55,65383.0
672.0,3333.1607331552523,87378.47491740715,2812.515375942129,31.982843678335723,-97.63915583146701,9227.0,0.6545,418.97,816.0,228.31,86.54,65296.0
740.0,-7470.084746417526,77756.44483905574,3091.376260958548,31.896291313267966,-97.75362104794223,10142.0,0.609,388.57,1316.0,230.98,89.19,65207.0
807.0,-17880.12092010035,69321.68305269722,3541.038780578194,31.82032146619651,-97.86373325530971,11618.0,0.409,259.55,1812.0,245.98,98.48,65109.0
874.0,-26031.027399894952,65689.85832414067,4160.104749234111,31.787504922453135,-97.94990306275294,13649.0,0.286,180.1,1312.0,260.98,108.72,65000.0
941.0,-32151.396650747523,64718.657035952565,4608.3684621880475,31.778616716733456,-98.01462418648818,15119.0,0.2676,167.56,1022.0,269.15,107.94,64892.0
1009.0,-37924.12804818982,64633.49983294195,4957.585782113431,31.777675909418424,-98.07569001784853,16265.0,0.2831,176.48,1051.0,254.16,105.34,64787.0
1076.0,-43773.98642591092,62973.20021453478,5316.625539602757,31.76253800263831,-98.1374999743446,17443.0,0.3252,201.79,1257.0,239.16,100.99,64686.0
1143.0,-49739.478355037594,59410.724618885404,5745.982681569017,31.73025935648968,-98.20041603312988,18852.0,0.378,233.29,1429.0,224.16,95.78,64590.0
1210.0,-55333.36091958726,53649.413758970186,6234.201397287641,31.67819402788373,-98.25923676828494,20453.0,0.4056,248.71,1416.0,209.16,91.86,64498.0
1278.0,-59505.121802291316,46171.23928057215,6717.934482596345,31.610736438805592,-98.302868585298,22040.0,0.4208,256.39,1345.0,194.16,88.61,64410.0
1345.0,-61664.68618022402,37608.688380874955,7177.480997589024,31.53362127876297,-98.32513730545551,23548.0,0.4764,288.51,1398.0,179.16,83.79,64326.0
1412.0,-61518.20799431725,27672.270637107467,7654.98033465938,31.444271577589134,-98.3229736627708,25115.0,0.6764,406.99,1234.0,164.16,73.79,64252.0
