ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-519054.6810025836,-282334.3707332141,30.48000030396922,32.851296033005674,-96.86343239985752,100.0,0.3,198.38,2414.0,56.32,257.73,66042.0
145.0,-506921.1763112964,-274247.3691015765,1813.3061788051484,32.92978894008737,-96.73833323182407,5949.0,0.4978,322.49,2077.0,59.56,220.98,65821.0
291.0,-486353.61956751236,-262162.8098290278,3347.1515707106832,33.04799040942054,-96.52488788310268,10981.0,0.5411,344.17,1783.0,59.57,203.14,65618.0
436.0,-464363.66347551614,-249246.0724932261,4663.8917452765,33.17393283307124,-96.29604687439729,15301.0,0.5875,367.63,1589.0,59.6,189.71,65428.0
582.0,-440843.9517274607,-235444.822893602,5837.830891777657,33.30804750495419,-96.05055288601146,19153.0,0.633,390.16,1407.0,59.62,177.42,65251.0
727.0,-415854.3195561591,-220793.04500572308,6877.027829705761,33.449907505841075,-95.7888847661044,22562.0,0.6776,411.97,1234.0,59.63,166.33,65085.0
872.0,-389440.4069276933,-205315.53078919958,7788.331639927057,33.59917163743676,-95.51137011619602,25552.0,0.7216,433.38,1068.0,59.64,156.49,64928.0
1018.0,-361628.84062613285,-189023.71318599037,8577.193177624138,33.75562241186372,-95.2181331949565,28140.0,0.7621,452.74,920.0,59.62,148.09,64780.0
1163.0,-332559.49834693805,-171980.29987230618,9256.875697399186,33.918540459111576,-94.91049886889073,30370.0,0.7847,461.71,1028.0,59.57,149.03,64631.0
1309.0,-302948.5702530466,-154588.68771569556,10016.182401838005,34.08398280835426,-94.59593710779453,32861.0,0.7907,460.15,640.0,59.52,128.23,64503.0
1454.0,-273389.86318922765,-137192.6472277094,10489.209784687466,34.2486492109953,-94.28071828346538,34413.0,0.7832,452.65,140.0,59.48,103.4,64399.0
1599.0,-244245.40224791772,-120008.6390565425,10592.912295094904,34.41050341026084,-93.96872132379116,34754.0,0.7678,443.06,-26.0,59.44,94.24,64305.0
1745.0,-215702.5284376727,-103154.78451132946,10574.04799175438,34.568469597568615,-93.66200330331873,34692.0,0.7763,448.11,32.0,59.41,97.45,64208.0
1890.0,-186852.36480992276,-86099.1751911641,10597.91506706179,34.72753936365321,-93.35080632299278,34770.0,0.7746,446.98,19.0,59.38,96.5,64111.0
2036.0,-158081.57154863334,-69071.25604529626,10612.123391108118,34.88555624294072,-93.03927928294361,34817.0,0.7751,447.15,22.0,59.37,96.48,64015.0
2181.0,-129303.49110975093,-52030.77583395287,10628.149671472715,35.04289224587705,-92.72647904382197,34869.0,0.7751,447.07,22.0,59.35,96.28,63918.0
2326.0,-100536.26731058337,-34983.99727330714,10644.071176095023,35.19948089009279,-92.4125972248215,34921.0,0.7752,446.99,22.0,59.33,96.09,63822.0
2472.0,-71780.00873854039,-17929.50236430393,10660.310630767393,35.35532806329002,-92.09762977009305,34975.0,0.7752,446.86,22.0,59.34,95.88,63727.0
2617.0,-43028.521737037765,-884.917473375521,10676.34607010031,35.5102686374036,-91.78150187308518,35027.0,0.7752,446.76,21.0,59.35,95.64,63631.0
2763.0,-14281.070389519258,16152.106023279171,10692.094251192968,35.664316244166464,-91.46420143804525,35079.0,0.7752,446.69,21.0,59.36,95.45,63535.0
2908.0,14466.47860452157,33180.124576040325,10707.626401902651,35.817449898793285,-91.14567845683968,35130.0,0.7753,446.66,21.0,59.38,95.26,63440.0
3053.0,43218.93939798191,50195.0582220142,10723.407511098982,35.96962493047831,-90.82587608959518,35182.0,0.7754,446.58,22.0,59.41,95.11,63345.0
3199.0,71975.25051118922,67192.82816690563,10739.610854802148,36.120796524815674,-90.50480286174053,35235.0,0.7753,446.44,22.0,59.44,94.91,63250.0
3344.0,100731.71212776797,84170.16835777389,10755.680031099171,36.270927373237505,-90.182497482333,35288.0,0.7753,446.31,22.0,59.47,94.71,63155.0
3490.0,129488.7645190052,101128.81247834473,10771.752750572907,36.42002497883318,-89.85895256833422,35340.0,0.7752,446.17,19.0,59.5,94.38,63061.0
3635.0,158246.15232516133,118069.80249123627,10785.58855761949,36.56809065900382,-89.53416856795216,35386.0,0.7758,446.39,33.0,59.52,94.83,62966.0
3780.0,187022.24837599957,135007.75807913902,10809.799481866265,36.71524419991703,-89.20793376424866,35465.0,0.7735,444.94,54.0,59.54,95.33,62871.0
3926.0,215709.78342516674,151878.8491733098,10849.398842683913,36.860925997680354,-88.88146669418562,35595.0,0.766,440.33,-446.0,59.56,72.96,62798.0
4071.0,244178.41336048464,168607.75596785612,10519.673331067688,37.004492394063895,-88.55626816987234,34513.0,0.7234,417.88,-946.0,59.59,48.69,62749.0
4217.0,271268.49452620465,184507.62893651714,9820.622947017151,37.140112498367564,-88.24568658439352,32220.0,0.6678,389.74,-1216.0,59.63,34.05,62715.0
4362.0,296573.27504741855,199334.1109211206,8922.296074791955,37.26583343103285,-87.95458020937492,29273.0,0.6206,366.86,-1266.0,59.68,29.3,62686.0
4508.0,320404.5330230505,213268.89440524043,7987.500890717826,37.38332744603778,-87.67955125880735,26206.0,0.5789,346.71,-1279.0,59.73,26.29,62660.0
