ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-519054.68114338885,-282334.37077028875,30.479999999669925,32.85129603260333,-96.8634324013407,100.0,0.3,198.38,500.0,56.32,166.99,66133.0
167.0,-504952.77083649626,-272935.4231056086,453.4188492721725,32.94251113512562,-96.71801772792514,1488.0,0.5,329.04,365.0,71.32,171.02,65962.0
333.0,-478300.5394548832,-263922.68150709855,761.7622245594602,33.035920857347264,-96.43768077202651,2499.0,0.6386,418.79,-135.0,86.31,201.0,65761.0
500.0,-442477.50599631766,-261614.4651430651,647.1675908854596,33.072445436334775,-96.05506944729147,2123.0,0.6373,418.5,229.0,71.31,218.6,65542.0
666.0,-408556.2190122061,-250141.52428677745,841.0325098784385,33.18930141502835,-95.69674135741352,2759.0,0.6401,419.37,557.0,56.31,229.67,65313.0
833.0,-378748.5403151456,-230272.27674121765,1312.583990282569,33.379021917745945,-95.38527205751909,4306.0,0.4924,320.86,1057.0,43.37,202.53,65110.0
999.0,-359981.8204182114,-210407.92493612895,2207.067876623576,33.56413010367792,-95.19150011431107,7241.0,0.2924,188.55,1557.0,43.0,267.99,64842.0
1166.0,-349090.6810322363,-198727.31362649018,3524.4791273949227,33.6727910337933,-95.0787313928962,11563.0,0.4918,312.12,1424.0,28.01,209.76,64632.0
1332.0,-336638.70039735985,-175322.753011446,4729.303529796666,33.88718337562231,-94.95336804351987,15516.0,0.6918,432.52,924.0,31.36,201.29,64431.0
1499.0,-317457.91642513406,-143848.73630443195,5511.198872845519,34.17606908300875,-94.75736536630613,18081.0,0.7373,456.4,680.0,34.46,191.09,64240.0
1665.0,-295419.45066916355,-111738.02412349735,6086.149411569755,34.47121790923191,-94.5291283012755,19968.0,0.7022,431.43,207.0,41.65,151.19,64089.0
1832.0,-270888.89801686583,-84154.02228428559,6260.863810159742,34.725954741978555,-94.2705737870272,20541.0,0.5022,307.84,-293.0,34.73,83.05,64006.0
1998.0,-255843.31413240777,-62446.540771495354,6012.651440698985,34.92497389946323,-94.11269580451095,19727.0,0.7022,431.84,-793.0,19.73,101.01,63905.0
2165.0,-243305.1998869282,-27479.097884510902,5341.505374267427,35.24236843440728,-93.98556835513274,17525.0,0.7342,455.47,-1293.0,25.57,99.99,63805.0
2331.0,-226351.34767122872,7946.12773532441,4247.424432584771,35.564775602094784,-93.80882331111259,13935.0,0.6425,404.12,-850.0,40.57,101.41,63703.0
2498.0,-203738.96414161366,34351.84681876048,3528.1561920063355,35.80704986959672,-93.56560345905632,11575.0,0.4425,280.81,-350.0,55.57,77.86,63626.0
