ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-586697.0199813774,-22348.06194712924,30.48000030396147,32.91569215242948,-97.02596673586517,100.0,0.3,198.38,2414.0,82.64,258.12,66042.0
146.0,-572213.903354753,-20478.380434706378,1815.9939125443375,32.94017398328149,-96.87224504763235,5958.0,0.4972,322.06,2079.0,85.82,221.36,65821.0
291.0,-548419.0320650523,-18741.06284569006,3354.2583434626235,32.968023331758616,-96.61870558459066,11005.0,0.5405,343.76,1786.0,85.83,203.51,65617.0
437.0,-522976.7533092113,-16885.519841914436,4675.238899977812,32.997217300727115,-96.3474365511621,15339.0,0.5868,367.12,1593.0,85.84,190.05,65427.0
582.0,-495776.78515162156,-14906.784009881936,5853.564248779203,33.0277362697441,-96.0572278907591,19205.0,0.6321,389.55,1411.0,85.85,177.68,65249.0
728.0,-466886.96503827313,-12812.310148469724,6897.190942525396,33.05935309406281,-95.74876845497742,22629.0,0.6766,411.25,1238.0,85.87,166.51,65083.0
874.0,-436360.3944248652,-10609.520989726252,7813.059636673179,33.09184549896913,-95.42259084921523,25633.0,0.7205,432.56,1073.0,85.9,156.63,64926.0
1019.0,-404224.19754632405,-8303.405466851293,8606.584095282453,33.12502068065742,-95.07895196503758,28237.0,0.7611,451.96,924.0,85.92,148.13,64778.0
1165.0,-370620.1516249322,-5907.99440744991,9290.392375597889,33.15856085184462,-94.71933719668955,30480.0,0.784,461.05,1026.0,85.95,148.86,64629.0
1311.0,-336362.5558076806,-3484.203738389436,10049.368642544277,33.191528594471,-94.35244328609619,32970.0,0.7895,459.27,619.0,85.99,127.24,64502.0
1456.0,-302158.7705345034,-1084.2017300276304,10507.135264393053,33.223193933474015,-93.98584827578502,34472.0,0.7819,451.78,119.0,86.02,102.44,64399.0
1602.0,-268416.74778421404,1262.2031490412865,10595.02023101638,33.25319053135105,-93.62394076535914,34761.0,0.7672,442.71,-24.0,86.06,94.41,64305.0
1747.0,-235324.52337391357,3541.263626098252,10577.147648868871,33.28139470851667,-93.26876013920663,34702.0,0.7756,447.7,31.0,86.1,97.48,64208.0
1893.0,-201867.793165989,5821.990272810946,10600.17598621415,33.308674617607565,-92.90943314923791,34777.0,0.7741,446.66,19.0,86.14,96.59,64111.0
2039.0,-168484.77937307023,8073.780446917752,10614.243818420293,33.3346512275,-92.55067381565851,34824.0,0.7746,446.86,21.0,86.18,96.53,64014.0
2184.0,-135085.83699457612,10302.826618437532,10629.98105731765,33.35939656520018,-92.19153010692548,34875.0,0.7747,446.81,21.0,86.22,96.34,63918.0
2330.0,-101688.4397796024,12508.664280793024,10645.382826049747,33.382901711015556,-91.83220068146031,34926.0,0.7749,446.81,21.0,86.26,96.16,63822.0
2476.0,-68289.46676963038,14692.83663235384,10660.803438885483,33.40517935550097,-91.47266285940016,34976.0,0.7751,446.8,21.0,86.29,95.97,63726.0
2621.0,-34889.475976204405,16857.31964454286,10676.193404896947,33.42624566171471,-91.1129333965435,35027.0,0.7752,446.8,21.0,86.32,95.79,63630.0
2767.0,-1488.5356934348176,19004.748128856987,10691.628380373711,33.446122775322436,-90.75302343606175,35078.0,0.7754,446.78,21.0,86.35,95.6,63535.0
2912.0,31912.487879087064,21138.28074259091,10707.03992909199,33.464837352714056,-90.39295259238627,35128.0,0.7755,446.77,21.0,86.36,95.42,63439.0
3058.0,65313.48237680555,23261.595932848886,10722.340476636686,33.48242169228169,-90.03273197078911,35178.0,0.7757,446.77,21.0,86.37,95.24,63344.0
3204.0,98715.27429150154,25378.65180868581,10737.736637602879,33.49891032989931,-89.67236172653205,35229.0,0.7758,446.75,21.0,86.38,95.06,63249.0
3349.0,132116.52099712627,27493.336615144777,10753.088475367838,33.51433728666125,-89.31186494947795,35279.0,0.776,446.74,20.0,86.37,94.83,63154.0
3495.0,165517.52307195961,29609.423034452982,10768.137427351512,33.52873551144748,-88.95124650013439,35329.0,0.7762,446.77,22.0,86.37,94.74,63059.0
3641.0,198921.12824138338,31730.392982509133,10784.742557086414,33.54213488133004,-88.59048329283559,35383.0,0.7761,446.57,11.0,86.35,94.06,62965.0
3786.0,232311.84434064632,33857.9253287027,10792.556335639538,33.55455272779422,-88.22975006689046,35409.0,0.7781,447.7,84.0,86.34,97.18,62868.0
3932.0,265774.9603402837,35999.227206043426,10854.701850041534,33.56603309067446,-87.86813241395365,35613.0,0.7642,439.26,-399.0,86.32,74.88,62793.0
4077.0,298688.9549541463,38115.15601114856,10559.411851415183,33.57638988988858,-87.51235610212605,34644.0,0.7354,424.56,-899.0,86.31,51.87,62741.0
4223.0,330577.63752704486,40174.48222449645,9894.240197622585,33.58553952738376,-87.16758179750381,32461.0,0.677,394.7,-1191.0,86.29,35.83,62705.0
4369.0,360259.420532215,42099.29798537293,9013.264843894156,33.59327114698224,-86.84660247644854,29571.0,0.6291,371.44,-1259.0,86.28,30.31,62675.0
4514.0,388193.6995990481,43917.68629003135,8082.143102275861,33.599854599332694,-86.54446789828692,26516.0,0.5868,350.97,-1281.0,86.26,26.92,62648.0
4660.0,414584.48029920174,45640.85593400755,7134.441008229946,33.605448734240056,-86.25898515763213,23407.0,0.5489,332.6,-1282.0,86.25,24.56,62624.0
4806.0,439587.642517294,47278.08647447214,6185.79242197067,33.61018740138655,-85.98847849888915,20295.0,0.5152,316.13,-1273.0,86.25,22.78,62601.0
4951.0,463346.32426442934,48836.91892900622,5243.995489127788,33.61417396016968,-85.73140826859336,17205.0,0.485,301.25,-1258.0,86.24,21.39,62580.0
5097.0,485980.0688448489,50324.21503659986,4313.556806024201,33.61749895823366,-85.4864880147398,14152.0,0.4579,287.77,-1239.0,86.23,20.3,62559.0
5242.0,507595.4185510474,51747.19879019858,3396.780727311704,33.620248406719455,-85.25256996621765,11144.0,0.4335,275.56,-1219.0,86.23,20.43,62539.0
