ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-586697.0201813347,-22348.062146801167,30.480000298143572,32.91569215053163,-97.0259667378755,100.0,0.1746,115.42,1195.0,82.64,237.97,66062.0
130.0,-579095.6212828688,-21366.768178635415,821.9646611779895,32.92856458962346,-96.94529715981146,2697.0,0.231,151.38,1695.0,97.64,233.33,65829.0
261.0,-569162.0520200928,-22699.980673125556,1944.5166336533032,32.92185747547358,-96.8382155055288,6380.0,0.3597,232.67,2195.0,106.5,215.2,65614.0
391.0,-554397.0555990152,-27073.06093683749,3398.1359177218756,32.89027170725008,-96.67763571815449,11149.0,0.5597,355.77,1695.0,91.5,179.2,65434.0
521.0,-530740.3648057113,-27691.779842785367,4520.687890181347,32.89652151633413,-96.42429085195165,14832.0,0.6517,408.5,1195.0,85.93,162.98,65271.0
652.0,-503566.32916273037,-25756.087588105012,5312.172551030088,32.92680931580576,-96.13469089742563,17428.0,0.7301,453.06,695.0,85.61,151.62,65120.0
782.0,-473369.3684313245,-23438.86582084486,5772.589900303895,32.96117523024084,-95.81273125966588,18939.0,0.7421,457.83,703.0,85.6,148.91,64971.0
912.0,-442856.8497592539,-21092.27604600715,6238.175036741473,32.99510875480555,-95.48715850364985,20466.0,0.7541,462.38,711.0,85.61,146.09,64825.0
1043.0,-412042.9387172656,-18724.557328103907,6709.135989822091,33.02850267025447,-95.15811815708028,22012.0,0.7658,466.63,720.0,85.61,143.18,64682.0
1173.0,-380948.1547686403,-16339.55971843971,7185.691953227914,33.06128814449458,-94.82582744173061,23575.0,0.777,470.44,728.0,85.62,140.11,64541.0
1303.0,-349601.3651112847,-13938.003819093774,7667.572281220113,33.093423786694935,-94.49059562358389,25156.0,0.7874,473.65,733.0,85.62,136.81,64405.0
1434.0,-318042.74903860304,-11521.912868773263,8153.162453411908,33.12485625962061,-94.15285394111935,26749.0,0.7966,476.0,552.0,85.63,126.95,64278.0
1564.0,-286300.7273238924,-9093.735155141894,8518.80094812459,33.15553598742312,-93.81290862135474,27949.0,0.8025,477.09,83.0,85.63,107.47,64170.0
1694.0,-254415.74850930207,-6656.51249488156,8573.87967800545,33.185408411691895,-93.47119608712855,28130.0,0.8038,477.52,41.0,85.63,105.54,64065.0
1825.0,-222495.40675435952,-4218.745816888646,8601.173373175761,33.21436073935537,-93.12887441395807,28219.0,0.8048,477.93,38.0,85.64,105.25,63959.0
1955.0,-190546.73078918023,-1781.6655435116277,8626.331084933772,33.2423759012628,-92.78602528667231,28302.0,0.8058,478.35,38.0,85.64,105.08,63854.0
2085.0,-158570.20928997314,654.173019574777,8651.351761402419,33.26944472285507,-92.44266055417138,28384.0,0.8068,478.76,37.0,85.65,104.88,63749.0
2216.0,-126565.80109603917,3088.363289741319,8676.172292971698,33.29555952845839,-92.09878655922456,28465.0,0.8077,479.17,38.0,85.66,104.75,63645.0
2346.0,-94533.5338872572,5520.3958560846,8701.06775637051,33.32071175071264,-91.75441051752351,28547.0,0.8087,479.58,37.0,85.67,104.54,63540.0
2476.0,-62473.28799764447,7949.36838277003,8725.834048781991,33.344889345671,-91.40953818787905,28628.0,0.8097,480.0,37.0,85.68,104.38,63436.0
2607.0,-30384.881245500277,10373.873828137861,8750.139392935558,33.36807576277122,-91.06417484122689,28708.0,0.8107,480.41,38.0,85.69,104.25,63332.0
2737.0,1731.5918197889182,12791.671031587752,8775.117230059957,33.39024686750964,-90.71832889569478,28790.0,0.8116,480.82,37.0,85.72,104.04,63227.0
2868.0,33876.765398903124,15198.783014898368,8799.379469491409,33.4113626021146,-90.37200165773856,28869.0,0.8126,481.23,37.0,85.75,103.88,63124.0
2998.0,66050.89700149075,17588.60916324617,8823.901049488148,33.43136029822427,-90.02519930206473,28950.0,0.8136,481.65,37.0,85.79,103.72,63020.0
3128.0,98254.22255890796,19958.697005448746,8848.456264165661,33.450214185101736,-89.67792862786762,29030.0,0.8146,482.06,37.0,85.83,103.55,62916.0
3259.0,130486.70730144216,22310.65900822664,8872.669657749106,33.46793505883868,-89.33019927133654,29110.0,0.8156,482.47,37.0,85.85,103.39,62813.0
3389.0,162747.88391648233,24649.132201547025,8897.094777339134,33.48456104271958,-88.98202484112319,29190.0,0.8165,482.89,37.0,85.87,103.23,62710.0
3519.0,195037.4700500957,26979.267460365674,8921.386919301993,33.50013495371526,-88.6334162540606,29270.0,0.8175,483.3,36.0,85.88,103.03,62607.0
