ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1064797.0649904183,-369559.66865044076,30.480000302662024,32.91567177460146,-97.02594236679163,100.0,0.3,198.38,2414.0,60.39,457.21,65843.0
258.0,-1042490.4863176709,-356882.4553070346,3193.2196646969255,33.05142436376841,-96.80356867211982,10476.0,0.5,318.61,1950.0,67.12,373.41,65469.0
516.0,-1004222.5039614624,-340731.380998856,5748.940937707671,33.2335864706,-96.4140945614755,18861.0,0.6222,383.98,1450.0,67.12,317.76,65152.0
774.0,-957893.9812448077,-321178.2480283974,7649.4786391164425,33.45250969307096,-95.94042985125775,25097.0,0.7245,435.95,1051.0,67.12,279.02,64873.0
1032.0,-905115.6851298843,-298900.28009707254,9026.65619831801,33.699758517641804,-95.39793516943617,29615.0,0.782,461.61,843.0,67.12,254.28,64618.0
1290.0,-849134.8968863708,-275272.29140359676,10131.60257537274,33.959422970733,-94.81913810859498,33240.0,0.7848,455.95,343.0,67.12,203.13,64415.0
1548.0,-793576.0245841433,-251826.17088367415,10581.365380871124,34.21443822535786,-94.24123753639635,34716.0,0.77,444.39,7.0,67.12,170.21,64245.0
1806.0,-739249.6988396611,-228896.91666747606,10590.237853354607,34.461224221614,-93.67280824196075,34745.0,0.7747,447.08,23.0,67.11,171.68,64073.0
2064.0,-684602.9081412099,-205828.473305239,10619.728406669441,34.706866281803514,-93.09766908355198,34842.0,0.7746,446.79,21.0,67.12,170.86,63902.0
2322.0,-629987.8107221057,-182782.74587395773,10647.643267304042,34.949601707021195,-92.51947445814314,34933.0,0.7747,446.7,21.0,67.13,170.26,63732.0
2579.0,-575380.6698863716,-159747.2203815956,10675.021194432233,35.18952060070692,-91.93796714665461,35023.0,0.775,446.67,21.0,67.12,169.68,63562.0
2837.0,-520779.8281027972,-136703.68573233363,10702.372997535385,35.426747525162405,-91.35313187472192,35113.0,0.7752,446.64,21.0,67.12,169.1,63393.0
3095.0,-466181.7726997782,-113662.3338856792,10730.156202750415,35.66115294542698,-90.76491298068888,35204.0,0.7754,446.53,22.0,67.13,168.58,63225.0
3353.0,-411590.1872792615,-90638.60134381638,10758.467147313875,35.89255604822744,-90.17333542604804,35297.0,0.7754,446.33,21.0,67.13,167.88,63057.0
3611.0,-357019.46053809393,-67625.75838020578,10785.495195631309,36.12097152873939,-89.57855955447312,35385.0,0.7757,446.33,21.0,67.13,167.32,62890.0
3869.0,-302449.02542069537,-44607.85340652493,10813.51086240839,36.34651119763369,-88.98036127321521,35477.0,0.7757,446.17,21.0,67.14,166.71,62723.0
4127.0,-247892.27712458206,-21601.572173699253,10840.949236773997,36.56898025869491,-88.37888065506631,35567.0,0.7759,446.11,22.0,67.15,166.21,62557.0
4385.0,-193334.49487725442,1391.53385307882,10869.484627662965,36.78832844518395,-87.77395412383119,35661.0,0.7759,445.89,21.0,67.15,165.52,62391.0
