ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1064797.0651718017,-369559.6688467656,30.480000304847895,32.91567177266672,-97.02594236848536,100.0,0.2597,171.74,2152.0,60.39,429.99,65870.0
240.0,-1046801.3964929201,-359332.41999118385,2650.3705174990573,33.02521867613446,-96.84659627736508,8695.0,0.4597,294.86,1652.0,75.39,330.35,65540.0
479.0,-1012098.8412789006,-350286.4092651156,4661.418032196092,33.14071559970985,-96.48721681761727,15293.0,0.6597,412.81,1152.0,64.63,297.11,65243.0
719.0,-966528.1864069877,-328681.16864153824,6063.622544885141,33.377458616292365,-96.02460609017615,19894.0,0.749,460.3,708.0,64.21,270.76,64972.0
959.0,-915716.8845752517,-304125.31964204623,6925.490641093775,33.64359207423158,-95.50635374334348,22721.0,0.7701,467.92,723.0,64.19,260.87,64711.0
1199.0,-864086.3390977274,-279151.73250701267,7806.216023945178,33.91203392139692,-94.97652626266523,25611.0,0.7891,473.78,522.0,64.16,236.4,64475.0
1438.0,-811737.3071889916,-253800.82926353728,8442.236177844692,34.182199689141186,-94.43598888996412,27698.0,0.8002,476.25,54.0,64.13,196.72,64278.0
1678.0,-758919.1633730658,-228187.00990644758,8507.497682536157,34.45274296785003,-93.88717489652008,27912.0,0.8022,477.03,39.0,64.09,194.87,64083.0
1918.0,-706023.7098608153,-202495.46935193325,8555.058728728083,34.721623853021285,-93.33407261121724,28068.0,0.804,477.79,39.0,64.06,194.28,63889.0
2157.0,-653060.5178999732,-176728.01216970294,8602.346622145764,34.9887692757234,-92.77673673088877,28223.0,0.8059,478.56,37.0,64.02,193.57,63695.0
2397.0,-600030.1220771279,-150882.2971957501,8647.856496267916,35.254149915778,-92.21512820989997,28372.0,0.8077,479.32,38.0,63.97,193.08,63502.0
2637.0,-546938.7297579312,-124948.24521879537,8693.927655797692,35.517801994593775,-91.64927596190886,28523.0,0.8095,480.08,37.0,63.84,192.44,63310.0
2876.0,-493820.3071914297,-98854.50089188607,8738.395609391318,35.78029789057755,-91.07955357469265,28669.0,0.8113,480.84,40.0,63.46,192.09,63117.0
3116.0,-440793.35931080667,-72369.16552292745,8787.4791732666,36.043619676179134,-90.50735269521472,28830.0,0.8131,481.6,36.0,62.92,191.21,62926.0
3356.0,-387933.58065280115,-45339.38512351074,8831.166797934615,36.30908506602227,-89.93350955019281,28974.0,0.8149,482.36,39.0,62.64,190.87,62735.0
3596.0,-335122.2362635524,-18013.962770869854,8878.819458282524,36.5744896540401,-89.3564807422892,29130.0,0.8167,483.13,34.0,62.58,189.96,62545.0
3835.0,-282256.07989981817,9415.559379866858,8920.672437410602,36.83810884411924,-88.7749601003381,29267.0,0.8185,483.89,16.0,62.54,188.3,62357.0
4075.0,-229314.974550548,36925.19652799211,8939.98416196541,37.099678165551126,-88.18866243147,29331.0,0.82,484.64,-76.0,62.46,182.26,62175.0
4315.0,-176287.61807570382,64572.50795648886,8847.42567443562,37.359659003910046,-87.59742583015336,29027.0,0.82,485.28,-66.0,62.35,184.42,61990.0
4554.0,-123250.37196722422,92358.17638076266,8767.24824233681,37.6179866176921,-87.00205707497543,28764.0,0.82,485.82,-356.0,62.4,167.34,61823.0
4794.0,-69998.37751984686,120196.1977552639,8333.553134000884,37.87385409886019,-86.40016348660811,27341.0,0.8135,484.89,-153.0,62.06,186.55,61637.0
