ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1064797.0650920358,-369559.6687505924,30.47999999998365,32.91567177360505,-97.02594236775231,100.0,0.3,198.38,500.0,60.39,295.98,66004.0
295.0,-1038729.7962618056,-354745.189927108,780.1393693768243,33.07427372871325,-96.76601237585794,2560.0,0.5,327.82,0.0,45.39,252.88,65751.0
590.0,-1003296.1055879903,-319790.240874561,780.1568413091363,33.420971866153025,-96.42824276082267,2560.0,0.6391,419.0,44.0,60.39,370.27,65381.0
885.0,-948006.8270437709,-288368.26927081397,846.7361421277462,33.754251892589416,-95.87047986841023,2778.0,0.6403,419.5,353.0,71.15,392.29,64989.0
1181.0,-887913.7283155543,-267853.5346858277,1375.841658226126,33.992066471995436,-95.24517041096824,4514.0,0.535,348.38,853.0,73.73,352.77,64636.0
1476.0,-837531.5732623345,-253148.91885738177,2654.495761886465,34.1667355308692,-94.71575609265665,8709.0,0.4329,277.62,1353.0,76.77,372.91,64263.0
1771.0,-797049.0835498255,-243633.52146353983,4682.607773867543,34.28487802183533,-94.28660430969447,15363.0,0.5007,313.19,1237.0,66.19,341.88,63921.0
2066.0,-754088.0689875265,-224680.30900612008,6537.856203572566,34.487775433732295,-93.83785417172327,21450.0,0.4051,247.4,747.0,59.1,314.59,63606.0
2361.0,-722110.6869571694,-205541.14968022887,7657.8600326326305,34.68275768459298,-93.50681909743818,25124.0,0.6008,361.49,247.0,64.66,215.32,63391.0
2656.0,-672631.0624679183,-182110.69096188192,8028.2948412816195,34.92739235458787,-92.9864922929791,26340.0,0.7997,478.7,-253.0,79.66,225.4,63166.0
2951.0,-600943.1086695234,-169031.85430056203,7649.1201062061555,35.090979263519806,-92.21170909844766,25096.0,0.7932,477.28,-500.0,86.83,211.98,62954.0
3247.0,-528221.8328737053,-165004.20764138288,6899.547841252697,35.16896975918124,-91.41658302907159,22636.0,0.6085,369.88,-465.0,72.75,147.45,62806.0
3542.0,-474342.0723857925,-148278.48016791898,6201.859390269717,35.346621013689244,-90.83457667366893,20347.0,0.5562,341.21,-350.0,57.95,150.01,62656.0
3837.0,-430280.7495361654,-120696.0526402268,5677.398173982657,35.61462095409883,-90.36422949491737,18627.0,0.6251,386.11,-337.0,43.05,185.86,62470.0
4132.0,-390133.7857013736,-77715.65339711717,5171.4511464743455,36.017500227566295,-89.94181546564455,16967.0,0.4291,266.76,120.0,58.05,196.08,62274.0
4427.0,-355807.3073608506,-56305.76073420167,5351.1933761892715,36.22308591684098,-89.57025113638662,17556.0,0.6291,390.2,-225.0,73.05,204.84,62069.0
4722.0,-299014.7831513207,-38994.114225998164,5013.919106996479,36.39802826796716,-88.9442145752119,16450.0,0.6895,429.51,275.0,80.48,290.51,61779.0
5017.0,-234869.6825561483,-28234.930249015346,5426.1880514854865,36.5126644333219,-88.23108164685055,17802.0,0.4895,303.32,500.0,65.48,241.47,61538.0
5313.0,-193178.03478889726,-9215.95125107748,6175.79873952962,36.693003965470545,-87.76950180722446,20262.0,0.6895,423.11,257.0,64.19,259.41,61278.0
5608.0,-135493.2937248894,18688.305243934577,6560.64409986639,36.9538917433351,-87.12760187733144,21524.0,0.7205,439.93,500.0,61.63,283.99,60994.0
5903.0,-77017.3741038037,50271.27982289562,7310.248853240244,37.244488845349416,-86.47279094399305,23984.0,0.5236,316.48,500.0,76.2,232.85,60761.0
6198.0,-30594.492777023923,61674.17513390332,8059.871948430599,37.34969916919107,-85.94882015775785,26443.0,0.6899,412.8,70.0,79.82,205.6,60556.0
6493.0,31050.927026901707,72744.44428919925,8164.836790252422,37.449240397221615,-85.25097150372535,26788.0,0.8159,487.48,-430.0,86.69,212.61,60343.0
6788.0,105269.09432511221,77041.69047761476,7520.178085092227,37.48246654128788,-84.40968759101334,24673.0,0.626,377.36,70.0,71.69,194.25,60149.0
7083.0,159624.01042869416,95032.30819880245,7625.108466918849,37.6365023791043,-83.7898944203044,25017.0,0.426,256.44,500.0,56.69,256.47,59892.0
7379.0,191989.30388921162,116303.4270928142,8374.668860715421,37.82160349618812,-83.41684892448635,27476.0,0.5128,305.49,-0.0,41.69,170.96,59721.0
7674.0,222837.08931634278,150942.90002691708,8374.647838193523,38.12604394951714,-83.05510167012179,27476.0,0.7128,424.64,-500.0,41.95,156.25,59565.0
7969.0,266160.84648249816,199137.54813549094,7625.1021272989665,38.54761114652425,-82.54207256223167,25017.0,0.8071,485.79,-258.0,56.95,235.36,59330.0
8264.0,328149.558943303,239465.1930757142,7237.707354167141,38.88964766032296,-81.81103411236698,23746.0,0.6091,368.53,242.0,71.95,207.73,59122.0
8559.0,381220.4810039675,256756.72475931502,7599.819085663949,39.02411372346773,-81.18914246496723,24934.0,0.4165,250.76,500.0,85.99,254.91,58867.0
8854.0,418998.59689880087,259405.0421596567,8349.386754453932,39.03115205062257,-80.75091379286859,27393.0,0.6165,367.37,134.0,70.99,186.73,58680.0
9149.0,471661.59437524097,277548.6061803143,8550.169013587629,39.167929576317015,-80.1299879635109,28052.0,0.5207,309.42,500.0,55.99,224.31,58456.0
9444.0,510395.23857556254,303684.55843965634,9299.688397716833,39.381123883021395,-79.66219925227288,30511.0,0.6874,404.19,296.0,50.77,203.61,58252.0
9740.0,557780.2672740675,342372.59267352,9744.022723276094,39.699512672743936,-79.08045677291311,31969.0,0.7334,428.5,-0.0,65.77,181.74,58071.0
10035.0,617109.1487870313,369073.7873522411,9743.951527872305,39.899385293597206,-78.36472319182576,31968.0,0.82,479.11,-500.0,80.77,168.48,57902.0
10330.0,689295.50467883,380804.64388400863,8994.297025018623,39.951098199419356,-77.50999000887289,29509.0,0.82,484.27,-1000.0,65.77,148.81,57753.0
10625.0,757038.8897241692,411292.8304529691,7494.987744143557,40.16803204556911,-76.68441142379207,24590.0,0.81,488.43,-1500.0,61.17,149.4,57604.0
10920.0,822962.0138954963,447573.3965577727,5246.022557211191,40.432471412596044,-75.86765563807423,17211.0,0.7,434.78,-1660.0,76.17,127.94,57476.0
11215.0,888027.5483723761,463586.38766387623,2757.855702996348,40.511548537859824,-75.08253580135668,9048.0,0.5,320.29,-1160.0,75.39,79.38,57397.0
