ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-795747.60578877,-143820.32779940695,30.480000303496677,32.91568281861124,-97.02595814124902,100.0,0.3,198.38,2414.0,72.48,338.21,65962.0
191.0,-777560.0281319439,-138078.0977501058,2370.0538845823417,32.98047478263408,-96.83671351014037,7776.0,0.5,321.78,2018.0,76.87,283.95,65678.0
382.0,-747220.1908030849,-131002.24377711768,4325.803622121646,33.06554103595491,-96.51833276606905,14192.0,0.581,365.1,1612.0,76.88,252.49,65425.0
572.0,-712693.1139888798,-122957.15975815273,5888.314790174117,33.16130267332261,-96.1552629431179,19319.0,0.6415,395.17,1370.0,76.9,231.22,65194.0
763.0,-675262.8843726894,-114245.7638603571,7216.0227285980145,33.263840933467286,-95.76076869563235,23675.0,0.701,424.28,1141.0,76.92,212.65,64981.0
954.0,-635013.9146952471,-104895.35239501669,8322.38347685946,33.37256490811705,-95.33552962723824,27304.0,0.7584,452.14,929.0,76.95,197.16,64784.0
1145.0,-592058.337933256,-94937.38140802221,9222.809483462323,33.48681746677369,-94.88051835080311,30259.0,0.7917,466.06,954.0,76.98,192.94,64591.0
1336.0,-547789.4703518653,-84698.11154838066,10147.436365430098,33.60262289535309,-94.41033722970722,33292.0,0.7871,457.22,454.0,77.01,156.52,64435.0
1526.0,-504198.99387399683,-74645.70688808174,10587.404206142735,33.714654220655305,-93.94612195392375,34736.0,0.7675,442.9,-0.0,77.06,125.24,64310.0
1717.0,-461826.29301984404,-64908.762882986906,10587.404204294866,33.821587379942414,-93.49370714297994,34736.0,0.7728,446.02,15.0,77.11,126.46,64183.0
1908.0,-419151.1369369932,-55143.70173342816,10601.825460371698,33.92724938415261,-93.03691062282293,34783.0,0.7745,446.85,22.0,77.17,126.73,64056.0
2099.0,-376388.3296524155,-45405.352404800266,10623.281279971918,34.031023296820884,-92.57803004053335,34853.0,0.7744,446.67,21.0,77.23,126.32,63930.0
2290.0,-333631.5722836623,-35715.12809834772,10643.725744727637,34.13266505882426,-92.11808537644765,34920.0,0.7746,446.63,21.0,77.29,126.0,63804.0
2481.0,-290867.55547850166,-26073.259558954138,10664.251580007065,34.232166061965025,-91.65695060164894,34988.0,0.7747,446.57,21.0,77.36,125.67,63678.0
2671.0,-248096.9812588262,-16484.890646428565,10684.778878753417,34.32946820796285,-91.19465061159156,35055.0,0.7748,446.51,21.0,77.44,125.35,63553.0
2862.0,-205319.4157105082,-6955.176855665024,10705.393885250714,34.424513794412825,-90.73119951680772,35123.0,0.7749,446.42,21.0,77.52,125.02,63428.0
3053.0,-162536.59760151803,2515.5118567703444,10725.759357577159,34.51728791314043,-90.2666376101194,35189.0,0.775,446.37,21.0,77.58,124.7,63303.0
3244.0,-119747.12585492151,11935.4718790647,10746.018792716055,34.607854460964504,-89.80097283230732,35256.0,0.7752,446.33,21.0,77.64,124.38,63179.0
3435.0,-76952.2787879185,21316.54486715667,10766.279265303938,34.69630904055145,-89.33424156232425,35322.0,0.7754,446.28,21.0,77.67,124.06,63055.0
3625.0,-34154.81630562147,30670.818313665546,10786.678831920528,34.782749843992,-88.86649454703901,35389.0,0.7755,446.22,21.0,77.69,123.74,62931.0
3816.0,8640.888220815641,40008.961105523485,10807.260536592032,34.86726272067792,-88.39779828498138,35457.0,0.7756,446.12,21.0,77.7,123.41,62808.0
4007.0,51430.40313860212,49339.66316610072,10827.974734697485,34.94991677790417,-87.92821901209271,35525.0,0.7756,446.01,21.0,77.7,123.08,62685.0
4198.0,94210.48554909391,58670.648596587416,10848.715191980542,35.030773796507084,-87.45780857783919,35593.0,0.7756,445.89,21.0,77.68,122.75,62562.0
4389.0,136980.0733979949,68008.70422797692,10869.265249104112,35.109887219531856,-86.98659376797598,35660.0,0.7757,445.82,21.0,77.66,122.44,62439.0
4579.0,179741.4552221216,77362.29757111084,10889.910456944093,35.18732523508669,-86.51456317119516,35728.0,0.7758,445.73,21.0,77.63,122.11,62317.0
4770.0,222493.42240855622,86737.00885982906,10910.608373890525,35.26313054332287,-86.04174315087349,35796.0,0.7759,445.66,21.0,77.6,121.79,62196.0
4961.0,265236.30913239747,96136.04346200929,10931.402426631317,35.33732439275569,-85.56814302913833,35864.0,0.7761,445.58,22.0,77.57,121.53,62074.0
5152.0,307970.8434207315,105558.79037799298,10952.834377261202,35.40989366372888,-85.09376884057188,35934.0,0.776,445.42,19.0,77.54,121.03,61953.0
5343.0,350690.65074355056,115001.57933329063,10971.365749958268,35.4808002291829,-84.618706724564,35995.0,0.7768,445.76,49.0,77.5,122.45,61831.0
5534.0,393437.6354008404,124477.96665300896,11019.144817239116,35.55014306748061,-84.14250265296073,36152.0,0.7686,440.85,-260.0,77.46,104.04,61727.0
5724.0,435768.52918556804,133894.34199586997,10767.467982591612,35.61726207136494,-83.67011717733457,35326.0,0.7587,436.66,-500.0,77.41,90.91,61636.0
5915.0,477750.1708822677,143269.14391699695,10282.80894133676,35.6823370316311,-83.2008368307185,33736.0,0.736,426.68,-500.0,77.37,90.71,61545.0
