ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-795747.6059868502,-143820.32799837203,30.480000190399743,32.91568281668449,-97.02595814318873,100.0,0.2418,159.92,2000.0,72.48,314.26,65986.0
174.0,-782307.6167578232,-139577.0191047382,1802.0960513007653,32.96358886406864,-96.8861394382014,5912.0,0.4135,267.88,1819.0,87.48,257.15,65729.0
349.0,-758580.8110210339,-138531.92085703963,3413.937725835747,32.99013304716831,-96.63351805352525,11201.0,0.6135,389.86,1319.0,74.76,229.41,65499.0
523.0,-725095.3974481922,-129409.33220283106,4582.81586222706,33.0951479487044,-96.28289593477515,15035.0,0.6968,436.43,819.0,72.61,210.6,65289.0
698.0,-687907.5210475539,-117761.79704936991,5308.730460613193,33.224208561651444,-95.89369852207786,17417.0,0.7299,452.98,695.0,72.53,202.9,65086.0
872.0,-649299.3599922529,-105612.30850517876,5924.665435913228,33.35744442940894,-95.48847702548724,19438.0,0.746,459.31,706.0,72.52,198.05,64888.0
1046.0,-610159.0179049257,-93288.62311728892,6549.896608832366,33.491251053321996,-95.07642251451637,21489.0,0.7618,465.19,717.0,72.52,192.92,64695.0
1221.0,-570522.8734041255,-80808.20494176963,7184.946837802535,33.62538646674381,-94.65786595434261,23573.0,0.7768,470.38,728.0,72.52,187.49,64507.0
1395.0,-530450.3345791306,-68189.68121937664,7829.671808823056,33.75959005355818,-94.23339192143011,25688.0,0.7905,474.48,681.0,72.52,179.08,64328.0
1570.0,-490019.5769635925,-55458.213868680374,8433.383686688325,33.893540892354295,-93.80379218964426,27669.0,0.801,476.78,181.0,72.52,149.39,64179.0
1744.0,-449265.4488028479,-42625.15426592785,8594.13208015437,34.02707099728381,-93.36940671217103,28196.0,0.8039,477.44,11.0,72.52,139.54,64039.0
1918.0,-408411.3321623812,-29761.087179433456,8604.025845255137,34.15941062743657,-92.93259942772845,28228.0,0.8049,477.98,36.0,72.52,140.7,63898.0
2093.0,-367517.18083389057,-16884.888377049887,8636.01934299517,34.2903453788423,-92.49400901699406,28333.0,0.8062,478.53,36.0,72.52,140.42,63758.0
2267.0,-326575.8684505371,-3994.148182170942,8668.150144165536,34.41988222261816,-92.05355984541782,28439.0,0.8075,479.09,37.0,72.52,140.18,63618.0
2442.0,-285587.48611675476,8911.148989195715,8700.760997941805,34.548003486636226,-91.6112537179214,28546.0,0.8088,479.64,-3.0,72.53,137.98,63480.0
2616.0,-244540.8381732481,21831.764051020047,8697.886014380007,34.674700850485856,-91.16696973636174,28536.0,0.8097,480.17,-500.0,72.56,114.28,63366.0
2790.0,-203317.13641274953,34783.9803088958,8254.922495567536,34.800125085223776,-90.71941223394596,27083.0,0.8039,479.69,-422.0,72.93,122.81,63243.0
2965.0,-162071.75072010382,47447.608896648664,7880.728927465802,34.92133937779095,-90.27021590039516,25855.0,0.7976,478.41,78.0,66.25,150.43,63092.0
3139.0,-122803.83243911972,64726.360336492,7949.498890882685,35.082182258338996,-89.84211065916516,26081.0,0.7997,479.2,500.0,66.61,169.25,62923.0
3314.0,-83467.15813993526,81741.20610940606,8392.46242385016,35.23917407896605,-89.41155286420779,27534.0,0.8086,481.58,500.0,67.49,164.78,62758.0
3488.0,-43679.28937027827,98232.57295017215,8835.425874046214,35.38997390277757,-88.97434211647203,28988.0,0.816,483.01,96.0,67.42,141.55,62617.0
3662.0,-3690.2344563186884,114859.76036649098,8920.217355929768,35.54044189085964,-88.53329294892534,29266.0,0.818,483.59,18.0,67.43,137.06,62480.0
3837.0,36368.348534874225,131510.68056197668,8936.021797991572,35.689536272537296,-88.08983779097157,29318.0,0.8191,484.14,-431.0,67.42,115.98,62364.0
4011.0,76580.13860013244,148234.62092834056,8554.054356217635,35.837670817081545,-87.64303846034328,28064.0,0.8144,483.96,-500.0,67.14,116.95,62247.0
4185.0,116712.11256981613,165150.3165593996,8111.090831500382,35.98590689796599,-87.19544959049738,26611.0,0.807,482.5,0.0,72.28,144.81,62102.0
4360.0,157946.5316858844,178325.72693292808,8111.0908393623085,36.09869951376706,-86.73467040434781,26611.0,0.8077,482.92,500.0,87.28,167.49,61935.0
4534.0,201088.52354132122,180375.31323873127,8554.054377748529,36.10935705317026,-86.25415619984483,28064.0,0.8168,485.4,157.0,88.21,147.58,61787.0
4709.0,244573.11176868688,181735.45667885436,8692.894934096288,36.111861967544726,-85.76992456096065,28520.0,0.82,486.33,-54.0,88.03,136.56,61650.0
4883.0,288193.88437079644,183236.95782900252,8645.251634974147,36.11369766392974,-85.28410772351285,28364.0,0.82,486.66,-51.0,88.03,137.26,61513.0
5057.0,331842.87409823894,184740.64397639176,8600.464360944312,36.1136309003441,-84.7979653856896,28217.0,0.82,486.96,-48.0,88.04,137.93,61375.0
5232.0,375518.7352576629,186237.99302100067,8558.118356467363,36.111581941435325,-84.3115397502949,28078.0,0.82,487.25,-45.0,88.05,138.57,61237.0
5406.0,419220.1697508154,187725.6849253678,8517.890661690488,36.10751830018364,-83.82487168939885,27946.0,0.82,487.53,-43.0,88.06,139.13,61098.0
5581.0,462945.94541395927,189203.70138949872,8479.523962257661,36.10143760551471,-83.33800019915543,27820.0,0.82,487.79,208.0,88.08,150.8,60947.0
5755.0,506627.015718478,190671.5581872018,8664.050579606988,36.093368232377095,-82.8517180238182,28425.0,0.82,486.53,-292.0,88.08,125.46,60821.0
5929.0,550330.2795006905,192139.75807732408,8405.613663041922,36.08337437500304,-82.36529944697486,27577.0,0.8199,488.26,-792.0,88.02,106.72,60715.0
6104.0,594316.1637960688,193658.18973303642,7704.213209264128,36.071746205232905,-81.87584004054757,25276.0,0.8048,483.87,-1292.0,87.71,90.83,60624.0
