ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-795747.6058747834,-143820.32792224307,30.479999999934687,32.91568281744883,-97.0259581420593,100.0,0.3,198.38,500.0,72.48,208.05,66092.0
207.0,-775624.3947396571,-137466.97445620206,557.430841386359,32.9873538302462,-96.81655675215148,1829.0,0.5,328.65,500.0,87.48,222.36,65870.0
415.0,-740691.8409238257,-135928.29420340955,1084.3828025625432,33.02604788935127,-96.44444287884117,3558.0,0.6429,420.05,0.0,87.61,252.99,65617.0
622.0,-695900.0381225429,-134059.04123426203,1084.3887301081763,33.07308986187925,-95.96675060579592,3558.0,0.6432,420.23,36.0,72.61,255.04,65362.0
830.0,-653109.1577234148,-120657.65746254515,1122.2410334207418,33.22033713482197,-95.51838611741995,3682.0,0.644,420.56,97.0,57.61,257.86,65104.0
1037.0,-615229.7027882371,-96628.21239652684,1224.3220135152987,33.45837330454745,-95.12866530235242,4017.0,0.4716,307.63,597.0,48.77,211.22,64892.0
1245.0,-590632.4395095271,-75072.25180794891,1853.2939218792405,33.665670068426074,-94.87847676881734,6080.0,0.4343,281.23,1094.0,63.45,243.97,64649.0
1452.0,-563985.4327347579,-61758.77714165833,3006.77004216269,33.799709791978636,-94.59963714612138,9865.0,0.6343,405.11,734.0,72.61,250.07,64398.0
1660.0,-522924.6557398083,-48901.27945013661,3780.196249465174,33.93638246154357,-94.16367612314762,12402.0,0.6916,437.57,423.0,82.62,240.71,64158.0
1867.0,-476741.0629069946,-42917.20996510066,4226.140916587033,34.01222678371606,-93.66700184901511,13865.0,0.4916,309.33,837.0,97.62,209.76,63948.0
2075.0,-444211.29771123076,-47267.45706261748,5107.902427713154,33.9875720658968,-93.31224558319595,16758.0,0.6916,430.35,337.0,101.36,209.31,63739.0
2282.0,-399285.11100288725,-56294.09614744471,5462.955582879517,33.924716923009804,-92.82126221634888,17923.0,0.5201,322.13,434.0,101.61,170.42,63568.0
2490.0,-365710.7138097574,-63193.130574520954,5919.89379043019,33.87507028105969,-92.45475859531804,19422.0,0.7201,443.38,-65.0,90.19,180.3,63388.0
