ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-448510.2371539363,-473002.73268141935,30.48000030385731,32.91569974298924,-97.02594195680827,100.0,0.3,198.38,2414.0,38.45,281.72,66018.0
159.0,-438607.65021992446,-460533.38065984874,1979.2327802270363,33.03195000531523,-96.92627105328499,6494.0,0.5,323.27,2052.0,41.21,239.77,65779.0
318.0,-421399.2435628273,-440884.0308484339,3635.8715332995807,33.21564944091289,-96.75147017281745,11929.0,0.5524,350.1,1734.0,41.22,218.62,65560.0
477.0,-402723.4403688,-419563.6594475918,5035.924442364509,33.414696818051965,-96.56093250005662,16522.0,0.603,375.53,1526.0,41.22,202.96,65357.0
636.0,-382664.2467331547,-396670.1276796514,6267.788792041135,33.62810960924353,-96.35530686172743,20564.0,0.6525,399.95,1330.0,41.23,188.76,65168.0
795.0,-361275.00715948036,-372264.3795716968,7341.337858493359,33.85524684593287,-96.13492372348563,24086.0,0.7011,423.65,1144.0,41.25,176.19,64992.0
954.0,-338589.0402045676,-346391.92831088725,8264.788195207553,34.0956103023052,-95.89989528608038,27115.0,0.749,446.87,967.0,41.27,165.32,64827.0
1113.0,-314627.1363132557,-319083.16439482116,9045.200846074835,34.34883757286888,-95.6501928707665,29676.0,0.7777,458.95,863.0,41.29,156.84,64670.0
1271.0,-289993.51050921116,-291030.3420081255,9741.715952139544,34.608442106420625,-95.39191219959464,31961.0,0.7921,462.82,778.0,41.31,148.58,64521.0
1430.0,-265129.1138280284,-262739.84988749115,10369.660146964798,34.86970080493156,-95.12956748380027,34021.0,0.7857,454.89,278.0,41.34,120.5,64401.0
1589.0,-240604.59763084698,-234859.40970991013,10593.9066170474,35.12662644686041,-94.8691704297876,34757.0,0.7674,442.81,-26.0,41.35,102.97,64298.0
1748.0,-216679.14171109605,-207676.95473107148,10572.929392192444,35.37658701265837,-94.61354789973586,34688.0,0.7768,448.38,31.0,41.37,106.51,64191.0
1907.0,-192453.64834322553,-180168.55832906358,10598.257942391585,35.62899917031643,-94.35310389149704,34771.0,0.7751,447.25,20.0,41.38,105.55,64086.0
2066.0,-168281.8203694702,-152731.68823717843,10614.658939807003,35.880197999853934,-94.09159678161735,34825.0,0.7754,447.32,22.0,41.38,105.44,63980.0
2225.0,-144104.11140642656,-125292.75167973962,10632.570125140634,36.13084914063388,-93.82836724324649,34884.0,0.7754,447.18,21.0,41.39,105.15,63875.0
2384.0,-119930.30689916077,-97865.80908773963,10649.816977083465,36.38081558329292,-93.56349937169041,34940.0,0.7755,447.12,21.0,41.39,104.92,63770.0
2543.0,-95761.88862279973,-70440.31002942553,10667.141666797264,36.63018327131017,-93.29699020597991,34997.0,0.7755,447.04,21.0,41.38,104.69,63666.0
2702.0,-71599.41616411682,-43017.466464503,10684.444784074993,36.87893248395597,-93.02882404452767,35054.0,0.7756,446.96,21.0,41.37,104.46,63561.0
2861.0,-47445.154450288705,-15595.429682107615,10701.661457997905,37.12707086615837,-92.75900462676815,35110.0,0.7757,446.89,21.0,41.35,104.23,63457.0
3020.0,-23306.06529741103,11832.843257736919,10718.838238685254,37.374652755661366,-92.48758877558492,35167.0,0.7758,446.82,21.0,41.34,104.0,63353.0
3179.0,826.9884737043917,39259.53856891633,10736.135997509009,37.62159914257082,-92.21445024515873,35224.0,0.7758,446.73,21.0,41.34,103.77,63249.0
3338.0,24951.31409051899,66684.85623133513,10753.327122024608,37.8679026554231,-91.93959752955752,35280.0,0.7759,446.65,21.0,41.32,103.54,63146.0
3497.0,49065.73608950304,94111.33576031256,10770.482496059214,38.11357721829149,-91.66302144809268,35336.0,0.7759,446.58,22.0,41.31,103.36,63042.0
3656.0,73170.80978584601,121538.85146794557,10788.068113348363,38.35861244633068,-91.38469275479983,35394.0,0.7759,446.43,21.0,41.33,103.07,62939.0
3814.0,97276.66368011519,148951.59883027058,10805.249637990297,38.6028557110705,-91.10447395910575,35450.0,0.7759,446.35,22.0,41.31,102.89,62836.0
3973.0,121372.26479621642,176365.8655577454,10822.991980687322,38.84644457873361,-90.82246676981475,35509.0,0.7758,446.18,19.0,41.24,102.51,62734.0
4132.0,145427.02324884286,203800.10037166305,10838.547367857122,39.08954024041047,-90.5389981076093,35560.0,0.7763,446.36,40.0,41.35,103.31,62630.0
4291.0,169537.96546612456,231201.39538293023,10871.082568085068,39.33164130436736,-90.25293135026028,35666.0,0.7721,443.69,1.0,41.31,100.83,62530.0
4450.0,193496.27649998356,258460.0573666336,10871.539532142353,39.57179189342648,-89.96670527297059,35668.0,0.7644,439.27,-499.0,41.27,76.66,62453.0
4609.0,217259.1872371814,285536.83897096914,10468.29877146418,39.80965224665603,-89.68084242835606,34345.0,0.7104,410.67,-999.0,41.29,49.32,62404.0
4768.0,239539.46114433,310911.29125375004,9661.360286055571,40.03191719559347,-89.41102426401554,31697.0,0.653,381.98,-1231.0,41.28,35.22,62368.0
4927.0,260280.2326092403,334538.9266653535,8667.355631097227,40.238319243455216,-89.15826782667615,28436.0,0.6033,357.93,-1267.0,41.26,30.49,62338.0
5086.0,279706.7838505553,356681.6333259812,7644.292069553402,40.43125326014807,-88.9201252632991,25080.0,0.5597,336.8,-1271.0,41.25,27.42,62310.0
