ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-448510.2372663847,-473002.73279285186,30.480000000379803,32.91569974193945,-97.02594195795389,100.0,0.2784,184.08,2286.0,38.45,249.1,66051.0
140.0,-440425.9295290669,-462822.9604330178,1651.9126649526136,33.01061037414158,-96.94459181042915,5420.0,0.4784,310.49,2003.0,53.45,210.04,65841.0
279.0,-422698.0844712517,-449683.47890628286,3072.725475884009,33.136109743716695,-96.76115873001952,10081.0,0.5836,372.4,1503.0,47.26,189.37,65651.0
419.0,-403200.00524664734,-431664.3446835382,4138.953359559549,33.30585563859654,-96.5604458306486,13579.0,0.6656,419.21,1003.0,43.65,173.97,65478.0
558.0,-382517.32654613745,-409983.51617953076,4850.596379394168,33.50860860507468,-96.34781519136453,15914.0,0.7176,447.98,688.0,43.35,165.27,65312.0
698.0,-360501.91204409994,-386664.77305846586,5338.203399881155,33.72618807039647,-96.12048716356605,17514.0,0.7306,453.24,696.0,43.33,162.27,65150.0
838.0,-338238.268914934,-363066.10062252684,5831.544491927273,33.945947465812154,-95.88942820383934,19132.0,0.7435,458.32,704.0,43.33,159.13,64991.0
977.0,-315730.0780512973,-339201.88923988235,6330.83987811663,34.16773617966455,-95.65461834796524,20770.0,0.7562,463.14,713.0,43.32,155.9,64835.0
1117.0,-292988.65797058516,-315087.73003201233,6836.352190363628,34.39139015626027,-95.4161206379977,22429.0,0.7686,467.57,722.0,43.32,152.5,64682.0
1256.0,-270032.1698053244,-290744.21062699665,7348.310237049536,34.61669884164747,-95.17407261282233,24109.0,0.7803,471.46,730.0,43.32,148.92,64534.0
1396.0,-246886.49179821645,-266200.4866434552,7866.036227349732,34.843373642100104,-94.92869664092468,25807.0,0.791,474.56,735.0,43.32,145.06,64388.0
1536.0,-223588.97507621205,-241498.109337472,8386.975170791959,35.07101356360662,-94.68034264299915,27516.0,0.8,476.52,235.0,43.33,122.04,64266.0
1675.0,-200135.48795050773,-216631.79444251244,8553.384571454915,35.29964997464942,-94.42892335023076,28062.0,0.8029,477.11,34.0,43.33,112.91,64154.0
1815.0,-176628.60613037227,-191710.02584613365,8577.16485678627,35.528271100613466,-94.17550296152368,28140.0,0.8039,477.55,38.0,43.33,112.9,64041.0
1954.0,-153100.19384023274,-166766.27138678817,8604.321326330033,35.75655986224386,-93.92040132043014,28229.0,0.8049,477.99,37.0,43.33,112.67,63928.0
2094.0,-129549.55371393551,-141799.47784674919,8630.241393750224,35.98451674250031,-93.66358975970968,28314.0,0.806,478.43,39.0,43.33,112.56,63815.0
2234.0,-105977.41298097071,-116810.067209753,8658.089915652083,36.212128588362795,-93.40505484430948,28406.0,0.807,478.88,36.0,43.33,112.24,63703.0
2373.0,-82383.11809104559,-91797.09984369423,8683.454590549181,36.43939453031195,-93.14476776315001,28489.0,0.8081,479.32,39.0,43.33,112.17,63591.0
2513.0,-58767.663845429204,-66761.36026950461,8711.206305052527,36.66629787529075,-92.88271761931128,28580.0,0.8091,479.76,36.0,43.33,111.86,63479.0
2652.0,-35130.50474404441,-41701.80991359295,8736.992586399336,36.89283832496156,-92.61887627326718,28665.0,0.8102,480.2,37.0,43.33,111.71,63367.0
2792.0,-11471.765303353175,-16619.17612741303,8763.147074919689,37.11899948061851,-92.35322267732677,28750.0,0.8112,480.64,37.0,43.33,111.52,63256.0
2932.0,12208.7537926973,8486.376258956045,8789.682194208623,37.34476954741378,-92.08573174054398,28838.0,0.8123,481.08,36.0,43.33,111.29,63145.0
3071.0,35911.42111052284,33614.90792236113,8815.455603841887,37.5701388989382,-91.81637617929822,28922.0,0.8133,481.53,42.0,43.33,111.34,63033.0
