ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-448510.2372554201,-473002.7327871917,30.48000000002391,32.9156997419951,-97.02594195783954,100.0,0.2758,182.35,1661.0,38.45,258.52,66041.0
156.0,-439520.5759067248,-461682.93778862763,1345.8191627408123,33.021236086759224,-96.93547067949689,4415.0,0.4758,309.89,1161.0,53.45,194.34,65847.0
312.0,-419675.61660479085,-446974.2961207825,2265.2056172523185,33.16168956906106,-96.73005646231638,7432.0,0.6589,424.57,661.0,46.42,204.11,65643.0
468.0,-395089.8521439986,-423579.2387075032,2788.6384614708563,33.38166356673597,-96.47699737013205,9149.0,0.6665,426.81,661.0,60.55,198.64,65444.0
624.0,-365381.5714150343,-406806.72199436056,3311.7398930175345,33.54351686562306,-96.16461594403414,10865.0,0.6775,431.06,665.0,45.55,194.33,65250.0
779.0,-340785.2980690376,-382679.98287583154,3838.1870321882952,33.76889201707828,-95.90916140066311,12592.0,0.6916,437.24,673.0,35.7,191.02,65059.0
935.0,-320392.76672884857,-354302.24683127244,4371.080310615262,34.030580507843624,-95.69950877703242,14341.0,0.704,442.13,702.0,20.7,187.84,64871.0
1091.0,-307903.7995470915,-321254.6587822666,4927.334915371747,34.331445148234245,-95.57623196615206,16166.0,0.6366,397.02,1202.0,35.7,187.89,64683.0
1247.0,-289445.08316461,-295567.3959995691,5879.528892616593,34.56783596116291,-95.38433768107069,19290.0,0.6916,426.08,1119.0,23.46,183.29,64500.0
1403.0,-275925.3796728811,-264413.84297696815,6765.481493312436,34.85167178254223,-95.24725208112541,22196.0,0.7654,466.07,742.0,38.46,170.98,64329.0
1559.0,-252773.21123319736,-235264.0224800419,7352.935901592789,35.1199048188797,-95.00276094658584,24124.0,0.7819,472.37,336.0,53.46,149.83,64179.0
1715.0,-222393.5632575481,-212749.77991680734,7618.698640896396,35.32969369802132,-94.67513770873423,24996.0,0.788,474.35,-164.0,57.97,126.12,64053.0
1871.0,-190115.934334459,-192555.98708839246,7488.532042176422,35.518103254353015,-94.32428466377225,24569.0,0.7859,473.93,-664.0,72.97,105.47,63948.0
2027.0,-153650.00012188122,-181385.45640086912,6962.445266499265,35.6250315132188,-93.92365243583322,22843.0,0.7747,470.51,-1164.0,59.08,87.86,63860.0
2182.0,-121090.92854329606,-161882.6854745927,6040.447242667292,35.80504124145696,-93.56649616573667,19818.0,0.5977,367.46,-694.0,74.08,69.66,63790.0
2338.0,-92656.36095561471,-153771.3185697668,5491.094563424883,35.88114913908456,-93.25219670061836,18015.0,0.4735,293.19,-194.0,59.21,83.2,63707.0
2494.0,-72437.37465611218,-141725.2021023486,5337.473998958687,35.99121870076544,-93.02891980263034,17511.0,0.6735,417.85,92.0,44.21,137.56,63569.0
2650.0,-49080.77680169214,-117719.12608055494,5410.426616754058,36.20858986283119,-92.77085232615458,17751.0,0.7192,445.75,592.0,29.21,171.17,63398.0
2806.0,-31687.490625785103,-86615.90087262496,5879.219353478104,36.489043236956896,-92.5782839052669,19289.0,0.5192,319.85,1092.0,44.21,166.5,63232.0
2962.0,-13911.604184545717,-68345.54274765111,6743.879545450505,36.653780843108734,-92.37978269292948,22126.0,0.4933,300.44,1493.0,33.49,191.85,63040.0
3118.0,-738.8302603977587,-48434.57261788958,7926.033163711992,36.83294711575635,-92.23214004456524,26004.0,0.6933,415.56,993.0,18.49,157.05,62883.0
3274.0,9769.903019395275,-17009.104691010103,8712.355304377152,37.11551215342655,-92.11365670798376,28584.0,0.8136,482.42,493.0,8.64,144.05,62739.0
3430.0,15568.23596858162,21132.10213195499,9102.800977461027,37.458444798992076,-92.04746134019905,29865.0,0.819,482.91,-7.0,12.36,119.61,62619.0
