ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-477931.8553359264,-84781.52563858406,30.480000304127667,32.91569743818529,-97.02596385494128,100.0,0.3,198.38,2414.0,75.65,217.38,66083.0
123.0,-465997.7740241058,-81727.42258109509,1534.1760708261272,32.94833482959014,-96.89982868621644,5033.0,0.4894,318.05,2142.0,77.38,189.29,65893.0
245.0,-446613.95975071925,-77386.57637503034,2868.734994534578,32.995513913212505,-96.69445273653756,9412.0,0.5229,334.5,1876.0,77.42,176.12,65717.0
368.0,-426194.64440733043,-72830.20621171943,4037.6073684304183,33.04470367233469,-96.47786137720163,13247.0,0.5615,354.08,1699.0,77.47,165.89,65551.0
491.0,-404556.36789430416,-68020.1948127352,5095.8378320817465,33.09625761682784,-96.24806940697013,16719.0,0.5997,373.22,1541.0,77.53,156.64,65395.0
613.0,-381726.2411649099,-62969.518406930314,6055.9601992326325,33.149977188265545,-96.00531943800313,19869.0,0.6372,391.66,1391.0,77.6,148.08,65247.0
736.0,-357744.9877605404,-57696.596611500776,6922.836694545437,33.20560823233664,-95.74999842830317,22713.0,0.6745,409.84,1247.0,77.7,140.25,65106.0
858.0,-332624.9367387346,-52218.804139272754,7699.537860584769,33.26291413057814,-95.48219017674934,25261.0,0.7113,427.71,1107.0,77.81,133.12,64973.0
981.0,-306381.8933310309,-46551.4740623584,8389.50589394639,33.3216725980375,-95.20201760669424,27525.0,0.7476,445.28,974.0,77.94,126.82,64846.0
1104.0,-279031.5786215665,-40709.16054919747,8996.240578709225,33.38166581364477,-94.9096042426205,29515.0,0.7721,455.99,884.0,78.08,121.62,64725.0
1226.0,-250998.0666256463,-34793.07678431996,9547.10490238627,33.441798597202066,-94.60945025931207,31323.0,0.7863,460.71,980.0,78.23,122.34,64602.0
1349.0,-222674.15956297662,-28890.94503028227,10157.576396552397,33.50114474891028,-94.3057484977908,33325.0,0.7893,458.43,599.0,78.38,105.83,64497.0
1472.0,-194424.24256069466,-23080.859722032386,10530.44936865252,33.558910009710004,-94.00241138601683,34549.0,0.7788,449.82,99.0,78.52,85.21,64411.0
1594.0,-166624.2980255296,-17436.92554941288,10591.821216233982,33.61437217671763,-93.70349874892162,34750.0,0.7677,443.02,-30.0,78.69,79.34,64332.0
1717.0,-139212.6324099139,-11952.6515768122,10573.030341052212,33.667629889908866,-93.40837426350056,34688.0,0.7757,447.74,36.0,78.82,82.32,64250.0
1840.0,-111504.70023543743,-6473.965601962523,10595.1791323434,33.72016807305569,-93.10968315039895,34761.0,0.7737,446.49,17.0,78.88,81.31,64168.0
1962.0,-83866.13728234262,-1040.4032345649223,10605.772770878488,33.771576887719014,-92.81137532327146,34796.0,0.7745,446.83,21.0,79.01,81.38,64087.0
2085.0,-56194.50612717219,4334.824148740418,10618.767831283632,33.821746065558465,-92.51235053367678,34838.0,0.7746,446.83,20.0,79.1,81.21,64006.0
2207.0,-28513.869310160917,9665.117116082807,10631.18920191212,33.87079061429453,-92.21287860134315,34879.0,0.7749,446.91,21.0,79.21,81.13,63925.0
2330.0,-818.2608903597743,14944.243178228482,10644.296675342393,33.918651490368426,-91.91290282887374,34922.0,0.775,446.89,21.0,79.21,81.0,63844.0
2453.0,26876.53253187902,20221.88944388299,10657.435028682681,33.96577226766917,-91.61260162931188,34965.0,0.7751,446.87,21.0,79.21,80.86,63763.0
2575.0,54569.67444930819,25500.511729545568,10670.245226410056,34.01217340607583,-91.31198841180655,35007.0,0.7753,446.88,19.0,79.24,80.66,63682.0
2698.0,82267.31699298923,30763.85883846622,10682.027767227079,34.057706426113704,-91.01100202181306,35046.0,0.7757,447.05,24.0,79.26,80.74,63601.0
2821.0,109976.68847325622,36019.556304266356,10696.832179596626,34.102436765936766,-90.70956865667844,35095.0,0.7754,446.77,3.0,79.18,79.81,63522.0
2943.0,137664.3170898308,41311.73899393727,10698.41858762117,34.14676272156631,-90.40804988364702,35100.0,0.7783,448.4,103.0,79.11,83.53,63438.0
3066.0,165433.75664202165,46654.6730874415,10762.364448259643,34.19079590901518,-90.1053184984071,35310.0,0.764,439.76,-396.0,79.05,63.98,63374.0
3189.0,192723.7774542783,51934.895485967834,10515.611543227478,34.233610916311356,-89.80750174431488,34500.0,0.7407,427.94,-896.0,78.99,44.74,63329.0
3311.0,219328.79946912735,57113.28847772101,9957.357513757157,34.27493503444086,-89.51686362689472,32668.0,0.6902,402.04,-1172.0,78.91,32.06,63297.0
3434.0,244341.10741057125,62018.22380965154,9227.152735335427,34.31348886084508,-89.24335591380064,30273.0,0.6477,381.25,-1251.0,78.82,27.2,63270.0
3557.0,268055.7792770224,66705.96298865462,8448.058841596005,34.349816767381874,-88.98379604866251,27717.0,0.6102,363.17,-1284.0,78.73,24.22,63246.0
3679.0,290637.41422575404,71207.49747749796,7648.311487999943,34.3842398673703,-88.7364172018638,25093.0,0.5761,346.67,-1295.0,78.63,22.11,63224.0
3802.0,312183.236054302,75538.31626178739,6841.683619220228,34.41694186324656,-88.50018434964811,22446.0,0.5448,331.42,-1293.0,78.55,20.52,63203.0
3924.0,332771.27613547,79708.27717918638,6036.330676962767,34.44805076972194,-88.27426915834026,19804.0,0.5169,317.8,-1285.0,78.47,19.29,63184.0
4047.0,352503.8943799573,83732.68242217254,5235.67230067329,34.47772643267584,-88.05757238550827,17177.0,0.4912,305.15,-1273.0,78.4,18.27,63166.0
4170.0,371442.60504119954,87618.97088494991,4442.711346113384,34.50606259856312,-87.84943970693489,14576.0,0.4676,293.42,-1257.0,78.34,17.45,63148.0
4292.0,389645.26399348734,91373.9277813043,3659.294225699537,34.53314217472834,-87.64925459642829,12006.0,0.4463,282.8,-1242.0,78.3,16.93,63131.0
4415.0,407182.7338913077,95007.08532634248,2885.572447028645,34.55906199190129,-87.45625521491749,9467.0,0.4267,272.9,-1225.0,78.26,17.65,63114.0
4538.0,424100.66200758674,98523.09594821506,2122.2346463475815,34.58387918438713,-87.26995502628,6963.0,0.4085,263.65,-1208.0,78.23,18.38,63095.0
4660.0,440440.88235593244,101926.45526177161,1369.7246361583334,34.607646977828715,-87.08990772544594,4494.0,0.3919,255.23,-1192.0,78.22,19.08,63076.0
4783.0,456255.50227134017,105224.1434827986,627.2486642192387,34.630432761785514,-86.91555222086178,2058.0,0.3,197.03,-958.0,75.65,20.57,63056.0
4906.0,468325.63658080756,108313.06445897924,30.479999696547942,34.65278999914844,-86.78210000114672,100.0,0.2081,137.58,-724.0,73.07,28.51,63027.0
