ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-477931.8554238127,-84781.52579645433,30.480000000099007,32.91569743672959,-97.02596385579886,100.0,0.3,198.38,1662.0,75.65,198.18,66102.0
124.0,-465783.03199649794,-81672.46712290913,1078.065751894835,32.94892095250105,-96.89755815855024,3537.0,0.5,326.69,1162.0,90.65,158.83,65943.0
248.0,-445038.63212571683,-81906.10136997601,1810.585591867531,32.95559705363996,-96.67536757548527,5940.0,0.6525,422.74,662.0,105.65,166.23,65777.0
372.0,-419129.2146771369,-89162.21174962349,2228.0392375999418,32.900846580534946,-96.39460518718818,7310.0,0.6585,424.48,661.0,95.29,162.7,65614.0
496.0,-392227.1632165,-91650.88768976844,2644.772764482538,32.88862299376684,-96.10562824583046,8677.0,0.6645,426.26,661.0,80.29,159.22,65455.0
620.0,-365486.44294636045,-87072.96096777894,3061.1947138912337,32.93913880324167,-95.82129263041712,10043.0,0.6709,428.18,661.0,65.29,155.82,65299.0
744.0,-340731.4207141024,-75679.23801646307,3477.8421085054524,33.0496096442464,-95.56046824223394,11410.0,0.6821,433.11,668.0,50.29,153.8,65145.0
868.0,-319528.6223067252,-58067.158159080616,3898.5140534616335,33.21436020551543,-95.33933693570488,12790.0,0.6934,438.04,674.0,35.29,151.67,64994.0
992.0,-303426.21686824475,-35312.560883524864,4323.29611122209,33.423501501299334,-95.17403389106867,14184.0,0.4934,310.06,1174.0,39.4,143.04,64851.0
1116.0,-290935.0354872186,-20105.171240584845,5063.13852049542,33.563635067753076,-95.04447040545428,16611.0,0.3634,226.21,1541.0,54.4,184.25,64666.0
1240.0,-279297.45103073196,-11773.235044947969,6034.1392663818215,33.6416299470583,-94.92154884825675,19797.0,0.5634,346.36,1112.0,69.4,134.78,64531.0
1364.0,-258714.0740020457,-4036.09747865832,6734.800193095733,33.71638171348395,-94.7015453862975,22096.0,0.7634,465.01,612.0,84.4,131.8,64400.0
1489.0,-229260.69191385934,-1147.6717473167357,7120.401389350837,33.74912309112509,-94.3839435878427,23361.0,0.7766,470.67,112.0,93.79,113.21,64286.0
1613.0,-199306.2010713807,-3132.6279487214556,7190.939738994398,33.73733709744727,-94.05957916167033,23592.0,0.7786,471.43,-388.0,79.7,95.45,64191.0
1737.0,-169659.7099654876,2253.4632476829665,6946.414902444957,33.79092295562573,-93.74005659388011,22790.0,0.7735,469.87,-888.0,94.7,79.5,64112.0
1861.0,-139670.80459245166,-213.59104203377632,6386.828461157475,33.77312191339679,-93.41518299548996,20954.0,0.5735,350.98,-1283.0,82.17,25.8,64086.0
