ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-779713.7043227179,425332.40505847894,30.480000303281987,32.91568148374032,-97.02599069997036,100.0,0.3,198.38,2414.0,111.78,377.87,65922.0
213.0,-759958.0019132423,417438.9241642599,2644.3782088832927,32.85805187589885,-96.80874689717443,8676.0,0.5,320.72,1993.0,116.39,314.17,65608.0
426.0,-728920.1933287994,402039.8122462409,4802.735341908256,32.73993543023003,-96.46572057620781,15757.0,0.5963,372.48,1551.0,116.39,275.36,65333.0
640.0,-692749.484112323,384092.6512790024,6482.5143401012665,32.601105069221326,-96.06711173173501,21268.0,0.6629,405.2,1288.0,116.39,249.64,65083.0
853.0,-653331.3453386385,364533.0026875786,7877.700031018535,32.448380493194605,-95.63412113362037,25845.0,0.7278,436.57,1044.0,116.39,227.88,64855.0
1066.0,-610788.0813797406,343422.1814683796,9008.09642787975,32.28189793253842,-95.16844871024931,29554.0,0.7749,457.55,873.0,116.39,211.05,64644.0
1279.0,-566146.5130322326,321273.7851510093,9953.407056143193,32.105418357110814,-94.68164872775343,32656.0,0.7876,458.8,546.0,116.38,182.54,64461.0
1492.0,-521266.4427419434,299014.59991017525,10545.184012846532,31.926206166786486,-94.19414856296565,34597.0,0.7766,448.48,46.0,116.37,144.32,64317.0
1705.0,-477213.83297461865,277176.518350354,10595.47373199298,31.7486026186207,-93.7174893043658,34762.0,0.7705,444.6,7.0,116.36,140.46,64177.0
1919.0,-433523.89139748865,255529.51052202468,10603.354880379426,31.57082845102913,-93.24656445725554,34788.0,0.7743,446.77,23.0,116.35,141.62,64035.0
2132.0,-389622.29926129675,233788.49217796398,10628.263483068296,31.39056990805222,-92.7751703389958,34870.0,0.774,446.43,21.0,116.33,141.02,63894.0
2345.0,-345748.37015466613,212071.68617902353,10650.904130698838,31.208815001381932,-92.30588378225544,34944.0,0.7743,446.41,21.0,116.32,140.62,63753.0
2558.0,-301871.8375783733,190364.56696032605,10673.805534049301,31.025462696300654,-91.838375120812,35019.0,0.7744,446.34,21.0,116.31,140.21,63613.0
2771.0,-257996.61456549988,168670.21160550028,10696.607043512135,30.840558258413054,-91.37268136830149,35094.0,0.7746,446.28,21.0,116.3,139.81,63473.0
2985.0,-214121.7124696933,146988.71166277584,10719.413262443133,30.654121502711234,-90.90878639977649,35169.0,0.7747,446.21,21.0,116.28,139.41,63334.0
3198.0,-170247.9913595264,125319.75407225861,10742.146336072858,30.46616813337139,-90.44669293258879,35243.0,0.7749,446.15,21.0,116.27,139.01,63195.0
3411.0,-126375.24487404193,103661.94285815075,10764.901082653349,30.27670427187458,-89.98639201242513,35318.0,0.775,446.08,21.0,116.26,138.61,63056.0
3624.0,-82504.05531841442,82015.20897470447,10787.628930569514,30.085747803742205,-89.52788281848004,35392.0,0.7751,446.01,21.0,116.25,138.21,62918.0
3837.0,-38633.557170254986,60380.01469042207,10810.418683872926,29.893321425304503,-89.0711490773022,35467.0,0.7753,445.93,21.0,116.24,137.81,62780.0
4050.0,5236.267723161707,38757.6984566497,10833.232991361765,29.699455391611696,-88.6161828494041,35542.0,0.7754,445.85,21.0,116.22,137.41,62643.0
4264.0,49106.57570018923,17149.67816063497,10856.16779827383,29.504180225079132,-88.16296418007595,35617.0,0.7755,445.76,21.0,116.21,137.01,62506.0
4477.0,92976.948033102,-4443.12181264153,10879.158742032982,29.30752271731321,-87.71148879750014,35693.0,0.7756,445.68,21.0,116.19,136.61,62369.0
4690.0,136847.64886717722,-26021.932663092633,10902.327961463716,29.109489996951236,-87.2617446606311,35769.0,0.7757,445.57,21.0,116.18,136.2,62233.0
4903.0,180717.05192990156,-47588.23681723215,10925.599709384524,28.91008685401455,-86.81373929970262,35845.0,0.7758,445.47,22.0,116.17,135.86,62097.0
5116.0,224584.3352917989,-69146.05459255219,10949.111590833043,28.709295244310155,-86.3674723216631,35922.0,0.7759,445.35,22.0,116.17,135.46,61962.0
5330.0,268446.0617596249,-90700.47111786115,10972.769037305625,28.507088135652516,-85.92297055852612,36000.0,0.7759,445.24,22.0,116.17,135.06,61827.0
5543.0,312301.6027643248,-112255.71957248148,10996.672353970991,28.30344586562421,-85.48023206611357,36078.0,0.776,445.11,22.0,116.17,134.65,61692.0
