ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-779713.7044507655,425332.4051726129,30.480000001692527,32.91568148467589,-97.02599070143104,100.0,0.2023,133.78,1577.0,111.78,354.97,65945.0
195.0,-767425.5095761563,420422.60123150033,1595.1791313528643,32.87987879532405,-96.89083050334413,5234.0,0.4023,261.29,1922.0,126.78,296.57,65648.0
391.0,-746688.093249385,404920.6601299462,3502.641871633081,32.75456069213344,-96.65733834268019,11492.0,0.6023,382.35,1422.0,118.54,258.94,65390.0
586.0,-713253.2475279655,386733.4461801798,4913.966446105005,32.61251831265139,-96.28732132674237,16122.0,0.694,432.89,922.0,119.48,234.9,65155.0
781.0,-675613.4019288418,365457.6399140571,5829.152853039042,32.444141223412004,-95.87161703450487,19125.0,0.7434,458.29,704.0,119.53,222.68,64932.0
977.0,-635729.6033010068,342866.95345648326,6527.725681995967,32.26382141326005,-95.43280030037869,21416.0,0.7611,464.92,716.0,119.53,216.28,64716.0
1172.0,-595276.0640843057,319953.44266351924,7238.552612979783,32.079376967086986,-94.98950254578043,23749.0,0.7779,470.68,729.0,119.53,209.49,64506.0
1367.0,-554328.3671192105,296759.6341573775,7961.441572441964,31.891106126986443,-94.5426177616738,26120.0,0.7928,475.01,539.0,119.52,191.75,64314.0
1563.0,-512947.08422549686,273330.709469117,8496.237897965182,31.699349478914506,-94.092869398557,27875.0,0.8019,476.88,67.0,119.51,160.43,64154.0
1758.0,-471261.06978003355,249740.54102284033,8562.787211164725,31.504688433922496,-93.64170062880797,28093.0,0.8037,477.53,28.0,119.5,157.6,63996.0
1953.0,-429503.593571851,226119.47049859277,8590.797000780234,31.30819457109243,-93.19165263528978,28185.0,0.805,478.14,24.0,119.49,157.12,63839.0
2149.0,-387687.3245994986,202474.60678819942,8614.877364030022,31.109938425094953,-92.74286219162656,28264.0,0.8063,478.75,63.0,119.47,159.0,63680.0
2344.0,-345823.4841131927,178815.71044715535,8677.539917910473,30.91001671590353,-92.29544906285676,28470.0,0.8081,479.38,25.0,119.46,156.28,63524.0
2539.0,-303886.25809825317,155131.1099071326,8702.386855126373,30.708344467834312,-91.84913650058976,28551.0,0.8094,480.0,-17.0,119.46,153.83,63370.0
2735.0,-261885.01133610765,131406.15102760962,8685.747784110124,30.50479870669505,-91.40401776936977,28497.0,0.8102,480.58,-500.0,119.51,128.27,63242.0
2930.0,-219712.97161790557,107540.19693748739,8189.614294070471,30.29850543991077,-90.95896011622118,26869.0,0.8034,479.84,-245.0,119.88,147.88,63094.0
3125.0,-177833.24461714827,83482.41986135786,7946.783846783167,30.088941662129702,-90.51878657021311,26072.0,0.7996,479.18,255.0,115.14,177.02,62917.0
3321.0,-134318.45506498346,63064.551296494814,8200.091257162325,29.91081932622474,-90.06398255534188,26903.0,0.8053,480.89,500.0,108.24,186.74,62730.0
3516.0,-88584.77907073185,47988.55618964315,8696.22879660234,29.77933899402244,-89.58826846247493,28531.0,0.8144,482.97,229.0,109.5,167.12,62563.0
3711.0,-42910.746707832564,31811.620907296718,8923.2626628485,29.63626342698371,-89.1143815577224,29276.0,0.8184,483.8,49.0,109.55,155.12,62408.0
3907.0,2887.405371990152,15552.165871902,8971.563699383034,29.4907706655134,-88.64056272489312,29434.0,0.82,484.43,-81.0,109.54,147.85,62260.0
4102.0,48787.313121788604,-740.646959948033,8891.028517113991,29.343304053397713,-88.16706057125764,29170.0,0.82,484.98,-71.0,109.53,149.44,62111.0
4297.0,94741.36156812802,-17036.82001435103,8820.352718383863,29.194141522403235,-87.69437498999861,28938.0,0.82,485.46,-64.0,109.51,150.75,61960.0
4493.0,140742.2101689028,-33338.886248390656,8756.891765058224,29.04327030016891,-87.22258738350348,28730.0,0.82,485.9,-58.0,109.51,151.9,61808.0
4688.0,186783.971590633,-49650.257612667374,8698.931634129602,28.890670576022732,-86.75176413739574,28540.0,0.82,486.29,-54.0,109.5,152.87,61655.0
