ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-779713.7044284844,425332.40516517666,30.48000000023273,32.91568148462423,-97.02599070118708,100.0,0.2294,151.67,500.0,111.78,296.99,66003.0
235.0,-762785.4740151524,418568.6539144008,626.24532050961,32.86632254232846,-96.83982204784564,2055.0,0.4294,282.0,0.0,108.25,169.65,65833.0
469.0,-730470.4016876079,407909.70297676313,626.2516140326674,32.79151125092862,-96.48673113008162,2055.0,0.6294,413.36,500.0,117.76,319.46,65514.0
704.0,-686488.091188152,384757.27456607256,1221.8548479248225,32.610721201826784,-96.00092538724513,4009.0,0.4845,316.02,1000.0,132.76,280.13,65234.0
938.0,-658700.4375739971,359059.5624116604,2413.192758617925,32.39636563540319,-95.68747894740248,7917.0,0.6618,425.7,645.0,140.14,303.5,64930.0
1173.0,-625931.2631626099,319818.2139759596,3181.3357998571864,32.06245641992395,-95.31409165893515,10437.0,0.6387,407.04,819.0,125.14,287.2,64643.0
1407.0,-586012.8751363402,291725.7515119705,4157.117941058187,31.830867743937773,-94.87462760798341,13639.0,0.7012,441.54,319.0,111.0,261.7,64381.0
1642.0,-536391.9164926093,272681.740139931,4537.16461624188,31.683284878242606,-94.33995277609596,14886.0,0.637,399.19,319.0,106.4,224.73,64157.0
1876.0,-490296.9268870124,259111.46658571853,4917.088106364628,31.58119939988606,-93.84680668398325,16132.0,0.4888,304.88,819.0,91.4,232.45,63924.0
2111.0,-453761.5342689247,258215.76120031593,5892.624571265772,31.587487354278203,-93.46115258950645,19333.0,0.6575,405.01,596.0,84.25,229.03,63695.0
2346.0,-405367.7531324947,263089.5232730368,6602.31290789621,31.648531524060882,-92.95270867589856,21661.0,0.7665,467.74,428.0,99.25,240.35,63455.0
2580.0,-349853.1009006321,254049.46108846093,7112.059178989049,31.58475990842344,-92.36354494565275,23334.0,0.5783,350.52,500.0,114.25,193.71,63261.0
2815.0,-311447.93146577,236750.1281050751,7707.711623495976,31.439863601525506,-91.95301490074209,25288.0,0.7783,467.95,500.0,123.84,226.13,63035.0
