ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,699671.5154462109,-4151.679575832282,30.48000030034147,32.91571999956448,-97.02596999896338,100.0,0.2933,193.93,2377.0,276.5,267.13,66033.0
150.0,685027.6968365092,-2482.5142896744514,1846.634683838887,32.93997442382217,-97.18121605389835,6059.0,0.4933,319.42,1877.0,265.8,220.38,65812.0
301.0,660632.5824268088,-4272.650862429904,3280.8047099358855,32.93901944340285,-97.44332765878279,10764.0,0.6035,384.15,1377.0,272.65,199.92,65613.0
451.0,631154.0862723811,-2908.9941352372034,4332.990078555191,32.96872894274879,-97.75761487670367,14216.0,0.684,429.77,877.0,272.46,184.16,65428.0
602.0,598081.8968659651,-1485.5459644041446,5003.190789699224,33.00017260143631,-98.110533851173,16415.0,0.7217,449.64,690.0,272.42,177.02,65251.0
752.0,563446.5962477956,-19.433680125151472,5530.3869051783495,33.031820646344656,-98.4804131267726,18144.0,0.7356,455.25,699.0,272.43,173.5,65078.0
902.0,528383.0891227955,1468.0131993537882,6064.320609956622,33.0627806920886,-98.85512898932917,19896.0,0.7495,460.6,708.0,272.43,169.81,64908.0
1053.0,492910.3137164121,2974.849775221544,6605.28623437293,33.092983727619,-99.23448046726722,21671.0,0.763,465.6,718.0,272.44,165.98,64742.0
1203.0,457056.6543618909,4500.049128104667,7153.633132100912,33.1223668821132,-99.6181634735873,23470.0,0.776,470.06,727.0,272.44,161.91,64580.0
1353.0,420863.5605388568,6039.597086882233,7709.216192448585,33.15083862316768,-100.00573371421844,25293.0,0.7879,473.72,734.0,272.43,157.56,64423.0
1504.0,384391.6682692037,7587.67803265471,8269.784177507572,33.178289500684734,-100.39653957753507,27132.0,0.7982,476.19,326.0,272.42,136.27,64286.0
1654.0,347648.25978130306,9142.322151413855,8519.053625673641,33.20466953521974,-100.79049839488479,27950.0,0.8023,477.01,57.0,272.42,122.9,64163.0
1805.0,310787.82198608574,10697.979773113195,8562.753603650677,33.22985508363795,-101.18594592512812,28093.0,0.8036,477.5,39.0,272.41,121.79,64042.0
1955.0,273886.112260839,12253.933493355666,8592.651400184826,33.25380671293589,-101.58205879349579,28191.0,0.8048,477.98,38.0,272.42,121.52,63920.0
2105.0,236947.34973469394,13812.084818117806,8621.682046943546,33.27653455716846,-101.97878068437772,28286.0,0.8059,478.45,38.0,272.42,121.29,63799.0
2256.0,199971.80641056292,15373.281301358254,8650.589687304975,33.298040670366326,-102.37609808777601,28381.0,0.807,478.93,38.0,272.42,121.07,63678.0
2406.0,162959.47417495382,16936.7357233103,8679.4553413635,33.318312570739394,-102.7740008116088,28476.0,0.8082,479.41,38.0,272.42,120.85,63557.0
2557.0,125910.23448578318,18500.599311347192,8708.12983660087,33.33732831945075,-103.17247974910296,28570.0,0.8093,479.88,38.0,272.41,120.62,63436.0
2707.0,88824.05629603904,20062.99224258532,8736.79158386286,33.35506575151941,-103.57152443285624,28664.0,0.8104,480.36,37.0,272.41,120.36,63316.0
2857.0,51700.887277707836,21623.24457003367,8765.375481386782,33.37151365874996,-103.97112413535162,28758.0,0.8116,480.83,37.0,272.4,120.14,63196.0
3008.0,14540.748320092376,23182.346617947427,8793.829378108823,33.38667580394066,-104.37126714727845,28851.0,0.8127,481.31,37.0,272.4,119.92,63076.0
3158.0,-22656.26822928019,24742.39161977103,8822.202458395743,33.40056559315444,-104.77194106117177,28944.0,0.8138,481.79,37.0,272.4,119.7,62956.0
3309.0,-59890.08702593437,26305.681313959816,8850.462418862708,33.41319895887353,-105.17313347595183,29037.0,0.8149,482.27,37.0,272.41,119.48,62837.0
3459.0,-97160.60127111018,27874.77689218147,8878.661385559364,33.42459443951282,-105.57483242132668,29129.0,0.8161,482.74,37.0,272.42,119.26,62717.0
3609.0,-134467.89276030828,29448.774929334963,8906.703514309085,33.434739211409685,-105.97702769210868,29221.0,0.8172,483.22,37.0,272.41,119.05,62598.0
3760.0,-171812.19517077415,31021.9046847239,8934.700546166352,33.44357672371855,-106.37970950273643,29313.0,0.8183,483.7,34.0,272.39,118.71,62480.0
3910.0,-209194.4360406089,32584.314499256467,8960.807810078875,33.451013687730004,-106.78287352621332,29399.0,0.8194,484.18,-26.0,272.36,116.11,62364.0
4060.0,-246626.7042195179,34127.78863091101,8940.707200100249,33.456968989531724,-107.18663441222071,29333.0,0.82,484.64,-78.0,272.33,114.27,62249.0
4211.0,-284105.99068228423,35654.65058371038,8880.833665411916,33.46145869260023,-107.59094596646807,29137.0,0.82,485.05,-71.0,272.32,115.16,62134.0
4361.0,-321615.9201585169,37171.42557033156,8826.593624774625,33.46454112686499,-107.99561977138782,28959.0,0.82,485.42,-65.0,272.31,115.96,62018.0
4512.0,-359153.63995663763,38682.45040826595,8776.729839777334,33.46625280685928,-108.40061328090599,28795.0,0.82,485.76,-61.0,272.3,116.63,61902.0
4662.0,-396716.97364630207,40189.319314280365,8730.39333715531,33.466605843805404,-108.80589069618301,28643.0,0.82,486.08,-41.0,272.29,117.89,61784.0
