ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,699671.5153479084,-4151.679533316313,30.479999999994597,32.91572000000825,-97.02596999998136,100.0,0.3,198.38,500.0,276.5,168.57,66131.0
168.0,682674.5059625397,-2214.286188008727,457.42916922479117,32.94385432052748,-97.20617122197176,1501.0,0.5,329.03,259.0,291.5,165.59,65966.0
336.0,656237.368131439,8201.046583549381,678.5422313350921,33.053405639686204,-97.48135904980876,2226.0,0.6375,418.48,671.0,276.5,238.27,65728.0
504.0,620406.2045679585,12285.368642576743,1251.1725138143174,33.111065642522334,-97.86225532369966,4105.0,0.6453,420.78,667.0,273.35,231.63,65496.0
672.0,584208.111688984,14405.530680576385,1820.611124183235,33.15017138959216,-98.24884305267345,5973.0,0.6532,423.13,664.0,272.46,225.03,65271.0
840.0,547779.6118127456,15972.833533319264,2387.711045590051,33.1832497850773,-98.63857517399865,7834.0,0.6614,425.55,663.0,271.39,218.55,65052.0
1009.0,511120.8957147572,16864.199379564947,2953.4678095721124,33.209165436467174,-99.03144819624782,9690.0,0.6619,422.97,759.0,286.39,213.72,64839.0
1177.0,476175.9535432689,27142.13560008987,3601.408024242425,33.31733443004747,-99.40119546761002,11816.0,0.6861,435.02,671.0,284.27,207.44,64631.0
1345.0,439852.65836633224,36379.91545660201,4174.080511017225,33.4156612291201,-99.78719095628534,13694.0,0.6994,440.34,704.0,269.42,203.85,64427.0
1513.0,401925.24523292156,35995.426897539255,4774.868660137504,33.42701602347968,-100.19564916619234,15666.0,0.6094,380.76,1203.0,254.42,199.19,64228.0
1681.0,370432.38978581736,27215.25292619455,5802.487705625789,33.359439742724206,-100.53837458973408,19037.0,0.7449,459.37,709.0,248.38,191.57,64037.0
1849.0,333654.80052525393,12636.603941781641,6407.618536708595,33.24046387956202,-100.93952620543473,21022.0,0.761,465.61,716.0,263.38,186.77,63850.0
2017.0,293827.8242241672,8010.886375307632,7019.06474935634,33.2104465377929,-101.36907670728468,23028.0,0.7542,457.69,881.0,265.52,183.83,63666.0
2185.0,254578.32426334324,4933.89585332075,7771.751993606895,33.19273238816959,-101.79168696960163,25498.0,0.7933,476.55,383.0,274.88,159.71,63506.0
