ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-369298.4816285313,-508145.3294804544,30.480000303888787,32.91570338190216,-97.02594034266562,100.0,0.3,198.38,2414.0,31.7,272.52,66027.0
154.0,-361200.85438480513,-495035.6990819355,1915.5933553851612,33.03637350030225,-96.94472799831557,6285.0,0.5,323.51,2057.0,33.9,232.43,65795.0
307.0,-347094.90982303285,-474041.1133506633,3522.3931094570003,33.22990707291334,-96.80199495781252,11556.0,0.5491,348.49,1748.0,33.92,212.61,65582.0
461.0,-331863.1397596023,-451388.38624724146,4887.3035124830585,33.438547365627464,-96.64715511704486,16034.0,0.5982,373.22,1545.0,33.95,197.85,65385.0
615.0,-315518.6985350713,-427109.8178345539,6093.927420745475,33.661955228854545,-96.48016651087183,19993.0,0.6463,397.02,1354.0,33.99,184.44,65200.0
769.0,-298096.1469609249,-401268.3617985799,7151.109901356993,33.899506030062966,-96.30119556578377,23462.0,0.6936,420.2,1171.0,34.05,172.43,65028.0
922.0,-279611.2003149079,-373910.6956844337,8066.036216856611,34.150724374602184,-96.11020211228453,26463.0,0.7407,443.14,996.0,34.09,162.0,64866.0
1076.0,-260075.85592400748,-345047.9312220674,8843.883056240773,34.415451946894066,-95.90710598258585,29015.0,0.7745,458.39,874.0,34.14,153.61,64712.0
1230.0,-239832.4243720243,-315188.6362802693,9526.764379619857,34.68897455590736,-95.69527788672615,31256.0,0.7937,465.17,934.0,34.18,152.22,64560.0
1384.0,-219275.53089721553,-284917.8917309451,10256.08130439767,34.96589968198868,-95.47872391109325,33649.0,0.788,457.0,434.0,34.21,124.54,64435.0
1537.0,-199002.88424945544,-255102.4080403849,10594.883854970709,35.23828904542163,-95.26372202179968,34760.0,0.7655,441.7,-37.0,34.23,98.98,64336.0
1691.0,-179343.97851399824,-226212.85608670404,10565.598094438352,35.50185925759105,-95.05384523736683,34664.0,0.777,448.54,34.0,34.25,103.28,64233.0
1845.0,-159381.2666039964,-196893.72863342028,10592.429118299644,35.76897860070355,-94.83931233830413,34752.0,0.7749,447.14,19.0,34.26,102.12,64131.0
1999.0,-139475.49043970476,-167665.06577427895,10607.617293916734,36.03489479959709,-94.62395540390351,34802.0,0.7753,447.31,22.0,34.24,102.09,64029.0
2152.0,-119571.65139849471,-138419.9122123656,10624.41732360445,36.300573483416144,-94.4071685604834,34857.0,0.7754,447.24,22.0,34.21,101.87,63927.0
2306.0,-99687.50340881557,-109167.44546260517,10641.32371452368,36.565923954934824,-94.18912633356297,34912.0,0.7754,447.15,21.0,34.15,101.6,63825.0
2460.0,-79836.15683507711,-79900.62286774552,10658.020736698869,36.83100311297064,-93.96995613214595,34967.0,0.7755,447.09,22.0,34.09,101.43,63724.0
2614.0,-60018.93322643212,-50616.33610557309,10674.825047064567,37.095834246242966,-93.74965318233727,35022.0,0.7756,447.01,22.0,34.03,101.22,63623.0
2767.0,-40233.04430696086,-21318.400504388763,10691.69204203578,37.36037859604237,-93.52816539903341,35078.0,0.7756,446.91,21.0,33.99,100.95,63522.0
2921.0,-20475.072801055536,7989.688195860408,10708.15566611605,37.624599984328995,-93.30543306656608,35132.0,0.7757,446.87,21.0,33.95,100.74,63421.0
3075.0,-735.3445279755175,37306.52078460592,10724.728216296167,37.88848030623616,-93.08132439248057,35186.0,0.7758,446.81,21.0,33.94,100.53,63321.0
3229.0,18993.639000170966,66625.27283439568,10741.443338953244,38.15195219334568,-92.85573179116811,35241.0,0.7758,446.72,21.0,33.93,100.31,63220.0
3382.0,38716.995769738496,95940.4320901365,10757.758173498292,38.414959586429156,-92.6285737331704,35294.0,0.776,446.69,21.0,33.95,100.11,63120.0
3536.0,58445.85370848299,125249.97134523827,10774.263491119593,38.67747664410164,-92.39969850498747,35349.0,0.7761,446.63,21.0,33.97,99.89,63020.0
3690.0,78186.47241671491,154547.00099220968,10790.811879046301,38.939433088624746,-92.16900927510754,35403.0,0.7761,446.57,22.0,34.01,99.73,62921.0
3844.0,97941.7774711965,183828.878256299,10807.876868392126,39.20079649690033,-91.93644671671686,35459.0,0.7761,446.42,17.0,34.04,99.28,62821.0
