ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-430769.09827798,140947.91855728018,30.48000030416596,33.00161918511042,-97.32075694731799,100.0,0.3,198.38,2414.0,104.31,205.86,66094.0
116.0,-419459.6864266583,138063.1163389254,1454.5200388854723,32.98003123963439,-97.19828972404602,4772.0,0.4882,317.6,2155.0,107.8,179.88,65914.0
232.0,-401567.20461890637,132319.18387819701,2726.0783147378156,32.935038859610046,-97.00414711292422,8944.0,0.5201,333.26,1899.0,107.76,168.03,65746.0
348.0,-382762.17818829836,126297.24903451634,3846.5395269198757,32.88756302784338,-96.80032252383893,12620.0,0.556,351.48,1721.0,107.72,158.51,65588.0
465.0,-362907.8009884702,119951.885202874,4861.835685760535,32.837192999071874,-96.58536679003356,15951.0,0.5925,369.81,1570.0,107.66,150.15,65438.0
581.0,-341996.3812909764,113294.047610477,5788.192545828685,32.78397247188078,-96.3592406415046,18990.0,0.6284,387.62,1426.0,107.59,142.36,65295.0
697.0,-320055.43400644965,106337.82272086256,6629.331866216332,32.72795997286601,-96.12228345162676,21750.0,0.664,405.05,1287.0,107.49,135.16,65160.0
813.0,-297100.76314641436,99106.60116059838,7388.440376115074,32.66930040972124,-95.8747126525958,24240.0,0.6993,422.24,1152.0,107.39,128.58,65031.0
929.0,-273145.7567780714,91603.01759927651,8068.230396034413,32.60795172879527,-95.61671314969462,26471.0,0.7344,439.34,1022.0,107.31,122.69,64909.0
1045.0,-248195.31066525058,83829.11335230511,8670.945156004354,32.543867272342496,-95.34838049428076,28448.0,0.7648,453.75,911.0,107.23,117.59,64791.0
1161.0,-222403.54935957026,75832.36183631989,9208.42129109976,32.477377552737316,-95.07141300466654,30211.0,0.7839,461.56,1038.0,107.15,119.6,64672.0
1278.0,-196173.36509550893,67739.45293342833,9820.604125563892,32.40949478811951,-94.79016673119997,32220.0,0.7929,462.75,911.0,107.07,112.48,64559.0
1394.0,-169850.36049662685,59658.818448408485,10357.868068315662,32.3411133452798,-94.50835924185273,33983.0,0.7868,455.58,411.0,107.06,92.73,64466.0
1510.0,-143875.27586354778,51686.775559733294,10600.13218890704,32.27303936953823,-94.23069559538088,34777.0,0.7625,439.97,-74.0,106.92,73.28,64393.0
1626.0,-118717.54465737677,44031.73591115932,10556.241456541418,32.20712472319859,-93.96217577230905,34633.0,0.7771,448.69,52.0,106.9,78.74,64314.0
1742.0,-93072.25191487698,36240.5447069305,10586.89147570442,32.13945989537453,-93.68885490428838,34734.0,0.7732,446.21,12.0,106.86,76.89,64237.0
1858.0,-67558.1677404485,28509.814565191,10593.97903722401,32.071745312514615,-93.41733751875759,34757.0,0.7745,446.95,22.0,106.68,77.22,64160.0
1974.0,-41978.3571586188,20847.042305878145,10607.204958377988,32.00406700418062,-93.14552936283324,34801.0,0.7745,446.83,20.0,106.72,77.02,64083.0
2091.0,-16410.83275343911,13168.00031334597,10618.878766061165,31.935664342687588,-92.87425356172056,34839.0,0.7748,446.92,21.0,106.44,76.95,64006.0
2207.0,9198.616908517162,5610.724770125419,10631.068575253512,31.867781297531344,-92.60293743896904,34879.0,0.7749,446.94,21.0,106.39,76.83,63929.0
2323.0,34815.41872454779,-1925.2992071390183,10643.424948674035,31.799514334594964,-92.33194377670512,34919.0,0.7751,446.93,20.0,106.24,76.68,63853.0
2439.0,60451.67448106872,-9393.631703329469,10655.219179600143,31.731282715570014,-92.06114173635146,34958.0,0.7753,446.99,23.0,106.09,76.68,63776.0
2555.0,86111.77417605472,-16793.73412607808,10668.844367725122,31.66309198033002,-91.7904816834582,35003.0,0.7751,446.8,9.0,106.05,76.05,63700.0
2671.0,111766.47261278016,-24176.234368977417,10674.158788974128,31.59449042320922,-91.52027506386084,35020.0,0.7769,447.79,65.0,106.01,78.0,63622.0
2787.0,137477.68822068378,-31554.454159854995,10712.553221009468,31.52535355094429,-91.24987068237486,35146.0,0.7704,443.75,-112.0,106.07,71.23,63551.0
2904.0,162968.91575000453,-38898.58236569181,10646.399905221904,31.455987217637436,-90.98218094503363,34929.0,0.7616,439.17,-612.0,106.18,53.49,63497.0
3020.0,188233.88451888107,-46231.28840347785,10285.246767305824,31.386205434450595,-90.71726970625963,33744.0,0.7157,414.87,-1112.0,106.33,33.76,63464.0
3136.0,212127.79646179115,-53232.39005315384,9629.09380758977,31.319114704682892,-90.46711170257763,31592.0,0.673,393.85,-1235.0,106.5,27.68,63436.0
3252.0,234798.29706037926,-59946.765871566,8900.63413134953,31.254367154071474,-90.23010944947836,29202.0,0.635,375.5,-1285.0,106.66,24.31,63412.0
3368.0,256393.94634129526,-66411.31099736445,8142.6197999296255,31.19167043980901,-90.00466445729806,26715.0,0.6005,358.9,-1306.0,106.81,22.02,63390.0
3484.0,277016.689150356,-72642.1128999271,7371.818578494895,31.130915870734942,-89.78967121644241,24186.0,0.5692,343.81,-1313.0,106.92,20.3,63369.0
3600.0,296758.16646120563,-78647.59453847552,6597.04081822211,31.072056221102557,-89.58413567950625,21644.0,0.5407,329.96,-1311.0,106.99,18.97,63350.0
3717.0,315694.42248724017,-84433.16815615505,5823.454032206774,31.01506703183254,-89.38723084329146,19106.0,0.5146,317.23,-1304.0,107.02,17.9,63332.0
3833.0,333893.5286422375,-90004.81910744558,5054.326955778367,30.95991412467289,-89.1982170000113,16582.0,0.4907,305.55,-1293.0,107.03,17.03,63315.0
3949.0,351418.7128119999,-95371.66700638147,4291.314884121011,30.90653078769553,-89.01640945462518,14079.0,0.4687,294.67,-1280.0,107.0,16.3,63299.0
4065.0,368318.87358107965,-100539.9367100563,3535.9658469592646,30.854875741953915,-88.84127555549607,11601.0,0.4485,284.6,-1266.0,106.97,16.12,63283.0
4181.0,384641.5395797895,-105520.77069347171,2788.92346161362,30.80486004316292,-88.67230123876494,9150.0,0.4298,275.23,-1252.0,106.94,16.77,63266.0
4297.0,400426.7183854954,-110327.21681078775,2050.521399702818,30.75637663604072,-88.50905435582159,6727.0,0.4126,266.52,-1237.0,106.9,17.43,63249.0
4413.0,415712.8702031081,-114972.13513996494,1320.8632323739641,30.709317759749872,-88.35112115729027,4334.0,0.3967,258.49,-1223.0,106.89,18.06,63231.0
